tr|K7FHZ4|K7FHZ4_PELSI	Vps53_N|GT-A|TMhelix	Vps53_N(33-175)|Glyco_transf_54(108-388)|TMhelix(281-303)
tr|I3J9C2|I3J9C2_ORENI	GT-A	Glyco_transf_54(86-363)
tr|I3K0C2|I3K0C2_ORENI	GT-A	Glyco_transf_54(103-377)
tr|I3K9V6|I3K9V6_ORENI	GT-A	Glyco_transf_54(103-380)
tr|I3KEH1|I3KEH1_ORENI	GT-A	Glyco_transf_54(58-324)
tr|I3LC68|I3LC68_PIG	GT-A	Glyco_transf_54(32-238)
tr|I3MQ75|I3MQ75_ICTTR	GT-A	Glyco_transf_54(110-387)
tr|I3MV14|I3MV14_ICTTR	GT-A	Glyco_transf_54(44-245)
tr|J9JHB7|J9JHB7_CANLF	GT-A	Glyco_transf_54(72-282)
tr|J9KB73|J9KB73_ACYPI	GT-A	Glyco_transf_54(71-342)
tr|J9P0U5|J9P0U5_CANLF	GT-A	Glyco_transf_54(103-380)
tr|J9P431|J9P431_CANLF	GT-A	Glyco_transf_54(66-344)
tr|K1P0P9|K1P0P9_CRAGI	GT-A	Glyco_transf_54(30-258)
tr|K1PC15|K1PC15_CRAGI	GT-A	Glyco_transf_54(10-278)
tr|K1PG82|K1PG82_CRAGI	GT-A	Glyco_transf_54(69-309)
tr|K7FRM6|K7FRM6_PELSI	GT-A	Glyco_transf_54(103-380)
tr|K7GE03|K7GE03_PELSI	GT-A	Glyco_transf_54(25-272)
tr|K7GIM8|K7GIM8_PELSI	GT-A	Glyco_transf_54(8-236)
tr|K7J4Z9|K7J4Z9_NASVI	GT-A	Glyco_transf_54(102-380)
tr|L5JUQ9|L5JUQ9_PTEAL	GT-A	Glyco_transf_54(110-369)
tr|L5M9F0|L5M9F0_MYODS	GT-A	Glyco_transf_54(6-213)
tr|L5M9F9|L5M9F9_MYODS	GT-A	Glyco_transf_54(15-272)
tr|L5M9K3|L5M9K3_MYODS	GT-A	Glyco_transf_54(55-307)
tr|L9KVB8|L9KVB8_TUPCH	GT-A	Glyco_transf_54(63-352)
tr|M3WL61|M3WL61_FELCA	GT-A	Glyco_transf_54(108-385)
tr|M3WRC8|M3WRC8_FELCA	GT-A	Glyco_transf_54(103-380)
tr|M3WRR3|M3WRR3_FELCA	GT-A	Glyco_transf_54(30-236)
tr|M3XNL3|M3XNL3_MUSPF	GT-A	Glyco_transf_54(104-381)
tr|M3YI74|M3YI74_MUSPF	GT-A	Glyco_transf_54(103-380)
tr|M3YIE7|M3YIE7_MUSPF	GT-A	Glyco_transf_54(34-256)
tr|M3ZQB3|M3ZQB3_XIPMA	GT-A	Glyco_transf_54(66-313)
tr|M4AAL5|M4AAL5_XIPMA	GT-A	Glyco_transf_54(103-380)
tr|M4AE56|M4AE56_XIPMA	GT-A	Glyco_transf_54(63-324)
tr|Q16HU9|Q16HU9_AEDAE	GT-A	Glyco_transf_54(118-399)
tr|Q7QAY7|Q7QAY7_ANOGA	GT-A	Glyco_transf_54(130-411)
tr|Q9VUH4|Q9VUH4_DROME	GT-A	Glyco_transf_54(129-412)
tr|T1ES43|T1ES43_HELRO	GT-A	Glyco_transf_54(19-289)
tr|T1G0Y9|T1G0Y9_HELRO	GT-A	Glyco_transf_54(1-271)
tr|T1IBH9|T1IBH9_RHOPR	GT-A	Glyco_transf_54(81-360)
tr|T1J3G6|T1J3G6_STRMM	GT-A	Glyco_transf_54(112-357)
tr|U3CTV0|U3CTV0_CALJA	GT-A	Glyco_transf_54(110-387)
tr|U3IMZ2|U3IMZ2_ANAPL	GT-A	Glyco_transf_54(79-356)
tr|U3J422|U3J422_ANAPL	GT-A	Glyco_transf_54(98-313)
tr|U3JII7|U3JII7_FICAL	GT-A	Glyco_transf_54(68-315)
tr|U3JQQ7|U3JQQ7_FICAL	GT-A	Glyco_transf_54(62-366)
tr|U3JZC7|U3JZC7_FICAL	GT-A	Glyco_transf_54(112-389)
tr|V8P4J7|V8P4J7_OPHHA	GT-A	Glyco_transf_54(103-350)
tr|V8P5C1|V8P5C1_OPHHA	GT-A	Glyco_transf_54(96-373)
tr|V8PF72|V8PF72_OPHHA	GT-A	Glyco_transf_54(34-267)
tr|W4Z9L4|W4Z9L4_STRPU	GT-A	Glyco_transf_54(64-284)
tr|W5K3K5|W5K3K5_ASTMX	GT-A	Glyco_transf_54(93-367)
tr|W5KCX3|W5KCX3_ASTMX	GT-A	Glyco_transf_54(103-380)
tr|W5M098|W5M098_LEPOC	GT-A	Glyco_transf_54(103-383)
tr|W5MWT2|W5MWT2_LEPOC	GT-A	Glyco_transf_54(102-379)
tr|W5MXF9|W5MXF9_LEPOC	GT-A	Glyco_transf_54(52-318)
tr|W5N0A9|W5N0A9_LEPOC	GT-A	Glyco_transf_54(108-385)
tr|W5NHS7|W5NHS7_LEPOC	GT-A	Glyco_transf_54(116-378)
tr|W5NY75|W5NY75_SHEEP	GT-A	Glyco_transf_54(87-355)
tr|W5PSN0|W5PSN0_SHEEP	GT-A	Glyco_transf_54(98-378)
tr|W5PVI5|W5PVI5_SHEEP	GT-A	Glyco_transf_54(103-380)
tr|W5UH41|W5UH41_ICTPU	GT-A	Glyco_transf_54(103-380)
tr|A0A2B4SS78|A0A2B4SS78_STYPI	CATSPERD|GT-A	CATSPERD(31-253)|Glyco_transf_54(283-510)
tr|L1J7J6|L1J7J6_GUITH	ApoL|GT-A	ApoL(40-109)|Glyco_transf_54(134-372)
tr|F4WY76|F4WY76_ACREC	3a0801s09|GT-A	3a0801s09(2-473)|Glyco_transf_54(613-892)
