tr|M0U2F0|M0U2F0_MUSAM	TM_PBP2|GT-A	TM_PBP2(8-65)|Branch(53-326)
tr|A0A0E0MQ42|A0A0E0MQ42_ORYPU	GT-A	Branch(12-424)
tr|A0A0E0MQR4|A0A0E0MQR4_ORYRU	GT-A	Branch(53-395)
tr|A0A0E0N330|A0A0E0N330_ORYRU	GT-A	Branch(62-417)
tr|A0A0E0NPK9|A0A0E0NPK9_ORYRU	GT-A	Branch(77-419)
tr|A0A0E0NTA8|A0A0E0NTA8_ORYRU	GT-A	Branch(50-363)
tr|A0A0E0NZU8|A0A0E0NZU8_ORYRU	GT-A	Branch(58-444)
tr|A0A0E0P715|A0A0E0P715_ORYRU	GT-A	Branch(61-394)
tr|A0A0E0QE81|A0A0E0QE81_ORYRU	GT-A	Branch(13-438)
tr|A0A0E0QZI6|A0A0E0QZI6_ORYRU	GT-A	Branch(65-420)
tr|A0A0E0RKJ8|A0A0E0RKJ8_ORYRU	GT-A	Branch(75-426)
tr|A0A0E4CWE9|A0A0E4CWE9_9BACL	GT-A	Branch(14-266)
tr|A0A0E4CWK1|A0A0E4CWK1_9BACL	GT-A	Branch(3-252)
tr|A0A0F0EXX7|A0A0F0EXX7_9MICO	GT-A	Branch(2-283)
tr|A0A0F2RVE2|A0A0F2RVE2_9RHOB	GT-A	Branch(33-241)
tr|A0A0F2S3Q4|A0A0F2S3Q4_9RHOB	GT-A	Branch(31-250)
tr|A0A0F4RIB4|A0A0F4RIB4_9RHOB	GT-A	Branch(31-250)
tr|A0A0F4RJ00|A0A0F4RJ00_9RHOB	GT-A	Branch(33-241)
tr|A0A0F5JLT7|A0A0F5JLT7_9BACT	GT-A	Branch(4-254)
tr|A0A0G2JZ89|A0A0G2JZ89_RAT	GT-A	Branch(134-402)
tr|A0A0H3CAE0|A0A0H3CAE0_CAUVN	GT-A	Branch(27-269)
tr|A0A0H3HBZ0|A0A0H3HBZ0_KLEOK	GT-A	Branch(3-249)
tr|A0A0H3IZ20|A0A0H3IZ20_CLOPA	GT-A	Branch(7-259)
tr|A0A0H4KWA8|A0A0H4KWA8_9RHOB	GT-A	Branch(32-241)
tr|A0A0H4KZ86|A0A0H4KZ86_9RHOB	GT-A	Branch(13-250)
tr|A0A0J1BFU1|A0A0J1BFU1_9SPHI	GT-A	Branch(4-264)
tr|A0A0J1DF61|A0A0J1DF61_9BURK	GT-A	Branch(5-255)
tr|A0A0J1IJ56|A0A0J1IJ56_BACCI	GT-A	Branch(4-249)
tr|A0A0J5Q9H5|A0A0J5Q9H5_9RHOB	GT-A	Branch(31-250)
tr|A0A0J5QD33|A0A0J5QD33_9RHOB	GT-A	Branch(33-241)
tr|A0A0J6BCP7|A0A0J6BCP7_9SYNE	GT-A	Branch(51-264)
tr|A0A0J6S6N7|A0A0J6S6N7_9RHIZ	GT-A	Branch(29-223)
tr|A0A0J7I4E6|A0A0J7I4E6_9FLAO	GT-A	Branch(25-245)
tr|A0A0J9GXV8|A0A0J9GXV8_9RHOB	GT-A	Branch(33-241)
tr|A0A0J9GZ87|A0A0J9GZ87_9RHOB	GT-A	Branch(32-251)
tr|A0A0K0Y8R4|A0A0K0Y8R4_9RHOB	GT-A	Branch(33-241)
tr|A0A0K0Y9M9|A0A0K0Y9M9_9RHOB	GT-A	Branch(31-250)
tr|A0A0K2Y9I2|A0A0K2Y9I2_9NOCA	GT-A	Branch(6-262)
tr|A0A0K6IAI6|A0A0K6IAI6_9BURK	GT-A	Branch(3-254)
tr|A0A0L0FKT8|A0A0L0FKT8_9EUKA	GT-A	Branch(50-272)
tr|A0A0L1JNY6|A0A0L1JNY6_9RHOB	GT-A	Branch(31-250)
tr|A0A0L1JPW1|A0A0L1JPW1_9RHOB	GT-A	Branch(32-248)
tr|A0A0L6CSN2|A0A0L6CSN2_9RHOB	GT-A	Branch(31-250)
tr|A0A0L6CZ05|A0A0L6CZ05_9RHOB	GT-A	Branch(4-241)
tr|A0A0M0WBQ2|A0A0M0WBQ2_9BACI	GT-A	Branch(36-247)
tr|A0A0M2SR12|A0A0M2SR12_9BACI	GT-A	Branch(36-247)
tr|A0A0M6XMZ8|A0A0M6XMZ8_9RHOB	GT-A	Branch(33-241)
tr|A0A0M6XQ94|A0A0M6XQ94_9RHOB	GT-A	Branch(31-250)
tr|A0A0M6YFN1|A0A0M6YFN1_9RHOB	GT-A	Branch(33-225)
tr|A0A0M6YFR2|A0A0M6YFR2_9RHOB	GT-A	Branch(31-250)
tr|A0A0M7B730|A0A0M7B730_9RHOB	GT-A	Branch(4-225)
tr|A0A0M7BC07|A0A0M7BC07_9RHOB	GT-A	Branch(32-250)
tr|A0A0M8V6A0|A0A0M8V6A0_9ACTN	GT-A	Branch(23-215)
tr|A0A0M9DBY9|A0A0M9DBY9_9LACO	GT-A	Branch(58-209)
tr|A0A0M9EF41|A0A0M9EF41_9RHOB	GT-A	Branch(32-241)
tr|A0A0M9EK89|A0A0M9EK89_9RHOB	GT-A	Branch(6-250)
tr|A0A0M9UFK8|A0A0M9UFK8_9BACT	GT-A	Branch(12-243)
tr|A0A0N0ITW4|A0A0N0ITW4_9FLAO	GT-A	Branch(24-246)
tr|A0A0N0XGH8|A0A0N0XGH8_9NEIS	GT-A	Branch(14-270)
tr|A0A0N6ZYU6|A0A0N6ZYU6_9MICO	GT-A	Branch(35-243)
tr|A0A0N7HIG1|A0A0N7HIG1_9RHOB	GT-A	Branch(4-241)
tr|A0A0N7JHU5|A0A0N7JHU5_9CAUL	GT-A	Branch(21-262)
tr|A0A0N7LNP6|A0A0N7LNP6_9RHOB	GT-A	Branch(33-241)
tr|A0A0N7M261|A0A0N7M261_9RHOB	GT-A	Branch(4-241)
tr|A0A0N7M2V5|A0A0N7M2V5_9RHOB	GT-A	Branch(32-251)
tr|A0A0N7M394|A0A0N7M394_9RHOB	GT-A	Branch(53-261)
tr|A0A0N7MB77|A0A0N7MB77_9RHOB	GT-A	Branch(31-250)
tr|A0A0N9ZGT4|A0A0N9ZGT4_9RHOB	GT-A	Branch(3-250)
tr|A0A0P0NFL2|A0A0P0NFL2_9SPHI	GT-A	Branch(3-242)
tr|A0A0P0W8A9|A0A0P0W8A9_ORYSJ	GT-A	Branch(61-394)
tr|A0A0P1ELA6|A0A0P1ELA6_9RHOB	GT-A	Branch(32-225)
tr|A0A0P1EMF9|A0A0P1EMF9_9RHOB	GT-A	Branch(31-250)
tr|A0A0P1EP15|A0A0P1EP15_9RHOB	GT-A	Branch(32-251)
tr|A0A0P1F5X3|A0A0P1F5X3_THAGE	GT-A	Branch(4-241)
tr|A0A0P1FE78|A0A0P1FE78_9RHOB	GT-A	Branch(25-244)
tr|A0A0P1FZL4|A0A0P1FZL4_THAGE	GT-A	Branch(32-251)
tr|A0A0P1G3J3|A0A0P1G3J3_9RHOB	GT-A	Branch(33-241)
tr|A0A0P1G6Q8|A0A0P1G6Q8_9RHOB	GT-A	Branch(4-241)
tr|A0A0P1GP89|A0A0P1GP89_9RHOB	GT-A	Branch(32-251)
tr|A0A0P1GUQ8|A0A0P1GUQ8_9RHOB	GT-A	Branch(32-241)
tr|A0A0P1GYD2|A0A0P1GYD2_9RHOB	GT-A	Branch(25-244)
tr|A0A0P1GYR2|A0A0P1GYR2_9RHOB	GT-A	Branch(32-251)
tr|A0A0P1IAZ7|A0A0P1IAZ7_9RHOB	GT-A	Branch(33-241)
tr|A0A0P1IHH4|A0A0P1IHH4_9RHOB	GT-A	Branch(33-241)
tr|A0A0P1IL11|A0A0P1IL11_9RHOB	GT-A	Branch(65-250)
tr|A0A0P1ITJ6|A0A0P1ITJ6_9RHOB	GT-A	Branch(32-241)
tr|A0A0P1IX18|A0A0P1IX18_9RHOB	GT-A	Branch(32-251)
tr|A0A0P4UVQ9|A0A0P4UVQ9_9CYAN	GT-A	Branch(3-224)
tr|A0A0P7IY77|A0A0P7IY77_9RHOB	GT-A	Branch(13-250)
tr|A0A0P7KKG7|A0A0P7KKG7_9RHOB	GT-A	Branch(33-241)
tr|A0A0P7W0S1|A0A0P7W0S1_9RHOB	GT-A	Branch(15-252)
tr|A0A0P7WGY3|A0A0P7WGY3_9RHOB	GT-A	Branch(32-241)
tr|A0A0P7XG66|A0A0P7XG66_9RHOB	GT-A	Branch(4-241)
tr|A0A0P8AQX0|A0A0P8AQX0_9RHOB	GT-A	Branch(32-251)
tr|A0A0P9B2V0|A0A0P9B2V0_9RHOB	GT-A	Branch(25-244)
tr|A0A0P9CLM9|A0A0P9CLM9_9RHOB	GT-A	Branch(33-254)
tr|A0A0Q0V382|A0A0Q0V382_9RHOB	GT-A	Branch(13-259)
tr|A0A0Q0Z8I2|A0A0Q0Z8I2_9RHOB	GT-A	Branch(33-241)
tr|A0A0Q2XUS1|A0A0Q2XUS1_9RHOB	GT-A	Branch(31-250)
tr|A0A0Q2Y4F9|A0A0Q2Y4F9_9RHOB	GT-A	Branch(33-241)
tr|A0A0Q3TJB3|A0A0Q3TJB3_9BACI	GT-A	Branch(36-236)
tr|A0A0Q4CEU4|A0A0Q4CEU4_9FLAO	GT-A	Branch(11-254)
tr|A0A0Q4CY35|A0A0Q4CY35_9FLAO	GT-A	Branch(25-247)
tr|A0A0Q4GYG5|A0A0Q4GYG5_9SPHI	GT-A	Branch(3-245)
tr|A0A0Q4I3G9|A0A0Q4I3G9_9SPHN	GT-A	Branch(2-230)
tr|A0A0Q4KY13|A0A0Q4KY13_9SPHN	GT-A	Branch(3-244)
tr|A0A0Q4L747|A0A0Q4L747_9SPHI	GT-A	Branch(3-245)
tr|A0A0Q4LMN8|A0A0Q4LMN8_9SPHN	GT-A	Branch(4-255)
tr|A0A0Q4LVR8|A0A0Q4LVR8_9GAMM	GT-A	Branch(5-269)
tr|A0A0Q5TB52|A0A0Q5TB52_9SPHI	GT-A	Branch(6-223)
tr|A0A0Q5TPW0|A0A0Q5TPW0_9SPHI	GT-A	Branch(1-248)
tr|A0A0Q5TYG8|A0A0Q5TYG8_9SPHI	GT-A	Branch(92-295)
tr|A0A0Q7T722|A0A0Q7T722_9CAUL	GT-A	Branch(14-253)
tr|A0A0Q9HWQ5|A0A0Q9HWQ5_9BRAD	GT-A	Branch(2-246)
tr|A0A0Q9Z5V9|A0A0Q9Z5V9_9FLAO	GT-A	Branch(3-267)
tr|A0A0R1HAB2|A0A0R1HAB2_9LACO	GT-A	Branch(12-236)
tr|A0A0R1MCR2|A0A0R1MCR2_9LACO	GT-A	Branch(56-243)
tr|A0A0R1QER5|A0A0R1QER5_9LACO	GT-A	Branch(5-261)
tr|A0A0R1QQ78|A0A0R1QQ78_9LACO	GT-A	Branch(8-267)
tr|A0A0R1U295|A0A0R1U295_9LACO	GT-A	Branch(12-252)
tr|A0A0R1VQD1|A0A0R1VQD1_9LACO	GT-A	Branch(32-265)
tr|A0A0R1VWZ6|A0A0R1VWZ6_9LACO	GT-A	Branch(5-248)
tr|A0A0R1WS59|A0A0R1WS59_9LACO	GT-A	Branch(3-263)
tr|A0A0R1WSG3|A0A0R1WSG3_9LACO	GT-A	Branch(5-269)
tr|A0A0R1ZSB8|A0A0R1ZSB8_9LACO	GT-A	Branch(56-251)
tr|A0A0R2ACJ4|A0A0R2ACJ4_9LACO	GT-A	Branch(3-243)
tr|A0A0R2C917|A0A0R2C917_9LACO	GT-A	Branch(3-262)
tr|A0A0R4J4K9|A0A0R4J4K9_SOYBN	GT-A	Branch(74-329)
tr|A0A0S3FTR5|A0A0S3FTR5_9FLAO	GT-A	Branch(24-247)
tr|A0A0S9CBK2|A0A0S9CBK2_9SPHN	GT-A	Branch(42-281)
tr|A0A0T5NQP0|A0A0T5NQP0_9RHOB	GT-A	Branch(31-250)
tr|A0A0T5NXF8|A0A0T5NXF8_9RHOB	GT-A	Branch(32-241)
tr|A0A0T5PE91|A0A0T5PE91_9RHOB	GT-A	Branch(31-250)
tr|A0A0T5PEI2|A0A0T5PEI2_9RHOB	GT-A	Branch(32-241)
tr|A0A0U1NK30|A0A0U1NK30_9RHOB	GT-A	Branch(31-250)
tr|A0A0U1NM09|A0A0U1NM09_9RHOB	GT-A	Branch(33-225)
tr|A0A0U1NUF8|A0A0U1NUF8_9BACI	GT-A	Branch(31-250)
tr|A0A0U3D0Y5|A0A0U3D0Y5_9BURK	GT-A	Branch(4-256)
tr|A0A0U3N6L0|A0A0U3N6L0_9BURK	GT-A	Branch(4-247)
tr|A0A0U3NPA4|A0A0U3NPA4_9LACT	GT-A	Branch(5-256)
tr|A0A0W7WJD2|A0A0W7WJD2_9RHOB	GT-A	Branch(32-241)
tr|A0A0W7WJG9|A0A0W7WJG9_9RHOB	GT-A	Branch(31-250)
tr|A0A0X3TL68|A0A0X3TL68_9RHOB	GT-A	Branch(16-264)
tr|A0A0X3TPH5|A0A0X3TPH5_9RHOB	GT-A	Branch(33-241)
tr|A0A0X3TQP8|A0A0X3TQP8_9RHOB	GT-A	Branch(4-251)
tr|A0A0X3TQR5|A0A0X3TQR5_9RHOB	GT-A	Branch(32-251)
tr|A0A0X3UHZ8|A0A0X3UHZ8_9RHOB	GT-A	Branch(32-241)
tr|A0A0X8G2J6|A0A0X8G2J6_9FIRM	GT-A	Branch(4-252)
tr|A0A101IDB1|A0A101IDB1_9BACT	GT-A	Branch(2-253)
tr|A0A103XVE4|A0A103XVE4_CYNCS	GT-A	Branch(4-368)
tr|A0A103XW26|A0A103XW26_CYNCS	GT-A	Branch(31-384)
tr|A0A103Y9P3|A0A103Y9P3_CYNCS	GT-A	Branch(72-317)
tr|A0A109K0Q7|A0A109K0Q7_9BRAD	GT-A	Branch(3-256)
tr|A0A117KF52|A0A117KF52_9FLAO	GT-A	Branch(6-247)
tr|A0A120A2Z7|A0A120A2Z7_BACSE	GT-A	Branch(4-254)
tr|A0A120IH91|A0A120IH91_9BURK	GT-A	Branch(3-253)
tr|A0A124SCD6|A0A124SCD6_CYNCS	GT-A	Branch(105-342)
tr|A0A126P033|A0A126P033_9BRAD	GT-A	Branch(199-312)
tr|A0A126P213|A0A126P213_9BRAD	GT-A	Branch(199-281)
tr|A0A126UXX6|A0A126UXX6_9RHOB	GT-A	Branch(65-250)
tr|A0A126V0G1|A0A126V0G1_9RHOB	GT-A	Branch(33-241)
tr|A0A126YZ48|A0A126YZ48_9MICO	GT-A	Branch(47-257)
tr|A0A127EQ58|A0A127EQ58_9RHIZ	GT-A	Branch(31-264)
tr|A0A127V738|A0A127V738_9SPHI	GT-A	Branch(3-252)
tr|A0A127V7G0|A0A127V7G0_9SPHI	GT-A	Branch(3-255)
tr|A0A132C302|A0A132C302_9RHOB	GT-A	Branch(14-251)
tr|A0A139X3G1|A0A139X3G1_9CYAN	GT-A	Branch(3-271)
tr|A0A139XA46|A0A139XA46_9CYAN	GT-A	Branch(3-257)
tr|A0A140DVU4|A0A140DVU4_9FIRM	GT-A	Branch(78-224)
tr|A0A142HDD1|A0A142HDD1_9BACT	GT-A	Branch(3-245)
tr|A0A142HFM7|A0A142HFM7_9BACT	GT-A	Branch(3-251)
tr|A0A143Y2C8|A0A143Y2C8_9FIRM	GT-A	Branch(10-247)
tr|A0A143YVL7|A0A143YVL7_9LACT	GT-A	Branch(20-275)
tr|A0A147I393|A0A147I393_9SPHN	GT-A	Branch(51-283)
tr|A0A150ZUJ5|A0A150ZUJ5_9FLAO	GT-A	Branch(25-247)
tr|A0A151RP64|A0A151RP64_CAJCA	GT-A	Branch(15-418)
tr|A0A151RWL6|A0A151RWL6_CAJCA	GT-A	Branch(11-298)
tr|A0A151S062|A0A151S062_CAJCA	GT-A	Branch(69-419)
tr|A0A151SCP7|A0A151SCP7_CAJCA	GT-A	Branch(125-358)
tr|A0A151TA17|A0A151TA17_CAJCA	GT-A	Branch(41-397)
tr|A0A151U2V4|A0A151U2V4_CAJCA	GT-A	Branch(59-294)
tr|A0A151U7T4|A0A151U7T4_CAJCA	GT-A	Branch(48-397)
tr|A0A152A6H2|A0A152A6H2_9MYCE	GT-A	Branch(161-399)
tr|A0A159YZ84|A0A159YZ84_9RHOB	GT-A	Branch(4-241)
tr|A0A159Z7R7|A0A159Z7R7_9RHOB	GT-A	Branch(31-250)
tr|A0A161XHB6|A0A161XHB6_DAUCA	GT-A	Branch(31-257)
tr|A0A161ZKF8|A0A161ZKF8_DAUCA	GT-A	Branch(47-330)
tr|A0A164XW03|A0A164XW03_DAUCA	GT-A	Branch(106-336)
tr|A0A165XYJ1|A0A165XYJ1_DAUCA	GT-A	Branch(10-420)
tr|A0A166DL07|A0A166DL07_DAUCA	GT-A	Branch(119-354)
tr|A0A166SV95|A0A166SV95_9RHOB	GT-A	Branch(31-250)
tr|A0A166TU10|A0A166TU10_9RHOB	GT-A	Branch(4-241)
tr|A0A172TRY0|A0A172TRY0_9BACT	GT-A	Branch(3-264)
tr|A0A174IW95|A0A174IW95_9BACT	GT-A	Branch(4-252)
tr|A0A175RJM0|A0A175RJM0_9MICO	GT-A	Branch(34-243)
tr|A0A175YHJ1|A0A175YHJ1_DAUCA	GT-A	Branch(39-376)
tr|A0A175YLW5|A0A175YLW5_DAUCA	GT-A	Branch(64-279)
tr|A0A176EWM9|A0A176EWM9_9RHOB	GT-A	Branch(31-250)
tr|A0A176F2B2|A0A176F2B2_9RHOB	GT-A	Branch(33-241)
tr|A0A176F2L9|A0A176F2L9_9RHOB	GT-A	Branch(33-241)
tr|A0A176WP70|A0A176WP70_MARPO	GT-A	Branch(1-470)
tr|A0A176WPJ6|A0A176WPJ6_MARPO	GT-A	Branch(63-345)
tr|A0A176Z6T5|A0A176Z6T5_9BRAD	GT-A	Branch(3-255)
tr|A0A178GFK3|A0A178GFK3_9GAMM	GT-A	Branch(27-267)
tr|A0A182EBG1|A0A182EBG1_ONCOC	GT-A	Branch(137-394)
tr|A0A182EBG2|A0A182EBG2_ONCOC	GT-A	Branch(131-330)
tr|A0A196NIM3|A0A196NIM3_9RHOB	GT-A	Branch(31-250)
tr|A0A196PXE2|A0A196PXE2_9RHOB	GT-A	Branch(31-250)
tr|A0A196R0X7|A0A196R0X7_9RHOB	GT-A	Branch(4-241)
tr|A0A199UGC4|A0A199UGC4_ANACO	GT-A	Branch(40-385)
tr|A0A199V5E8|A0A199V5E8_ANACO	GT-A	Branch(59-289)
tr|A0A199V5M5|A0A199V5M5_ANACO	GT-A	Branch(64-409)
tr|A0A199VIV7|A0A199VIV7_ANACO	GT-A	Branch(32-405)
tr|A0A199VMB7|A0A199VMB7_ANACO	GT-A	Branch(36-401)
tr|A0A199VWB2|A0A199VWB2_ANACO	GT-A	Branch(93-323)
tr|A0A199VYJ6|A0A199VYJ6_ANACO	GT-A	Branch(6-396)
tr|A0A1A6FXN0|A0A1A6FXN0_NEOLE	GT-A	Branch(111-341)
tr|A0A1A6GJU5|A0A1A6GJU5_NEOLE	GT-A	Branch(39-307)
tr|A0A1A6HEH7|A0A1A6HEH7_NEOLE	GT-A	Branch(146-414)
tr|A0A1A6HET9|A0A1A6HET9_NEOLE	GT-A	Branch(103-370)
tr|A0A1A9HYZ6|A0A1A9HYZ6_9BACT	GT-A	Branch(3-247)
tr|A0A1A9S375|A0A1A9S375_9NEIS	GT-A	Branch(4-251)
tr|A0A1A9T0R1|A0A1A9T0R1_9PROT	GT-A	Branch(2-228)
tr|A0A1B0ZRN0|A0A1B0ZRN0_9RHOB	GT-A	Branch(4-241)
tr|A0A1B0ZT21|A0A1B0ZT21_9RHOB	GT-A	Branch(45-261)
tr|A0A1B1FVX1|A0A1B1FVX1_9BACT	GT-A	Branch(34-253)
tr|A0A1B1PNH8|A0A1B1PNH8_9RHOB	GT-A	Branch(33-241)
tr|A0A1B2EHV5|A0A1B2EHV5_9RHIZ	GT-A	Branch(3-261)
tr|A0A1B3NID9|A0A1B3NID9_9BRAD	GT-A	Branch(2-248)
tr|A0A1B6QKN4|A0A1B6QKN4_SORBI	GT-A	Branch(71-433)
tr|A0A1B6YLB4|A0A1B6YLB4_9RHOB	GT-A	Branch(33-241)
tr|A0A1B6YRP5|A0A1B6YRP5_9RHOB	GT-A	Branch(31-250)
tr|A0A1B8P313|A0A1B8P313_HALEL	GT-A	Branch(3-227)
tr|A0A1B8QL10|A0A1B8QL10_9GAMM	GT-A	Branch(30-234)
tr|A0A1B8W5W0|A0A1B8W5W0_9BACI	GT-A	Branch(3-227)
tr|A0A1B8Y5K0|A0A1B8Y5K0_XENTR	GT-A	Branch(113-375)
tr|A0A1B8ZKL0|A0A1B8ZKL0_9FLAO	GT-A	Branch(25-247)
tr|A0A1B9SQ64|A0A1B9SQ64_9RHIZ	GT-A	Branch(3-254)
tr|A0A1C0VUE5|A0A1C0VUE5_9CYAN	GT-A	Branch(76-305)
tr|A0A1C0ZRL8|A0A1C0ZRL8_9BACL	GT-A	Branch(4-224)
tr|A0A1C2GFK3|A0A1C2GFK3_9SPHI	GT-A	Branch(49-271)
tr|A0A1C2GFV9|A0A1C2GFV9_9SPHI	GT-A	Branch(30-249)
tr|A0A1C2GJA8|A0A1C2GJA8_9SPHI	GT-A	Branch(3-243)
tr|A0A1C2HNV6|A0A1C2HNV6_9RHOB	GT-A	Branch(31-250)
tr|A0A1C2HSP9|A0A1C2HSP9_9RHOB	GT-A	Branch(4-225)
tr|A0A1C6R0X7|A0A1C6R0X7_9BURK	GT-A	Branch(22-280)
tr|A0A1D5S3T6|A0A1D5S3T6_WHEAT	GT-A	Branch(82-340)
tr|A0A1D5S5D1|A0A1D5S5D1_WHEAT	GT-A	Branch(33-245)
tr|A0A1D5T7C0|A0A1D5T7C0_WHEAT	GT-A	Branch(35-399)
tr|A0A1D5UN32|A0A1D5UN32_WHEAT	GT-A	Branch(44-394)
tr|A0A1D5UQ72|A0A1D5UQ72_WHEAT	GT-A	Branch(86-316)
tr|A0A1D5VF70|A0A1D5VF70_WHEAT	GT-A	Branch(57-402)
tr|A0A1D5VHN5|A0A1D5VHN5_WHEAT	GT-A	Branch(82-504)
tr|A0A1D5VXT4|A0A1D5VXT4_WHEAT	GT-A	Branch(6-400)
tr|A0A1D5VYC6|A0A1D5VYC6_WHEAT	GT-A	Branch(159-509)
tr|A0A1D5WPZ2|A0A1D5WPZ2_WHEAT	GT-A	Branch(57-402)
tr|A0A1D5WSB1|A0A1D5WSB1_WHEAT	GT-A	Branch(6-400)
tr|A0A1D5WVR3|A0A1D5WVR3_WHEAT	GT-A	Branch(154-507)
tr|A0A1D5XNQ1|A0A1D5XNQ1_WHEAT	GT-A	Branch(63-430)
tr|A0A1D5Y277|A0A1D5Y277_WHEAT	GT-A	Branch(38-427)
tr|A0A1D5Y3K7|A0A1D5Y3K7_WHEAT	GT-A	Branch(69-412)
tr|A0A1D6BID2|A0A1D6BID2_WHEAT	GT-A	Branch(47-438)
tr|A0A1D6C6W0|A0A1D6C6W0_WHEAT	GT-A	Branch(46-437)
tr|A0A1D6C778|A0A1D6C778_WHEAT	GT-A	Branch(2-294)
tr|A0A1D6CUH5|A0A1D6CUH5_WHEAT	GT-A	Branch(46-437)
tr|A0A1D6H5H2|A0A1D6H5H2_MAIZE	GT-A	Branch(176-404)
tr|A0A1D6HSK7|A0A1D6HSK7_MAIZE	GT-A	Branch(75-313)
tr|A0A1D6JNI2|A0A1D6JNI2_MAIZE	GT-A	Branch(67-412)
tr|A0A1D6KUQ8|A0A1D6KUQ8_MAIZE	GT-A	Branch(72-466)
tr|A0A1D6L056|A0A1D6L056_MAIZE	GT-A	Branch(88-452)
tr|A0A1D6L344|A0A1D6L344_MAIZE	GT-A	Branch(121-379)
tr|A0A1D6PDJ6|A0A1D6PDJ6_MAIZE	GT-A	Branch(62-407)
tr|A0A1D6RRM4|A0A1D6RRM4_WHEAT	GT-A	Branch(6-400)
tr|A0A1D7QQF4|A0A1D7QQF4_9SPHI	GT-A	Branch(3-252)
tr|A0A1D8AZ42|A0A1D8AZ42_9BACT	GT-A	Branch(30-250)
tr|A0A1D8UTC7|A0A1D8UTC7_9PROT	GT-A	Branch(4-201)
tr|A0A1D9BE91|A0A1D9BE91_9NEIS	GT-A	Branch(3-254)
tr|A0A1D9M8E3|A0A1D9M8E3_9RHOB	GT-A	Branch(31-250)
tr|A0A1D9MF38|A0A1D9MF38_9RHOB	GT-A	Branch(4-241)
tr|A0A1E5A9D7|A0A1E5A9D7_9RHOB	GT-A	Branch(33-241)
tr|A0A1E5AGT9|A0A1E5AGT9_9RHOB	GT-A	Branch(32-251)
tr|A0A1E5MLD9|A0A1E5MLD9_9MICO	GT-A	Branch(35-243)
tr|A0A1E5V0F0|A0A1E5V0F0_9POAL	GT-A	Branch(49-439)
tr|A0A1E5V158|A0A1E5V158_9POAL	GT-A	Branch(45-403)
tr|A0A1E5V3A7|A0A1E5V3A7_9POAL	GT-A	Branch(145-500)
tr|A0A1E5V8J8|A0A1E5V8J8_9POAL	GT-A	Branch(99-349)
tr|A0A1E5VAV7|A0A1E5VAV7_9POAL	GT-A	Branch(94-360)
tr|A0A1E5VET9|A0A1E5VET9_9POAL	GT-A	Branch(66-406)
tr|A0A1E5VG17|A0A1E5VG17_9POAL	GT-A	Branch(115-452)
tr|A0A1E5VJF6|A0A1E5VJF6_9POAL	GT-A	Branch(66-426)
tr|A0A1E5VMT9|A0A1E5VMT9_9POAL	GT-A	Branch(104-338)
tr|A0A1E5W726|A0A1E5W726_9POAL	GT-A	Branch(54-421)
tr|A0A1E5W7Q9|A0A1E5W7Q9_9POAL	GT-A	Branch(69-418)
tr|A0A1E5W9V6|A0A1E5W9V6_9POAL	GT-A	Branch(61-406)
tr|A0A1F8PQR4|A0A1F8PQR4_9CHLR	GT-A	Branch(3-236)
tr|A0A1G1J5F8|A0A1G1J5F8_9BACT	GT-A	Branch(3-249)
tr|A0A1G1V9U1|A0A1G1V9U1_9BACT	GT-A	Branch(2-226)
tr|A0A1G5EAQ7|A0A1G5EAQ7_9RHOB	GT-A	Branch(35-250)
tr|A0A1G5GJ63|A0A1G5GJ63_9RHOB	GT-A	Branch(4-241)
tr|A0A1G5R5M6|A0A1G5R5M6_9RHOB	GT-A	Branch(33-241)
tr|A0A1G5R7M4|A0A1G5R7M4_9RHOB	GT-A	Branch(31-254)
tr|A0A1G6DN34|A0A1G6DN34_9FIRM	GT-A	Branch(5-265)
tr|A0A1G6N8K1|A0A1G6N8K1_9RHOB	GT-A	Branch(32-241)
tr|A0A1G6WJ02|A0A1G6WJ02_9RHOB	GT-A	Branch(32-251)
tr|A0A1G6Z622|A0A1G6Z622_9RHOB	GT-A	Branch(36-250)
tr|A0A1G7BG24|A0A1G7BG24_9RHOB	GT-A	Branch(33-241)
tr|A0A1G7BZH0|A0A1G7BZH0_9RHOB	GT-A	Branch(33-225)
tr|A0A1G7ETL9|A0A1G7ETL9_9RHOB	GT-A	Branch(31-248)
tr|A0A1G7IQC0|A0A1G7IQC0_9RHOB	GT-A	Branch(31-250)
tr|A0A1G7X7Z3|A0A1G7X7Z3_9RHOB	GT-A	Branch(4-241)
tr|A0A1G8J5Y6|A0A1G8J5Y6_9RHOB	GT-A	Branch(31-250)
tr|A0A1G8LVU2|A0A1G8LVU2_9FLAO	GT-A	Branch(25-252)
tr|A0A1G8N9K5|A0A1G8N9K5_9RHOB	GT-A	Branch(25-244)
tr|A0A1G8NM72|A0A1G8NM72_9RHOB	GT-A	Branch(33-241)
tr|A0A1G8NMG0|A0A1G8NMG0_9RHOB	GT-A	Branch(31-250)
tr|A0A1G8Q5W2|A0A1G8Q5W2_9RHOB	GT-A	Branch(4-241)
tr|A0A1G8SJQ7|A0A1G8SJQ7_9RHOB	GT-A	Branch(32-241)
tr|A0A1G8URT2|A0A1G8URT2_9SPHI	GT-A	Branch(3-256)
tr|A0A1G8UST8|A0A1G8UST8_9SPHI	GT-A	Branch(8-227)
