tr|U6PXS4|U6PXS4_HAECO	Vps35|TMhelix|GT-A|TMhelix|TMhelix	Vps35(14-750)|TMhelix(840-862)|Glucosylceramide_synthase(880-1109)|TMhelix(1135-1157)|TMhelix(1177-1199)
tr|A0A151I660|A0A151I660_9HYME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A151J2Z6|A0A151J2Z6_9HYME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A151WC83|A0A151WC83_HYPMA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(56-307)|TMhelix(320-342)|TMhelix(392-414)
tr|A0A151X0K3|A0A151X0K3_9HYME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(49-278)|TMhelix(279-301)|TMhelix(316-335)
tr|A0A154P0V2|A0A154P0V2_9HYME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A158BD80|A0A158BD80_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(11-394)|TMhelix(293-315)|TMhelix(363-385)
tr|A0A158IZ20|A0A158IZ20_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|HpnI(11-383)|TMhelix(292-314)|TMhelix(342-361)
tr|A0A158J7P9|A0A158J7P9_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(26-386)|TMhelix(302-324)|TMhelix(344-366)
tr|A0A158NVF3|A0A158NVF3_ATTCE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A160FJK2|A0A160FJK2_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(6-402)|TMhelix(299-321)|TMhelix(331-353)
tr|A0A165AHH3|A0A165AHH3_9HOMO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|Glucosylceramide_synthase(55-315)|TMhelix(342-364)|TMhelix(384-406)
tr|A0A165BT93|A0A165BT93_EXIGL	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(56-300)|TMhelix(328-350)|TMhelix(381-403)
tr|A0A165C987|A0A165C987_9APHY	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|Glucosylceramide_synthase(56-311)|TMhelix(348-370)|TMhelix(390-412)
tr|A0A165ECN6|A0A165ECN6_9BASI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(49-295)|TMhelix(308-330)|TMhelix(335-354)
tr|A0A165UKH1|A0A165UKH1_9APHY	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-32)|Glucosylceramide_synthase(57-307)|TMhelix(345-367)|TMhelix(387-409)
tr|A0A166IVL5|A0A166IVL5_9HOMO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|Glucosylceramide_synthase(55-315)|TMhelix(342-364)|TMhelix(384-406)
tr|A0A166M6Q7|A0A166M6Q7_9HOMO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(56-297)|TMhelix(338-357)|TMhelix(377-399)
tr|A0A166U0D0|A0A166U0D0_9HOMO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glucosylceramide_synthase(59-309)|TMhelix(323-345)|TMhelix(350-369)
tr|A0A168P3N7|A0A168P3N7_MUCCL	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(57-288)|TMhelix(291-313)|TMhelix(318-337)
tr|A0A178ZDA9|A0A178ZDA9_9EURO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(51-389)|TMhelix(391-413)|TMhelix(433-455)
tr|A0A182LWA6|A0A182LWA6_9DIPT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(12-34)|Glucosylceramide_synthase(52-281)|TMhelix(316-338)|TMhelix(348-370)
tr|A0A194USU5|A0A194USU5_9PEZI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(57-355)|TMhelix(357-379)|TMhelix(394-413)
tr|A0A195FKW4|A0A195FKW4_9HYME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A1A5TB24|A0A1A5TB24_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(274-293)|TMhelix(297-319)
tr|A0A1A9NBU5|A0A1A9NBU5_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(6-406)|TMhelix(302-324)|TMhelix(334-356)
tr|A0A1B3NFI6|A0A1B3NFI6_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(276-298)|TMhelix(303-325)
tr|A0A1B9GCY0|A0A1B9GCY0_9TREE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-46)|Glucosylceramide_synthase(73-324)|TMhelix(355-374)|TMhelix(394-416)
tr|A0A1C2DCQ2|A0A1C2DCQ2_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(43-272)|TMhelix(278-300)|TMhelix(304-326)
tr|A0A1E3H323|A0A1E3H323_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(44-273)|TMhelix(298-320)|TMhelix(340-362)
tr|A0A1E4RG82|A0A1E4RG82_9ASCO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(13-35)|Glyco_tranf_GTA_type(53-347)|TMhelix(350-372)|TMhelix(426-448)
tr|A0A1E4S9H2|A0A1E4S9H2_CYBJA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(49-71)|Glyco_tranf_GTA_type(102-366)|TMhelix(391-413)|TMhelix(470-492)
tr|A0A1E4TQH6|A0A1E4TQH6_PACTA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(39-61)|Glyco_tranf_GTA_type(90-359)|TMhelix(372-394)|TMhelix(399-421)
tr|A0A1F3AEE1|A0A1F3AEE1_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_transf_21(107-262)|TMhelix(266-288)|TMhelix(293-315)
tr|A0A1F5LV52|A0A1F5LV52_9EURO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(37-59)|Glyco_tranf_GTA_type(81-401)|TMhelix(445-467)|TMhelix(513-535)
tr|A0A1G4ISR1|A0A1G4ISR1_9SACH	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(47-69)|Glyco_tranf_GTA_type(90-415)|TMhelix(417-439)|TMhelix(444-463)
tr|A0A1G4KNT3|A0A1G4KNT3_9SACH	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(49-71)|Glyco_tranf_GTA_type(91-416)|TMhelix(418-437)|TMhelix(442-464)
tr|A0A1G7D2N1|A0A1G7D2N1_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(11-400)|TMhelix(295-317)|TMhelix(327-349)
tr|A0A1G7F2T7|A0A1G7F2T7_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(20-42)|HpnI(19-404)|TMhelix(305-324)|TMhelix(328-345)
tr|A0A1G7LL36|A0A1G7LL36_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(311-333)
tr|A0A1G7NWB8|A0A1G7NWB8_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(6-28)|HpnI(17-384)|TMhelix(288-310)|TMhelix(315-337)
tr|A0A1H4AI22|A0A1H4AI22_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(20-42)|HpnI(24-393)|TMhelix(319-341)|TMhelix(354-376)
tr|A0A1H4F106|A0A1H4F106_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|HpnI(6-401)|TMhelix(291-313)|TMhelix(323-342)
tr|A0A1H5YB21|A0A1H5YB21_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-29)|HpnI(11-388)|TMhelix(290-312)|TMhelix(317-339)
tr|A0A1H6BZ75|A0A1H6BZ75_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|HpnI(8-392)|TMhelix(290-312)|TMhelix(322-344)
tr|A0A1H8Y139|A0A1H8Y139_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_transf_21(98-262)|TMhelix(276-298)|TMhelix(303-325)
tr|A0A1H9AJX9|A0A1H9AJX9_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(14-395)|TMhelix(289-311)|TMhelix(321-343)
tr|A0A1I0XAC6|A0A1I0XAC6_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(306-328)
tr|A0A1I3D4B1|A0A1I3D4B1_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|HpnI(15-383)|TMhelix(295-317)|TMhelix(338-360)
tr|A0A1I3UCH2|A0A1I3UCH2_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-29)|HpnI(11-393)|TMhelix(290-312)|TMhelix(327-346)
tr|A0A1I4TPB1|A0A1I4TPB1_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(40-269)|TMhelix(273-295)|TMhelix(299-321)
tr|A0A1I6LI88|A0A1I6LI88_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-24)|HpnI(1-382)|TMhelix(285-307)|TMhelix(311-333)
tr|A0A1I7XZY5|A0A1I7XZY5_9BILA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(88-110)|Glucosylceramide_synthase(126-355)|TMhelix(358-380)|TMhelix(390-412)
tr|A0A1I8G4E6|A0A1I8G4E6_9PLAT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(56-286)|TMhelix(315-337)|TMhelix(357-379)
tr|A0A1I8HCA2|A0A1I8HCA2_9PLAT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glyco_tranf_GTA_type(62-295)|TMhelix(296-318)|TMhelix(323-345)
tr|A0A1I8NWI7|A0A1I8NWI7_STOCA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(288-310)|TMhelix(315-337)
tr|A0A1J9QG99|A0A1J9QG99_9EURO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(33-55)|Glyco_tranf_GTA_type(82-395)|TMhelix(397-419)|TMhelix(439-461)
tr|A0A1L0DCU2|A0A1L0DCU2_9ASCO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(47-334)|TMhelix(372-394)|TMhelix(423-445)
tr|A0A1L3LAZ2|A0A1L3LAZ2_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(40-268)|TMhelix(275-297)|TMhelix(302-321)
tr|A0A1L6I899|A0A1L6I899_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(11-387)|TMhelix(283-305)|TMhelix(320-339)
tr|A0A1L8HX59|A0A1L8HX59_XENLA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(315-337)|TMhelix(352-369)
tr|A0A1L9S3K2|A0A1L9S3K2_ASPWE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(26-48)|Glyco_tranf_GTA_type(70-385)|TMhelix(387-409)|TMhelix(429-451)
tr|A0A1M2YHV3|A0A1M2YHV3_9ARCH	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-351)|TMhelix(289-311)|TMhelix(326-343)
tr|A0A1M5H2A8|A0A1M5H2A8_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(50-279)|TMhelix(286-308)|TMhelix(318-340)
tr|A0A1M6WRB5|A0A1M6WRB5_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|HpnI(80-425)|TMhelix(314-336)|TMhelix(351-370)
tr|A0A1N6JP19|A0A1N6JP19_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(31-53)|HpnI(33-408)|TMhelix(326-348)|TMhelix(369-391)
tr|A0A1N6K6B7|A0A1N6K6B7_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|HpnI(6-404)|TMhelix(301-323)|TMhelix(333-355)
tr|A0A1N6KJ99|A0A1N6KJ99_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|HpnI(6-387)|TMhelix(283-305)|TMhelix(320-339)
tr|A0A1N6PMX0|A0A1N6PMX0_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(311-333)
tr|A0A1N7RQ84|A0A1N7RQ84_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(21-43)|HpnI(17-389)|TMhelix(307-329)|TMhelix(350-372)
tr|A0A1N7RVV4|A0A1N7RVV4_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(13-376)|TMhelix(285-307)|TMhelix(335-353)
tr|A0A1N7SSR8|A0A1N7SSR8_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(36-388)|TMhelix(285-307)|TMhelix(322-341)
tr|A0A1Q2MF41|A0A1Q2MF41_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(44-274)|TMhelix(287-309)|TMhelix(359-381)
tr|A0A1Q3QSR7|A0A1Q3QSR7_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|HpnI(55-412)|TMhelix(310-332)|TMhelix(336-358)
tr|A0A1Q3QWB0|A0A1Q3QWB0_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(31-388)|TMhelix(291-313)|TMhelix(317-339)
tr|A0A1Q4AHH8|A0A1Q4AHH8_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-271)|TMhelix(276-298)|TMhelix(303-325)
tr|A0A1Q4RMJ5|A0A1Q4RMJ5_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(6-28)|BcsA(15-404)|TMhelix(278-300)|TMhelix(310-332)
tr|A0A1Q6WB48|A0A1Q6WB48_9GAMM	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-29)|HpnI(36-379)|TMhelix(286-308)|TMhelix(339-361)
tr|A0A1Q6YAF9|A0A1Q6YAF9_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(12-34)|HpnI(14-383)|TMhelix(283-305)|TMhelix(310-332)
tr|A0A1Q7FSK2|A0A1Q7FSK2_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(21-383)|TMhelix(283-305)|TMhelix(310-332)
tr|A0A1Q7GD54|A0A1Q7GD54_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|HpnI(7-377)|TMhelix(282-304)|TMhelix(311-333)
tr|A0A1Q7YQR9|A0A1Q7YQR9_9CHLR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|HpnI(15-402)|TMhelix(303-325)|TMhelix(330-352)
tr|A0A1S3A596|A0A1S3A596_ERIEU	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(283-305)|TMhelix(310-329)
tr|A0A1S3CW03|A0A1S3CW03_DIACI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glucosylceramide_synthase(58-287)|TMhelix(323-345)|TMhelix(360-380)
tr|A0A1S3FQ80|A0A1S3FQ80_DIPOR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(283-305)|TMhelix(315-337)
tr|A0A1S3IFW3|A0A1S3IFW3_LINUN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glucosylceramide_synthase(58-290)|TMhelix(325-347)|TMhelix(362-384)
tr|A0A1S3IHS6|A0A1S3IHS6_LINUN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-284)|TMhelix(319-341)|TMhelix(356-378)
tr|A0A1S3MHM0|A0A1S3MHM0_SALSA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glucosylceramide_synthase(52-280)|TMhelix(282-304)|TMhelix(309-328)
tr|A0A1U7IDJ1|A0A1U7IDJ1_9NOSO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|BcsA(6-405)|TMhelix(279-301)|TMhelix(314-336)
tr|A0A1V4QMB4|A0A1V4QMB4_9DELT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(9-380)|TMhelix(282-304)|TMhelix(335-357)
tr|A0A1V8TUS5|A0A1V8TUS5_9PEZI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(20-42)|Glyco_tranf_GTA_type(64-365)|TMhelix(369-391)|TMhelix(411-433)
tr|A0A1W4UN08|A0A1W4UN08_DROFC	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A1W4X8D1|A0A1W4X8D1_AGRPL	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(283-305)|TMhelix(315-337)
tr|A0A1W6K3L3|A0A1W6K3L3_9CREN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-23)|BcsA(1-336)|TMhelix(271-300)|TMhelix(315-337)
tr|A0A1W9HRG4|A0A1W9HRG4_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|HpnI(4-378)|TMhelix(270-292)|TMhelix(296-318)
tr|A0A1X2I7C1|A0A1X2I7C1_9FUNG	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-27)|Glucosylceramide_synthase(52-283)|TMhelix(286-308)|TMhelix(313-332)
tr|A0A1X7DX23|A0A1X7DX23_PARCY	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(24-46)|HpnI(28-400)|TMhelix(304-326)|TMhelix(336-353)
tr|A0A1X7J0J3|A0A1X7J0J3_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|HpnI(80-427)|TMhelix(321-343)|TMhelix(353-375)
tr|A0A1Y0REF3|A0A1Y0REF3_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|HpnI(25-394)|TMhelix(292-314)|TMhelix(319-341)
tr|A0A1Y0RGG7|A0A1Y0RGG7_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|BcsA(6-393)|TMhelix(282-304)|TMhelix(311-333)
tr|A0A1Y1Y124|A0A1Y1Y124_9FUNG	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-21)|Glucosylceramide_synthase(44-274)|TMhelix(300-322)|TMhelix(402-424)
tr|A0A1Y1YNI8|A0A1Y1YNI8_9FUNG	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(33-55)|Glucosylceramide_synthase(79-309)|TMhelix(312-334)|TMhelix(339-358)
tr|A0A1Y2ARZ2|A0A1Y2ARZ2_9TREE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(55-330)|TMhelix(336-358)|TMhelix(362-384)
tr|A0A1Y5SUR1|A0A1Y5SUR1_9RHOB	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(45-273)|TMhelix(276-298)|TMhelix(308-330)
tr|A0A1Y6BB74|A0A1Y6BB74_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(17-389)|TMhelix(285-307)|TMhelix(311-333)
tr|A0A1Z4FW36|A0A1Z4FW36_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|BcsA(7-333)|TMhelix(282-304)|TMhelix(311-333)
tr|A0A1Z4JU61|A0A1Z4JU61_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|HpnI(6-376)|TMhelix(276-298)|TMhelix(303-325)
tr|A0A1Z4L2U2|A0A1Z4L2U2_NOSLI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-30)|BcsA(6-405)|TMhelix(279-301)|TMhelix(311-333)
tr|A0A1Z4NL77|A0A1Z4NL77_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(48-70)|BcsA(30-333)|TMhelix(320-342)|TMhelix(349-371)
tr|A0A1Z4R9Y2|A0A1Z4R9Y2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-23)|BcsA(4-390)|TMhelix(277-299)|TMhelix(309-331)
tr|A0A1Z5TM94|A0A1Z5TM94_HORWE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(22-44)|Glyco_tranf_GTA_type(67-381)|TMhelix(428-447)|TMhelix(476-498)
tr|A0A212PHY0|A0A212PHY0_9DELT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|HpnI(3-379)|TMhelix(280-299)|TMhelix(303-325)
tr|A0A212QM84|A0A212QM84_RHOAC	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-23)|Glucosylceramide_synthase(46-275)|TMhelix(277-299)|TMhelix(309-331)
tr|A0A218NNE5|A0A218NNE5_9ARCH	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|BcsA(5-351)|TMhelix(286-308)|TMhelix(323-342)
tr|A0A218QIH5|A0A218QIH5_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|HpnI(19-385)|TMhelix(286-308)|TMhelix(312-334)
tr|A0A218UTZ6|A0A218UTZ6_9PASE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(315-334)|TMhelix(349-369)
tr|A0A218W0S4|A0A218W0S4_PUNGR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(25-47)|Glyco_tranf_GTA_type(84-294)|TMhelix(321-343)|TMhelix(358-380)
tr|A0A218ZRY1|A0A218ZRY1_9EURY	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-355)|TMhelix(285-307)|TMhelix(322-344)
tr|A0A221A0K0|A0A221A0K0_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(67-418)|TMhelix(315-337)|TMhelix(347-369)
tr|A0A226N840|A0A226N840_CALSU	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-284)|TMhelix(286-308)|TMhelix(323-340)
tr|A0A238F8P9|A0A238F8P9_9BASI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(74-319)|TMhelix(332-354)|TMhelix(367-389)
tr|A0A239DJR2|A0A239DJR2_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(16-390)|TMhelix(293-315)|TMhelix(319-341)
tr|A0A246TSS0|A0A246TSS0_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(41-269)|TMhelix(276-298)|TMhelix(303-322)
tr|A0A251WX91|A0A251WX91_9RHOB	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(6-28)|Glucosylceramide_synthase(43-273)|TMhelix(277-299)|TMhelix(304-326)
tr|A0A252C159|A0A252C159_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(8-376)|TMhelix(284-306)|TMhelix(310-332)
tr|A0A257B399|A0A257B399_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(6-383)|TMhelix(284-306)|TMhelix(310-327)
tr|A0A257B6E1|A0A257B6E1_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(26-48)|HpnI(24-399)|TMhelix(301-323)|TMhelix(327-346)
tr|A0A258L853|A0A258L853_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(45-274)|TMhelix(278-300)|TMhelix(304-326)
tr|A0A284RA10|A0A284RA10_9AGAR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(20-42)|Glucosylceramide_synthase(66-318)|TMhelix(345-367)|TMhelix(387-409)
tr|A0A286URI6|A0A286URI6_9HOMO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glucosylceramide_synthase(62-329)|TMhelix(331-353)|TMhelix(399-421)
tr|A0A2B4SAN5|A0A2B4SAN5_STYPI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(20-42)|Glucosylceramide_synthase(59-288)|TMhelix(202-224)|TMhelix(315-337)
tr|A0A2C6W5C4|A0A2C6W5C4_NOSLI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-30)|BcsA(6-405)|TMhelix(279-301)|TMhelix(311-333)
tr|A0A2D0SN64|A0A2D0SN64_ICTPU	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-280)|TMhelix(282-304)|TMhelix(309-328)
tr|A0A2D3VDI0|A0A2D3VDI0_9PEZI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glyco_tranf_GTA_type(65-356)|TMhelix(369-391)|TMhelix(406-428)
tr|A0A2D5ZEG6|A0A2D5ZEG6_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(65-87)|HpnI(83-469)|TMhelix(348-370)|TMhelix(374-396)
tr|A0A2D9TDS0|A0A2D9TDS0_9DELT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(15-387)|TMhelix(284-306)|TMhelix(316-338)
tr|A0A2G5T3Z1|A0A2G5T3Z1_9PELO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(35-57)|Glucosylceramide_synthase(70-301)|TMhelix(326-348)|TMhelix(363-385)
tr|A0A2G5T4E7|A0A2G5T4E7_9PELO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(39-61)|Glucosylceramide_synthase(76-307)|TMhelix(331-353)|TMhelix(373-395)
tr|A0A2G8MIH1|A0A2G8MIH1_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-271)|TMhelix(273-295)|TMhelix(299-318)
