tr|A0A2P6TT09|A0A2P6TT09_CHLSO	WD40|WD40|GH43_62_32_68_117_130|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	WD40(14-197)|WD40(8-418)|GH43_62_32_68_117_130(771-941)|GH43_62_32_68_117_130(1156-1349)|TMhelix(1435-1452)|TMhelix(1542-1564)|Glyco_transf_64(1581-1822)
tr|Q08C36|Q08C36_DANRE	TMhelix|GT-A	TMhelix(17-39)|Glyco_transf_64(66-318)
tr|S0DLL9|S0DLL9_GIBF5	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_64(99-337)
tr|S0EG98|S0EG98_GIBF5	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-352)
tr|S8C4X4|S8C4X4_9LAMI	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_64(89-340)
tr|U3J809|U3J809_ANAPL	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(65-316)
tr|U3JIE3|U3JIE3_FICAL	TMhelix|GT-A	TMhelix(92-114)|Glyco_transf_64(137-388)
tr|U6H8Z4|U6H8Z4_HYMMI	TMhelix|GT-A	TMhelix(40-59)|Glyco_transf_64(512-745)
tr|V7C630|V7C630_PHAVU	TMhelix|GT-A	TMhelix(54-76)|Glyco_transf_64(93-344)
tr|W1PPL8|W1PPL8_AMBTC	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(69-320)
tr|W5LJ13|W5LJ13_ASTMX	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(72-328)
tr|W5QAF0|W5QAF0_SHEEP	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|W7MM09|W7MM09_GIBM7	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-349)
tr|W7UBZ4|W7UBZ4_9STRA	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_64(87-359)
tr|A0A2G2WUR2|A0A2G2WUR2_CAPBA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A|PTZ00368	TMhelix(30-52)|GH43_62_32_68_117_130(72-291)|TMhelix(391-413)|TMhelix(467-489)|Glyco_transf_64(506-732)|PTZ00368(736-840)
tr|A0A2G3CIR9|A0A2G3CIR9_CAPCH	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A|AIR1	TMhelix(30-52)|GH43_62_32_68_117_130(72-291)|TMhelix(391-413)|TMhelix(467-489)|Glyco_transf_64(506-748)|AIR1(762-841)
sp|Q84WB7|GT645_ARATH	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(41-63)|GH43_62_32_68_117_130(120-350)|TMhelix(400-422)|TMhelix(479-501)|Glyco_transf_64(518-756)
tr|A0A061FNM8|A0A061FNM8_THECC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(137-326)|TMhelix(418-440)|TMhelix(494-516)|Glyco_transf_64(533-771)
tr|A0A067EJQ7|A0A067EJQ7_CITSI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(92-114)|GH43_62_32_68_117_130(185-351)|TMhelix(433-455)|TMhelix(517-539)|Glyco_transf_64(556-784)
tr|A0A067LL22|A0A067LL22_JATCU	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(56-78)|GH43_62_32_68_117_130(154-320)|TMhelix(420-442)|TMhelix(496-518)|Glyco_transf_64(535-772)
tr|A0A072VN21|A0A072VN21_MEDTR	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(47-69)|GH43_62_32_68_117_130(143-309)|TMhelix(409-431)|TMhelix(485-507)|Glyco_transf_64(524-753)
tr|A0A103YD30|A0A103YD30_CYNCS	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(31-53)|GH43_62_32_68_117_130(126-292)|TMhelix(384-406)|TMhelix(468-490)|Glyco_transf_64(507-747)
tr|A0A199UNG5|A0A199UNG5_ANACO	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(62-84)|GH43_62_32_68_117_130(121-333)|TMhelix(425-447)|TMhelix(507-529)|Glyco_transf_64(547-776)
tr|A0A199VPF6|A0A199VPF6_ANACO	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(49-71)|GH43_62_32_68_117_130(118-307)|TMhelix(406-428)|TMhelix(481-503)|Glyco_transf_64(520-751)
tr|A0A1J6KC28|A0A1J6KC28_NICAT	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(58-80)|GH43_62_32_68_117_130(94-315)|TMhelix(407-429)|TMhelix(491-513)|Glyco_transf_64(530-767)
tr|A0A1J6KV29|A0A1J6KV29_NICAT	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(36-58)|GH43_62_32_68_117_130(75-299)|TMhelix(392-414)|TMhelix(471-493)|Glyco_transf_64(509-751)
tr|A0A1J7HH59|A0A1J7HH59_LUPAN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(48-70)|GH43_62_32_68_117_130(141-307)|TMhelix(406-428)|TMhelix(478-500)|Glyco_transf_64(522-751)
tr|A0A1Q3CC51|A0A1Q3CC51_CEPFO	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(71-93)|GH43_62_32_68_117_130(166-332)|TMhelix(432-454)|TMhelix(508-530)|Glyco_transf_64(547-785)
tr|A0A1R3KJ62|A0A1R3KJ62_9ROSI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(59-81)|GH43_62_32_68_117_130(154-320)|TMhelix(420-442)|TMhelix(496-518)|Glyco_transf_64(535-772)
tr|A0A1S2XXN8|A0A1S2XXN8_CICAR	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(50-72)|GH43_62_32_68_117_130(146-312)|TMhelix(412-434)|TMhelix(488-510)|Glyco_transf_64(527-765)
tr|A0A1S3BFY4|A0A1S3BFY4_CUCME	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(61-83)|GH43_62_32_68_117_130(130-322)|TMhelix(422-444)|TMhelix(498-520)|Glyco_transf_64(537-764)
tr|A0A1S3V703|A0A1S3V703_VIGRR	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(50-72)|GH43_62_32_68_117_130(142-308)|TMhelix(408-430)|TMhelix(484-506)|Glyco_transf_64(523-752)
tr|A0A1S3X7K9|A0A1S3X7K9_TOBAC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(94-315)|TMhelix(407-429)|TMhelix(491-513)|Glyco_transf_64(530-767)
tr|A0A1S3XE02|A0A1S3XE02_TOBAC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(36-58)|GH43_62_32_68_117_130(75-299)|TMhelix(392-414)|TMhelix(471-493)|Glyco_transf_64(509-659)
tr|A0A1S3Y224|A0A1S3Y224_TOBAC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(94-315)|TMhelix(407-429)|TMhelix(491-513)|Glyco_transf_64(530-767)
tr|A0A1S4B1L4|A0A1S4B1L4_TOBAC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(36-58)|GH43_62_32_68_117_130(75-299)|TMhelix(392-414)|TMhelix(471-493)|Glyco_transf_64(509-751)
tr|A0A1U7X8D1|A0A1U7X8D1_NICSY	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(36-58)|GH43_62_32_68_117_130(75-299)|TMhelix(392-414)|TMhelix(471-493)|Glyco_transf_64(509-751)
tr|A0A1U7XBP3|A0A1U7XBP3_NICSY	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(94-315)|TMhelix(407-429)|TMhelix(491-513)|Glyco_transf_64(530-767)
tr|A0A1U7YYH0|A0A1U7YYH0_NELNU	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(42-64)|GH43_62_32_68_117_130(80-299)|TMhelix(391-413)|TMhelix(475-497)|Glyco_transf_64(514-752)
tr|A0A1U8BML1|A0A1U8BML1_NELNU	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(39-61)|GH43_62_32_68_117_130(72-296)|TMhelix(388-410)|TMhelix(472-494)|Glyco_transf_64(511-740)
tr|A0A1U8GRM7|A0A1U8GRM7_CAPAN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(30-52)|GH43_62_32_68_117_130(156-310)|TMhelix(385-407)|TMhelix(467-489)|Glyco_transf_64(506-748)
tr|A0A1U8J735|A0A1U8J735_GOSHI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(62-84)|GH43_62_32_68_117_130(104-322)|TMhelix(422-444)|TMhelix(499-521)|Glyco_transf_64(537-767)
tr|A0A1U8JCH8|A0A1U8JCH8_GOSHI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(62-84)|GH43_62_32_68_117_130(241-322)|TMhelix(422-444)|TMhelix(499-521)|Glyco_transf_64(537-767)
tr|A0A200R5B7|A0A200R5B7_9MAGN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(41-63)|GH43_62_32_68_117_130(132-298)|TMhelix(390-412)|TMhelix(474-496)|Glyco_transf_64(513-752)
tr|A0A218WCN9|A0A218WCN9_PUNGR	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(51-73)|GH43_62_32_68_117_130(165-292)|TMhelix(394-416)|TMhelix(482-504)|Glyco_transf_64(521-751)
tr|A0A251QDQ9|A0A251QDQ9_PRUPE	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(153-319)|TMhelix(411-433)|TMhelix(495-517)|Glyco_transf_64(534-762)
tr|A0A251TSZ1|A0A251TSZ1_HELAN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(29-51)|GH43_62_32_68_117_130(187-291)|TMhelix(384-406)|TMhelix(467-489)|Glyco_transf_64(506-746)
tr|A0A2G2VEI7|A0A2G2VEI7_CAPBA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(51-73)|GH43_62_32_68_117_130(88-309)|TMhelix(401-423)|TMhelix(484-506)|Glyco_transf_64(524-761)
tr|A0A2G2Y6A1|A0A2G2Y6A1_CAPAN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(51-73)|GH43_62_32_68_117_130(88-309)|TMhelix(401-423)|TMhelix(484-506)|Glyco_transf_64(524-761)
tr|A0A2G3B0X1|A0A2G3B0X1_CAPCH	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(51-73)|GH43_62_32_68_117_130(88-309)|TMhelix(401-423)|TMhelix(484-506)|Glyco_transf_64(524-761)
tr|A0A2G9HAP8|A0A2G9HAP8_9LAMI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(49-71)|GH43_62_32_68_117_130(145-311)|TMhelix(391-413)|TMhelix(474-496)|Glyco_transf_64(514-742)
tr|A0A2H3Y6A4|A0A2H3Y6A4_PHODC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(20-42)|GH43_62_32_68_117_130(66-286)|TMhelix(386-408)|TMhelix(462-484)|Glyco_transf_64(501-730)
tr|A0A2H5QBM2|A0A2H5QBM2_CITUN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(94-116)|GH43_62_32_68_117_130(238-392)|TMhelix(484-506)|TMhelix(568-590)|Glyco_transf_64(607-835)
tr|A0A2I0ALB0|A0A2I0ALB0_9ASPA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(7-29)|GH43_62_32_68_117_130(118-270)|TMhelix(364-386)|TMhelix(446-468)|Glyco_transf_64(485-714)
tr|A0A2I4EM38|A0A2I4EM38_9ROSI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(54-76)|GH43_62_32_68_117_130(256-382)|TMhelix(409-431)|TMhelix(493-515)|Glyco_transf_64(532-760)
tr|A0A2I4HBV6|A0A2I4HBV6_9ROSI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(156-322)|TMhelix(414-436)|TMhelix(498-520)|Glyco_transf_64(537-765)
tr|A0A2J6LT33|A0A2J6LT33_LACSA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(30-52)|GH43_62_32_68_117_130(175-288)|TMhelix(380-402)|TMhelix(464-486)|Glyco_transf_64(503-734)
tr|A0A2K1J6T2|A0A2K1J6T2_PHYPA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(50-72)|GH43_62_32_68_117_130(143-309)|TMhelix(408-430)|TMhelix(480-502)|Glyco_transf_64(522-756)
tr|A0A2K1KHG7|A0A2K1KHG7_PHYPA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(48-70)|GH43_62_32_68_117_130(199-316)|TMhelix(400-422)|TMhelix(482-504)|Glyco_transf_64(522-757)
tr|A0A2K1KI90|A0A2K1KI90_PHYPA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(49-71)|GH43_62_32_68_117_130(145-317)|TMhelix(401-423)|TMhelix(483-505)|Glyco_transf_64(523-758)
tr|A0A2P5BL61|A0A2P5BL61_PARAD	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(65-87)|GH43_62_32_68_117_130(158-324)|TMhelix(424-446)|TMhelix(500-522)|Glyco_transf_64(539-767)
tr|A0A2P5BSI9|A0A2P5BSI9_9ROSA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(67-89)|GH43_62_32_68_117_130(166-332)|TMhelix(432-454)|TMhelix(508-530)|Glyco_transf_64(547-775)
tr|A0A2P6SCT9|A0A2P6SCT9_ROSCH	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(57-79)|GH43_62_32_68_117_130(157-323)|TMhelix(415-437)|TMhelix(499-521)|Glyco_transf_64(538-767)
tr|A0A2R6PW94|A0A2R6PW94_ACTCH	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(30-52)|GH43_62_32_68_117_130(68-287)|TMhelix(389-411)|TMhelix(463-485)|Glyco_transf_64(502-740)
tr|D7LXJ6|D7LXJ6_ARALL	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(41-63)|GH43_62_32_68_117_130(244-316)|TMhelix(400-422)|TMhelix(479-501)|Glyco_transf_64(518-747)
tr|D7UBS5|D7UBS5_VITVI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(38-60)|GH43_62_32_68_117_130(237-295)|TMhelix(387-409)|TMhelix(471-493)|Glyco_transf_64(510-739)
tr|E1ZQC1|E1ZQC1_CHLVA	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(31-53)|GH43_62_32_68_117_130(127-294)|TMhelix(376-398)|TMhelix(583-605)|Glyco_transf_64(635-883)
tr|K4D538|K4D538_SOLLC	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(49-71)|GH43_62_32_68_117_130(86-307)|TMhelix(399-421)|TMhelix(482-504)|Glyco_transf_64(522-759)
tr|K7LKG4|K7LKG4_SOYBN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(47-69)|GH43_62_32_68_117_130(140-306)|TMhelix(406-428)|TMhelix(482-504)|Glyco_transf_64(521-750)
tr|K7N4E5|K7N4E5_SOYBN	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(41-63)|GH43_62_32_68_117_130(133-309)|TMhelix(399-421)|TMhelix(475-497)|Glyco_transf_64(514-743)
tr|M0U5J9|M0U5J9_MUSAM	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(21-43)|GH43_62_32_68_117_130(198-335)|TMhelix(446-468)|TMhelix(522-544)|Glyco_transf_64(561-792)
tr|M1C579|M1C579_SOLTU	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(31-53)|GH43_62_32_68_117_130(71-304)|TMhelix(384-406)|TMhelix(466-488)|Glyco_transf_64(505-747)
tr|M1CM21|M1CM21_SOLTU	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(49-71)|GH43_62_32_68_117_130(86-307)|TMhelix(399-421)|TMhelix(482-504)|Glyco_transf_64(522-759)
tr|M4CZ01|M4CZ01_BRARP	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(39-61)|GH43_62_32_68_117_130(63-314)|TMhelix(398-420)|TMhelix(477-499)|Glyco_transf_64(516-745)
tr|S8E8H4|S8E8H4_9LAMI	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(18-40)|GH43_62_32_68_117_130(62-281)|TMhelix(375-397)|TMhelix(461-483)|Glyco_transf_64(499-738)
tr|V7BEP3|V7BEP3_PHAVU	TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(50-72)|GH43_62_32_68_117_130(140-306)|TMhelix(406-428)|TMhelix(482-504)|Glyco_transf_64(521-750)
tr|A0A2G9HPY4|A0A2G9HPY4_9LAMI	TMhelix|GH43_62_32_68_117_130|TMhelix|GT-A	TMhelix(50-72)|GH43_62_32_68_117_130(146-312)|TMhelix(393-415)|Glyco_transf_64(515-743)
tr|K4C2L8|K4C2L8_SOLLC	TMhelix|GH43_62_32_68_117_130|TMhelix|GT-A	TMhelix(32-54)|GH43_62_32_68_117_130(141-321)|TMhelix(385-407)|Glyco_transf_64(506-748)
tr|U5G1D6|U5G1D6_POPTR	TMhelix|GH43_62_32_68_117_130|TMhelix|GT-A	TMhelix(56-78)|GH43_62_32_68_117_130(267-328)|TMhelix(504-526)|Glyco_transf_64(543-771)
tr|W1NUJ8|W1NUJ8_AMBTC	TMhelix|Flu_PA|TMhelix|TMhelix|GT-A	TMhelix(53-75)|Flu_PA(91-255)|TMhelix(402-424)|TMhelix(475-497)|Glyco_transf_64(515-754)
tr|A0A0V0VBL2|A0A0V0VBL2_9BILA	TMhelix|Exotosin|TMhelix|GT-A	TMhelix(17-39)|Exostosin(279-454)|TMhelix(590-609)|Glyco_transf_64(636-873)
tr|A0A1D1VYY6|A0A1D1VYY6_RAMVA	TMhelix|Exotosin|GT-A|TMhelix	TMhelix(33-52)|Exostosin(252-469)|Glyco_transf_64(631-821)|TMhelix(915-937)
tr|A0A0V1HF28|A0A0V1HF28_9BILA	TMhelix|Exotosin|GT-A|Protein_Kinase	TMhelix(7-24)|Exostosin(97-408)|Glyco_transf_64(491-716)|PKc_CLK(1376-1705)
tr|A0A0V1N4I8|A0A0V1N4I8_9BILA	TMhelix|Exotosin|GT-A|Protein_Kinase	TMhelix(7-24)|Exostosin(97-390)|Glyco_transf_64(473-698)|PKc_CLK(1379-1708)
sp|A5D7I4|EXT1_BOVIN	TMhelix|Exotosin|GT-A	TMhelix(7-26)|Exostosin(112-396)|Glyco_transf_64(480-725)
sp|O77783|EXT2_BOVIN	TMhelix|Exotosin|GT-A	TMhelix(24-46)|Exostosin(100-380)|Glyco_transf_64(456-697)
sp|P70428|EXT2_MOUSE	TMhelix|Exotosin|GT-A	TMhelix(24-46)|Exostosin(100-380)|Glyco_transf_64(456-697)
sp|P97464|EXT1_MOUSE	TMhelix|Exotosin|GT-A	TMhelix(7-26)|Exostosin(112-396)|Glyco_transf_64(480-725)
sp|Q16394|EXT1_HUMAN	TMhelix|Exotosin|GT-A	TMhelix(7-26)|Exostosin(112-396)|Glyco_transf_64(480-725)
sp|Q5IGR6|EXT1C_DANRE	TMhelix|Exotosin|GT-A	TMhelix(7-26)|Exostosin(103-388)|Glyco_transf_64(472-716)
sp|Q5RBC3|EXT1_PONAB	TMhelix|Exotosin|GT-A	TMhelix(7-26)|Exostosin(112-396)|Glyco_transf_64(480-725)
sp|Q93063|EXT2_HUMAN	TMhelix|Exotosin|GT-A	TMhelix(24-46)|Exostosin(100-380)|Glyco_transf_64(456-697)
sp|Q9Y169|EXT2_DROME	TMhelix|Exotosin|GT-A	TMhelix(25-47)|Exostosin(105-380)|Glyco_transf_64(455-696)
tr|A0A016T6C9|A0A016T6C9_9BILA	TMhelix|Exotosin|GT-A	TMhelix(7-26)|Exostosin(70-351)|Glyco_transf_64(420-628)
tr|A0A044R6C8|A0A044R6C8_ONCVO	TMhelix|Exotosin|GT-A	TMhelix(7-25)|Exostosin(95-327)|Glyco_transf_64(402-637)
tr|A0A044S9M2|A0A044S9M2_ONCVO	TMhelix|Exotosin|GT-A	TMhelix(45-62)|Exostosin(119-401)|Glyco_transf_64(471-700)
tr|A0A067REC1|A0A067REC1_ZOONE	TMhelix|Exotosin|GT-A	TMhelix(20-42)|Exostosin(103-374)|Glyco_transf_64(448-689)
tr|A0A068YJZ1|A0A068YJZ1_ECHMU	TMhelix|Exotosin|GT-A	TMhelix(25-44)|Exostosin(81-384)|Glyco_transf_64(489-679)
tr|A0A087W1R2|A0A087W1R2_ECHMU	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(248-430)|Glyco_transf_64(592-829)
tr|A0A087ZZZ9|A0A087ZZZ9_APIME	TMhelix|Exotosin|GT-A	TMhelix(20-42)|Exostosin(97-373)|Glyco_transf_64(428-669)
tr|A0A0G2KAH7|A0A0G2KAH7_RAT	TMhelix|Exotosin|GT-A	TMhelix(24-46)|Exostosin(100-380)|Glyco_transf_64(456-697)
tr|A0A0K0JFY0|A0A0K0JFY0_BRUMA	TMhelix|Exotosin|GT-A	TMhelix(41-63)|Exostosin(211-454)|Glyco_transf_64(615-849)
tr|A0A0M4E727|A0A0M4E727_DROBS	TMhelix|Exotosin|GT-A	TMhelix(20-42)|Exostosin(102-378)|Glyco_transf_64(453-694)
tr|A0A0P6GSU9|A0A0P6GSU9_9CRUS	TMhelix|Exotosin|GT-A	TMhelix(32-54)|Exostosin(109-377)|Glyco_transf_64(456-701)
tr|A0A0S4TA00|A0A0S4TA00_HYMMI	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(253-430)|Glyco_transf_64(596-833)
tr|A0A0U1P5A5|A0A0U1P5A5_DROPS	TMhelix|Exotosin|GT-A	TMhelix(25-47)|Exostosin(161-479)|Glyco_transf_64(640-876)
tr|A0A0V0S7E0|A0A0V0S7E0_9BILA	TMhelix|Exotosin|GT-A	TMhelix(21-40)|Exostosin(280-455)|Glyco_transf_64(619-856)
tr|A0A0V0S8V2|A0A0V0S8V2_9BILA	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(150-361)|Glyco_transf_64(440-615)
tr|A0A0V0TNH4|A0A0V0TNH4_9BILA	TMhelix|Exotosin|GT-A	TMhelix(17-39)|Exostosin(279-454)|Glyco_transf_64(618-855)
tr|A0A0V0WEP0|A0A0V0WEP0_9BILA	TMhelix|Exotosin|GT-A	TMhelix(21-40)|Exostosin(280-455)|Glyco_transf_64(619-856)
tr|A0A0V0X3U7|A0A0V0X3U7_9BILA	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(150-361)|Glyco_transf_64(440-608)
tr|A0A0V0XIX6|A0A0V0XIX6_TRIPS	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(124-344)|Glyco_transf_64(423-598)
tr|A0A0V0Y6L2|A0A0V0Y6L2_TRIPS	TMhelix|Exotosin|GT-A	TMhelix(21-38)|Exostosin(289-441)|Glyco_transf_64(571-808)
tr|A0A0V0ZGZ5|A0A0V0ZGZ5_9BILA	TMhelix|Exotosin|GT-A	TMhelix(21-40)|Exostosin(280-455)|Glyco_transf_64(619-856)
tr|A0A0V1A8W9|A0A0V1A8W9_9BILA	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(150-361)|Glyco_transf_64(440-627)
tr|A0A0V1D674|A0A0V1D674_TRIBR	TMhelix|Exotosin|GT-A	TMhelix(17-39)|Exostosin(279-454)|Glyco_transf_64(618-855)
tr|A0A0V1DD38|A0A0V1DD38_TRIBR	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(150-360)|Glyco_transf_64(439-638)
tr|A0A0V1HNG1|A0A0V1HNG1_9BILA	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(150-361)|Glyco_transf_64(440-615)
tr|A0A0V1I0C1|A0A0V1I0C1_9BILA	TMhelix|Exotosin|GT-A	TMhelix(21-43)|Exostosin(280-455)|Glyco_transf_64(619-856)
tr|A0A0V1KWR1|A0A0V1KWR1_9BILA	TMhelix|Exotosin|GT-A	TMhelix(17-39)|Exostosin(279-454)|Glyco_transf_64(618-855)
tr|A0A0V1M8W2|A0A0V1M8W2_9BILA	TMhelix|Exotosin|GT-A	TMhelix(21-43)|Exostosin(280-455)|Glyco_transf_64(655-891)
tr|A0A0V1MP83|A0A0V1MP83_9BILA	TMhelix|Exotosin|GT-A	TMhelix(13-35)|Exostosin(150-361)|Glyco_transf_64(440-615)
tr|A0A0V1PC36|A0A0V1PC36_9BILA	TMhelix|Exotosin|GT-A	TMhelix(17-39)|Exostosin(279-454)|Glyco_transf_64(618-855)
tr|A0A154P3R5|A0A154P3R5_9HYME	TMhelix|Exotosin|GT-A	TMhelix(20-42)|Exostosin(97-373)|Glyco_transf_64(428-669)
tr|A0A158P279|A0A158P279_ATTCE	TMhelix|Exotosin|GT-A	TMhelix(20-42)|Exostosin(97-373)|Glyco_transf_64(446-687)
tr|A0A182FJC8|A0A182FJC8_ANOAL	TMhelix|Exotosin|GT-A	TMhelix(20-42)|Exostosin(100-402)|Glyco_transf_64(477-718)
tr|A0A182GWM5|A0A182GWM5_AEDAL	TMhelix|Exotosin|GT-A	TMhelix(21-43)|Exostosin(99-400)|Glyco_transf_64(474-715)
tr|A0A182HIM8|A0A182HIM8_ANOAR	TMhelix|Exotosin|GT-A	TMhelix(31-53)|Exostosin(121-421)|Glyco_transf_64(495-736)
tr|A0A182HX48|A0A182HX48_ANOAR	TMhelix|Exotosin|GT-A	TMhelix(7-25)|Exostosin(126-412)|Glyco_transf_64(461-688)
tr|A0A182J5K6|A0A182J5K6_9DIPT	TMhelix|Exotosin|GT-A	TMhelix(21-43)|Exostosin(100-400)|Glyco_transf_64(474-715)
tr|A0A182K2A0|A0A182K2A0_9DIPT	TMhelix|Exotosin|GT-A	TMhelix(7-25)|Exostosin(125-416)|Glyco_transf_64(500-690)
tr|A0A182KJZ3|A0A182KJZ3_9DIPT	TMhelix|Exotosin|GT-A	TMhelix(31-53)|Exostosin(124-425)|Glyco_transf_64(499-740)
tr|A0A182M694|A0A182M694_9DIPT	TMhelix|Exotosin|GT-A	TMhelix(7-25)|Exostosin(125-416)|Glyco_transf_64(500-747)
