tr|A0A1J8QIW8|A0A1J8QIW8_9HOMO	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(287-309)|TMhelix(337-359)|TMhelix(372-394)|TMhelix(426-448)|TMhelix(458-477)|UDP-g_GGTase(526-1754)|GT8_HUGT1_C_like(1806-2053)
tr|A0A1X0P0A1|A0A1X0P0A1_9TRYP	GT-A|GT-A	UDP-g_GGTase(39-1356)|GT8_HUGT1_C_like(1390-1646)
tr|A0A1X2I0S1|A0A1X2I0S1_9FUNG	GT-A|GT-A	UDP-g_GGTase(26-1265)|GT8_HUGT1_C_like(1315-1562)
tr|A0A1X7R512|A0A1X7R512_9SACH	GT-A|GT-A	UDP-g_GGTase(112-1120)|Glyco_tranf_GTA_type(1134-1348)
tr|A0A1X7RX47|A0A1X7RX47_ZYMTR	GT-A|GT-A	UDP-g_GGTase(23-1155)|GT8_HUGT1_C_like(1219-1466)
tr|A0A1Y1UNY4|A0A1Y1UNY4_9TREE	GT-A|GT-A	UDP-g_GGTase(33-1106)|GT8_HUGT1_C_like(1147-1394)
tr|A0A1Y1UWL0|A0A1Y1UWL0_9FUNG	GT-A|GT-A	UDP-g_GGTase(29-1237)|GT8_HUGT1_C_like(1290-1537)
tr|A0A1Y1WGH1|A0A1Y1WGH1_9FUNG	GT-A|GT-A	UDP-g_GGTase(30-1169)|GT8_HUGT1_C_like(1219-1465)
tr|A0A1Y1Y580|A0A1Y1Y580_9FUNG	GT-A|GT-A	UDP-g_GGTase(24-1172)|GT8_HUGT1_C_like(1221-1468)
tr|A0A1Y1ZJS6|A0A1Y1ZJS6_9FUNG	GT-A|GT-A	UDP-g_GGTase(32-1238)|GT8_HUGT1_C_like(1289-1536)
tr|A0A1Y1ZP69|A0A1Y1ZP69_9PLEO	GT-A|GT-A	UDP-g_GGTase(28-1148)|GT8_HUGT1_C_like(1216-1463)
tr|A0A1Y2BCF5|A0A1Y2BCF5_9TREE	GT-A|GT-A	UDP-g_GGTase(20-1207)|GT8_HUGT1_C_like(1255-1502)
tr|A0A1Y2BHZ6|A0A1Y2BHZ6_9FUNG	GT-A|GT-A	UDP-g_GGTase(1-281)|GT8_HUGT1_C_like(338-585)
tr|A0A1Y2BIL4|A0A1Y2BIL4_9FUNG	GT-A|GT-A	UDP-g_GGTase(4-249)|GT8_HUGT1_C_like(289-536)
tr|A0A1Y2C1C9|A0A1Y2C1C9_9FUNG	GT-A|GT-A	UDP-g_GGTase(24-1194)|GT8_HUGT1_C_like(1251-1498)
tr|A0A1Y2E6M0|A0A1Y2E6M0_9PEZI	GT-A|GT-A	UDP-g_GGTase(30-1133)|GT8_HUGT1_C_like(1177-1424)
tr|A0A1Y2F6G1|A0A1Y2F6G1_9ASCO	GT-A|GT-A	UDP-g_GGTase(13-873)|GT8_HUGT1_C_like(912-1159)
tr|A0A1Y2G8H9|A0A1Y2G8H9_9BASI	GT-A|GT-A	UDP-g_GGTase(1-1119)|GT8_HUGT1_C_like(1164-1411)
tr|A0A1Y2H368|A0A1Y2H368_9FUNG	GT-A|GT-A	UDP-g_GGTase(30-1197)|GT8_HUGT1_C_like(1240-1487)
tr|A0A1Y3B3X0|A0A1Y3B3X0_EURMA	GT-A|GT-A	UDP-g_GGTase(60-309)|GT8_HUGT1_C_like(362-569)
tr|A0A1Y3NQL1|A0A1Y3NQL1_PIRSE	GT-A|GT-A	UDP-g_GGTase(1-151)|Glyco_tranf_GTA_type(197-355)
tr|A0A1Z5KRN7|A0A1Z5KRN7_FISSO	GT-A|GT-A	UDP-g_GGTase(40-1311)|GT8_HUGT1_C_like(1333-1580)
tr|A0A200Q1F9|A0A200Q1F9_9MAGN	GT-A|GT-A	UDP-g_GGTase(37-1267)|GT8_HUGT1_C_like(1331-1584)
tr|A0A212EKZ9|A0A212EKZ9_DANPL	GT-A|GT-A	UDP-g_GGTase(22-367)|GT8_HUGT1_C_like(406-653)
tr|A0A218UHG5|A0A218UHG5_9PASE	GT-A|GT-A	UDP-g_GGTase(22-1179)|GT8_HUGT1_C_like(1234-1481)
tr|A0A218VA18|A0A218VA18_9PASE	GT-A|GT-A	UDP-g_GGTase(4-838)|GT8_HUGT1_C_like(851-1086)
tr|A0A218X4R1|A0A218X4R1_PUNGR	GT-A|GT-A	UDP-g_GGTase(32-1392)|GT8_HUGT1_C_like(1456-1703)
tr|A0A225VM55|A0A225VM55_9STRA	GT-A|GT-A	UDP-g_GGTase(156-1493)|Glyco_tranf_GTA_type(1569-1727)
tr|A0A226DFS6|A0A226DFS6_FOLCA	GT-A|GT-A	UDP-g_GGTase(33-1136)|GT8_HUGT1_C_like(1168-1415)
tr|A0A226MMU3|A0A226MMU3_CALSU	GT-A|GT-A	UDP-g_GGTase(54-1044)|GT8_HUGT1_C_like(1082-1329)
tr|A0A226MUZ5|A0A226MUZ5_CALSU	GT-A|GT-A	UDP-g_GGTase(32-996)|GT8_HUGT1_C_like(1051-1298)
tr|A0A226PUQ6|A0A226PUQ6_COLVI	GT-A|GT-A	UDP-g_GGTase(89-1170)|GT8_HUGT1_C_like(1150-1364)
tr|A0A229YYJ7|A0A229YYJ7_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1140)|GT8_HUGT1_C_like(1189-1436)
tr|A0A231MUA0|A0A231MUA0_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1140)|GT8_HUGT1_C_like(1189-1436)
tr|A0A232F7H1|A0A232F7H1_9HYME	GT-A|GT-A	UDP-g_GGTase(88-1245)|GT8_HUGT1_C_like(1282-1529)
tr|A0A238FQ82|A0A238FQ82_9BASI	GT-A|GT-A	UDP-g_GGTase(60-1335)|GT8_HUGT1_C_like(1405-1652)
tr|A0A250X5Y0|A0A250X5Y0_9CHLO	GT-A|GT-A	UDP-g_GGTase(21-1270)|GT8_HUGT1_C_like(1407-1654)
tr|A0A251RJL2|A0A251RJL2_PRUPE	GT-A|GT-A	UDP-g_GGTase(34-1256)|GT8_HUGT1_C_like(1318-1565)
tr|A0A251TTF1|A0A251TTF1_HELAN	GT-A|GT-A	UDP-g_GGTase(34-1260)|GT8_HUGT1_C_like(1323-1570)
tr|A0A261CBI5|A0A261CBI5_9PELO	GT-A|GT-A	UDP-g_GGTase(2-528)|GT8_HUGT1_C_like(562-819)
tr|A0A261CR76|A0A261CR76_9PELO	GT-A|GT-A	UDP-g_GGTase(22-1170)|GT8_HUGT1_C_like(1202-1449)
tr|A0A284QPY1|A0A284QPY1_9AGAR	GT-A|GT-A	UDP-g_GGTase(21-1207)|GT8_HUGT1_C_like(1255-1502)
tr|A0A286U6V2|A0A286U6V2_9HOMO	GT-A|GT-A	UDP-g_GGTase(25-1235)|GT8_HUGT1_C_like(1284-1531)
tr|A0A286XKK9|A0A286XKK9_CAVPO	GT-A|GT-A	UDP-g_GGTase(27-1174)|GT8_HUGT1_C_like(1213-1460)
tr|A0A287B9Y1|A0A287B9Y1_PIG	GT-A|GT-A	UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1257-1504)
tr|A0A287F8M8|A0A287F8M8_HORVV	GT-A|GT-A	UDP-g_GGTase(40-1236)|GT8_HUGT1_C_like(1297-1544)
tr|A0A2A2J638|A0A2A2J638_9BILA	GT-A|GT-A	UDP-g_GGTase(1-530)|GT8_HUGT1_C_like(561-820)
tr|A0A2A2LS40|A0A2A2LS40_9BILA	GT-A|GT-A	UDP-g_GGTase(1-589)|GT8_HUGT1_C_like(620-867)
tr|A0A2A4JZ71|A0A2A4JZ71_HELVI	GT-A|GT-A	UDP-g_GGTase(35-1224)|GT8_HUGT1_C_like(1263-1510)
tr|A0A2B4SGG0|A0A2B4SGG0_STYPI	GT-A|GT-A	UDP-g_GGTase(46-1214)|GT8_HUGT1_C_like(1254-1501)
tr|A0A2B7WMP1|A0A2B7WMP1_9EURO	GT-A|GT-A	UDP-g_GGTase(32-1151)|GT8_HUGT1_C_like(1199-1446)
tr|A0A2B7YCQ3|A0A2B7YCQ3_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1145)|GT8_HUGT1_C_like(1191-1438)
tr|A0A2C5X105|A0A2C5X105_9PEZI	GT-A|GT-A	UDP-g_GGTase(20-1123)|GT8_HUGT1_C_like(1166-1413)
tr|A0A2C5XNL7|A0A2C5XNL7_9HYPO	GT-A|GT-A	UDP-g_GGTase(25-1124)|GT8_HUGT1_C_like(1171-1418)
tr|A0A2C5YYB4|A0A2C5YYB4_9HYPO	GT-A|GT-A	UDP-g_GGTase(10-1099)|GT8_HUGT1_C_like(1147-1394)
tr|A0A2C5Z0Z8|A0A2C5Z0Z8_9HYPO	GT-A|GT-A	UDP-g_GGTase(2-243)|GT8_HUGT1_C_like(289-536)
tr|A0A2C9K919|A0A2C9K919_BIOGL	GT-A|GT-A	UDP-g_GGTase(40-1170)|GT8_HUGT1_C_like(1209-1456)
tr|A0A2D0R4N8|A0A2D0R4N8_ICTPU	GT-A|GT-A	UDP-g_GGTase(32-1193)|GT8_HUGT1_C_like(1242-1489)
tr|A0A2D0RBL5|A0A2D0RBL5_ICTPU	GT-A|GT-A	UDP-g_GGTase(37-1185)|GT8_HUGT1_C_like(1240-1487)
tr|A0A2D3V304|A0A2D3V304_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1161)|GT8_HUGT1_C_like(1227-1474)
tr|A0A2G2W8C0|A0A2G2W8C0_CAPBA	GT-A|GT-A	UDP-g_GGTase(17-282)|GT8_HUGT1_C_like(347-600)
tr|A0A2G2Y1T4|A0A2G2Y1T4_CAPAN	GT-A|GT-A	UDP-g_GGTase(17-250)|GT8_HUGT1_C_like(315-568)
tr|A0A2G3AUB3|A0A2G3AUB3_CAPCH	GT-A|GT-A	UDP-g_GGTase(17-250)|Glyco_tranf_GTA_type(315-509)
tr|A0A2G5HUH6|A0A2G5HUH6_CERBT	GT-A|GT-A	UDP-g_GGTase(25-1164)|GT8_HUGT1_C_like(1230-1477)
tr|A0A2G5SWA4|A0A2G5SWA4_9PELO	GT-A|GT-A	UDP-g_GGTase(22-1170)|GT8_HUGT1_C_like(1202-1449)
tr|A0A2G5VT87|A0A2G5VT87_9PELO	GT-A|GT-A	UDP-g_GGTase(8-510)|GT8_HUGT1_C_like(554-802)
tr|A0A2G7G7N3|A0A2G7G7N3_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A0A2G8S8H9|A0A2G8S8H9_9APHY	GT-A|GT-A	UDP-g_GGTase(21-1242)|GT8_HUGT1_C_like(1293-1540)
tr|A0A2G8S8U2|A0A2G8S8U2_9APHY	GT-A|GT-A	UDP-g_GGTase(21-1249)|GT8_HUGT1_C_like(1300-1547)
tr|A0A2G9HKZ8|A0A2G9HKZ8_9LAMI	GT-A|GT-A	UDP-g_GGTase(34-1265)|GT8_HUGT1_C_like(1329-1576)
tr|A0A2H1A7U6|A0A2H1A7U6_CANAR	GT-A|GT-A	UDP-g_GGTase(21-1135)|Glyco_tranf_GTA_type(1155-1386)
tr|A0A2H2I975|A0A2H2I975_CAEJA	GT-A|GT-A	UDP-g_GGTase(27-1061)|GT8_HUGT1_C_like(1093-1341)
tr|A0A2H2IF56|A0A2H2IF56_CAEJA	GT-A|GT-A	UDP-g_GGTase(22-1171)|GT8_HUGT1_C_like(1203-1450)
tr|A0A2H2ZTG8|A0A2H2ZTG8_9HYPO	GT-A|GT-A	UDP-g_GGTase(25-1127)|GT8_HUGT1_C_like(1172-1419)
tr|A0A2H3BN05|A0A2H3BN05_9AGAR	GT-A|GT-A	UDP-g_GGTase(21-1209)|GT8_HUGT1_C_like(1257-1504)
tr|A0A2H3CUV5|A0A2H3CUV5_ARMGA	GT-A|GT-A	UDP-g_GGTase(21-1209)|GT8_HUGT1_C_like(1257-1504)
tr|A0A2H3FIS5|A0A2H3FIS5_9HELO	GT-A|GT-A	UDP-g_GGTase(29-1142)|GT8_HUGT1_C_like(1186-1433)
tr|A0A2H3HTQ9|A0A2H3HTQ9_FUSOX	GT-A|GT-A	UDP-g_GGTase(22-1121)|GT8_HUGT1_C_like(1167-1414)
tr|A0A2H3IJ41|A0A2H3IJ41_9EURO	GT-A|GT-A	UDP-g_GGTase(26-1134)|GT8_HUGT1_C_like(1185-1432)
tr|A0A2H3IZV9|A0A2H3IZV9_WOLCO	GT-A|GT-A	UDP-g_GGTase(24-1225)|GT8_HUGT1_C_like(1275-1522)
tr|A0A2H3SZA2|A0A2H3SZA2_FUSOX	GT-A|GT-A	UDP-g_GGTase(13-1112)|GT8_HUGT1_C_like(1158-1405)
tr|A0A2H3YQS0|A0A2H3YQS0_PHODC	GT-A|GT-A	UDP-g_GGTase(36-1271)|Glyco_tranf_GTA_type(1335-1545)
tr|A0A2H5QDY1|A0A2H5QDY1_CITUN	GT-A|GT-A	UDP-g_GGTase(34-1351)|GT8_HUGT1_C_like(1410-1657)
tr|A0A2H5SLX8|A0A2H5SLX8_RHIID	GT-A|GT-A	UDP-g_GGTase(30-1233)|GT8_HUGT1_C_like(1268-1515)
tr|A0A2I0RGW4|A0A2I0RGW4_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1157)|GT8_HUGT1_C_like(1223-1470)
tr|A0A2I1CKJ7|A0A2I1CKJ7_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A0A2I1GUV7|A0A2I1GUV7_9GLOM	GT-A|GT-A	UDP-g_GGTase(30-1181)|GT8_HUGT1_C_like(1216-1463)
tr|A0A2I2FJX8|A0A2I2FJX8_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1130)|GT8_HUGT1_C_like(1177-1424)
tr|A0A2I2FYN8|A0A2I2FYN8_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1136)|GT8_HUGT1_C_like(1185-1432)
tr|A0A2I4AMA9|A0A2I4AMA9_9TELE	GT-A|GT-A	UDP-g_GGTase(43-1201)|GT8_HUGT1_C_like(1252-1499)
tr|A0A2I4BBT9|A0A2I4BBT9_9TELE	GT-A|GT-A	UDP-g_GGTase(39-1207)|GT8_HUGT1_C_like(1250-1497)
tr|A0A2I4FV41|A0A2I4FV41_9ROSI	GT-A|GT-A	UDP-g_GGTase(35-1269)|GT8_HUGT1_C_like(1330-1577)
tr|A0A2J5HTL2|A0A2J5HTL2_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1130)|GT8_HUGT1_C_like(1177-1424)
tr|A0A2J6KCX6|A0A2J6KCX6_LACSA	GT-A|GT-A	UDP-g_GGTase(34-1225)|GT8_HUGT1_C_like(1288-1537)
tr|A0A2J6PRQ3|A0A2J6PRQ3_9HELO	GT-A|GT-A	UDP-g_GGTase(29-1143)|GT8_HUGT1_C_like(1188-1435)
tr|A0A2J6RVW7|A0A2J6RVW7_9HELO	GT-A|GT-A	UDP-g_GGTase(29-1143)|GT8_HUGT1_C_like(1188-1435)
tr|A0A2J6TVP1|A0A2J6TVP1_9HELO	GT-A|GT-A	UDP-g_GGTase(29-1142)|GT8_HUGT1_C_like(1187-1434)
tr|A0A2J7QLD5|A0A2J7QLD5_9NEOP	GT-A|GT-A	UDP-g_GGTase(26-1211)|GT8_HUGT1_C_like(1250-1497)
tr|A0A2K0WK14|A0A2K0WK14_GIBNY	GT-A|GT-A	UDP-g_GGTase(24-1121)|GT8_HUGT1_C_like(1167-1414)
tr|A0A2K1KUI1|A0A2K1KUI1_PHYPA	GT-A|GT-A	UDP-g_GGTase(29-1270)|GT8_HUGT1_C_like(1328-1575)
tr|A0A2K2B054|A0A2K2B054_POPTR	GT-A|GT-A	UDP-g_GGTase(36-1274)|GT8_HUGT1_C_like(1337-1584)
tr|A0A2K3QR85|A0A2K3QR85_9HYPO	GT-A|GT-A	UDP-g_GGTase(90-1188)|GT8_HUGT1_C_like(1234-1481)
tr|A0A2K5F4S6|A0A2K5F4S6_AOTNA	GT-A|GT-A	UDP-g_GGTase(1-1130)|GT8_HUGT1_C_like(1176-1423)
tr|A0A2K5JDB7|A0A2K5JDB7_COLAP	GT-A|GT-A	UDP-g_GGTase(29-1162)|GT8_HUGT1_C_like(1221-1446)
tr|A0A2K5KC24|A0A2K5KC24_COLAP	GT-A|GT-A	UDP-g_GGTase(33-1192)|GT8_HUGT1_C_like(1231-1478)
tr|A0A2K5LDI1|A0A2K5LDI1_CERAT	GT-A|GT-A	UDP-g_GGTase(33-1192)|GT8_HUGT1_C_like(1231-1478)
tr|A0A2K6CU35|A0A2K6CU35_MACNE	GT-A|GT-A	UDP-g_GGTase(35-1164)|GT8_HUGT1_C_like(1219-1466)
tr|A0A2K6EBX4|A0A2K6EBX4_MACNE	GT-A|GT-A	UDP-g_GGTase(33-1192)|GT8_HUGT1_C_like(1231-1478)
tr|A0A2K6EYS8|A0A2K6EYS8_PROCO	GT-A|GT-A	UDP-g_GGTase(20-1101)|GT8_HUGT1_C_like(1156-1403)
tr|A0A2K6FFU9|A0A2K6FFU9_PROCO	GT-A|GT-A	UDP-g_GGTase(33-1170)|GT8_HUGT1_C_like(1209-1456)
tr|A0A2K6LNW1|A0A2K6LNW1_RHIBE	GT-A|GT-A	UDP-g_GGTase(33-1094)|GT8_HUGT1_C_like(1133-1380)
tr|A0A2K6QS50|A0A2K6QS50_RHIRO	GT-A|GT-A	UDP-g_GGTase(33-1192)|GT8_HUGT1_C_like(1231-1478)
tr|A0A2K6S3G3|A0A2K6S3G3_SAIBB	GT-A|GT-A	UDP-g_GGTase(33-1185)|GT8_HUGT1_C_like(1231-1478)
tr|A0A2N1J898|A0A2N1J898_9BASI	GT-A|GT-A	UDP-g_GGTase(23-1190)|GT8_HUGT1_C_like(1236-1483)
tr|A0A2N3NEL5|A0A2N3NEL5_9PEZI	GT-A|GT-A	UDP-g_GGTase(26-1135)|GT8_HUGT1_C_like(1190-1437)
tr|A0A2N5T0P6|A0A2N5T0P6_9BASI	GT-A|GT-A	UDP-g_GGTase(26-1237)|GT8_HUGT1_C_like(1290-1537)
tr|A0A2N5VVX5|A0A2N5VVX5_9BASI	GT-A|GT-A	UDP-g_GGTase(26-1237)|GT8_HUGT1_C_like(1290-1537)
tr|A0A2N6N8M7|A0A2N6N8M7_BEABA	GT-A|GT-A	UDP-g_GGTase(1-69)|GT8_HUGT1_C_like(115-362)
tr|A0A2P4GNS2|A0A2P4GNS2_QUESU	GT-A|GT-A	UDP-g_GGTase(36-1274)|GT8_HUGT1_C_like(1335-1582)
tr|A0A2P4H706|A0A2P4H706_QUESU	GT-A|GT-A	UDP-g_GGTase(24-1153)|GT8_HUGT1_C_like(1219-1466)
tr|A0A2P4J4U2|A0A2P4J4U2_QUESU	GT-A|GT-A	UDP-g_GGTase(24-1147)|GT8_HUGT1_C_like(1213-1460)
tr|A0A2P4TE87|A0A2P4TE87_BAMTH	GT-A|GT-A	UDP-g_GGTase(65-404)|GT8_HUGT1_C_like(459-706)
tr|A0A2P5A3J6|A0A2P5A3J6_9HYPO	GT-A|GT-A	UDP-g_GGTase(25-1041)|GT8_HUGT1_C_like(1087-1334)
tr|A0A2P5I9C5|A0A2P5I9C5_9PEZI	GT-A|GT-A	UDP-g_GGTase(30-1134)|GT8_HUGT1_C_like(1179-1426)
tr|A0A2P5Q708|A0A2P5Q708_GOSBA	GT-A|GT-A	UDP-g_GGTase(34-1250)|Glyco_tranf_GTA_type(1312-1509)
tr|A0A2P6PD25|A0A2P6PD25_ROSCH	GT-A|GT-A	UDP-g_GGTase(31-1259)|GT8_HUGT1_C_like(1321-1568)
tr|A0A2P6TFX9|A0A2P6TFX9_CHLSO	GT-A|GT-A	UDP-g_GGTase(40-1404)|GT8_HUGT1_C_like(1461-1708)
tr|A0A2P6V2I9|A0A2P6V2I9_9CHLO	GT-A|GT-A	UDP-g_GGTase(32-1361)|GT8_HUGT1_C_like(1419-1666)
tr|A0A2R5G2C9|A0A2R5G2C9_9STRA	GT-A|GT-A	UDP-g_GGTase(34-1065)|GT8_HUGT1_C_like(1140-1387)
tr|A0A2R6NF41|A0A2R6NF41_9APHY	GT-A|GT-A	UDP-g_GGTase(5-1031)|GT8_HUGT1_C_like(1081-1324)
tr|A0A2R6RDV9|A0A2R6RDV9_ACTCH	GT-A|GT-A	UDP-g_GGTase(34-1080)|GT8_HUGT1_C_like(1125-1372)
tr|A0A2R6W4D6|A0A2R6W4D6_MARPO	GT-A|GT-A	UDP-g_GGTase(39-1259)|GT8_HUGT1_C_like(1330-1577)
tr|A0A2R8PZV9|A0A2R8PZV9_DANRE	GT-A|GT-A	UDP-g_GGTase(21-1148)|GT8_HUGT1_C_like(1195-1442)
tr|A0A2R9BDQ0|A0A2R9BDQ0_PANPA	GT-A|GT-A	UDP-g_GGTase(33-1189)|GT8_HUGT1_C_like(1231-1478)
tr|A1CF99|A1CF99_ASPCL	GT-A|GT-A	UDP-g_GGTase(29-1145)|GT8_HUGT1_C_like(1193-1440)
tr|A1CYT5|A1CYT5_NEOFI	GT-A|GT-A	UDP-g_GGTase(29-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A2D9P7|A2D9P7_TRIVA	GT-A|GT-A	UDP-g_GGTase(99-995)|GT8_HUGT1_C_like(1020-1267)
tr|A2DBB6|A2DBB6_TRIVA	GT-A|GT-A	UDP-g_GGTase(20-1020)|GT8_HUGT1_C_like(1059-1306)
tr|A2E331|A2E331_TRIVA	GT-A|GT-A	UDP-g_GGTase(233-445)|Glyco_tranf_GTA_type(931-1128)
tr|A2EG39|A2EG39_TRIVA	GT-A|GT-A	UDP-g_GGTase(24-908)|Glyco_tranf_GTA_type(923-1171)
tr|A2EJK8|A2EJK8_TRIVA	GT-A|GT-A	UDP-g_GGTase(132-683)|Glyco_tranf_GTA_type(809-1017)
tr|A2EY94|A2EY94_TRIVA	GT-A|GT-A	UDP-g_GGTase(130-910)|Glyco_tranf_GTA_type(962-1209)
tr|A2FFU1|A2FFU1_TRIVA	GT-A|GT-A	UDP-g_GGTase(23-995)|GT8_HUGT1_C_like(1020-1267)
tr|A2FK31|A2FK31_TRIVA	GT-A|GT-A	UDP-g_GGTase(23-984)|Glyco_tranf_GTA_type(1025-1273)
tr|A2QNN6|A2QNN6_ASPNC	GT-A|GT-A	UDP-g_GGTase(30-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A3LUC6|A3LUC6_PICST	GT-A|GT-A	UDP-g_GGTase(33-1167)|GT8_HUGT1_C_like(1206-1454)
tr|A4HHL1|A4HHL1_LEIBR	GT-A|GT-A	UDP-g_GGTase(42-1461)|GT8_HUGT1_C_like(1503-1759)
tr|A4I4S1|A4I4S1_LEIIN	GT-A|GT-A	UDP-g_GGTase(15-1430)|GT8_HUGT1_C_like(1472-1728)
tr|A4RQS2|A4RQS2_OSTLU	GT-A|GT-A	UDP-g_GGTase(4-192)|GT8_HUGT1_C_like(224-471)
tr|A5DMZ6|A5DMZ6_PICGU	GT-A|GT-A	UDP-g_GGTase(24-1078)|Glyco_tranf_GTA_type(1107-1355)
tr|A5DXB4|A5DXB4_LODEL	GT-A|GT-A	UDP-g_GGTase(34-1201)|Glyco_tranf_GTA_type(1236-1473)
tr|A7F0L1|A7F0L1_SCLS1	GT-A|GT-A	UDP-g_GGTase(29-1141)|GT8_HUGT1_C_like(1186-1433)
tr|A7TPK1|A7TPK1_VANPO	GT-A|GT-A	UDP-g_GGTase(130-921)|Glyco_tranf_GTA_type(1084-1299)
tr|A8NCT1|A8NCT1_COPC7	GT-A|GT-A	UDP-g_GGTase(23-1221)|GT8_HUGT1_C_like(1265-1508)
tr|A8XPN2|A8XPN2_CAEBR	GT-A|GT-A	UDP-g_GGTase(73-1174)|GT8_HUGT1_C_like(1206-1453)
tr|A8Y1C8|A8Y1C8_CAEBR	GT-A|GT-A	UDP-g_GGTase(8-967)|GT8_HUGT1_C_like(1011-1259)
tr|B0WIX0|B0WIX0_CULQU	GT-A|GT-A	UDP-g_GGTase(26-1192)|GT8_HUGT1_C_like(1228-1475)
tr|B2VLJ0|B2VLJ0_PODAN	GT-A|GT-A	UDP-g_GGTase(28-1139)|GT8_HUGT1_C_like(1192-1439)
tr|B2VVG3|B2VVG3_PYRTR	GT-A|GT-A	UDP-g_GGTase(28-1139)|GT8_HUGT1_C_like(1202-1449)
tr|B3M861|B3M861_DROAN	GT-A|GT-A	UDP-g_GGTase(29-1197)|GT8_HUGT1_C_like(1241-1488)
tr|B3RM47|B3RM47_TRIAD	GT-A|GT-A	UDP-g_GGTase(30-1186)|GT8_HUGT1_C_like(1230-1458)
tr|B4GRR3|B4GRR3_DROPE	GT-A|GT-A	UDP-g_GGTase(1-730)|GT8_HUGT1_C_like(774-1021)
tr|B4IFW7|B4IFW7_DROSE	GT-A|GT-A	UDP-g_GGTase(29-1142)|GT8_HUGT1_C_like(1186-1433)
tr|B4IYE1|B4IYE1_DROGR	GT-A|GT-A	UDP-g_GGTase(35-1205)|GT8_HUGT1_C_like(1247-1494)
tr|B4KZ01|B4KZ01_DROMO	GT-A|GT-A	UDP-g_GGTase(35-1203)|GT8_HUGT1_C_like(1245-1492)
tr|B4LD55|B4LD55_DROVI	GT-A|GT-A	UDP-g_GGTase(35-1204)|GT8_HUGT1_C_like(1246-1493)
tr|B4N4V0|B4N4V0_DROWI	GT-A|GT-A	UDP-g_GGTase(35-1203)|GT8_HUGT1_C_like(1247-1494)
tr|B4QPX4|B4QPX4_DROSI	GT-A|GT-A	UDP-g_GGTase(29-1179)|GT8_HUGT1_C_like(1223-1470)
tr|B6AC80|B6AC80_CRYMR	GT-A|GT-A	UDP-g_GGTase(1510-1568)|Glyco_tranf_GTA_type(1885-1985)
tr|B6GYR2|B6GYR2_PENRW	GT-A|GT-A	UDP-g_GGTase(30-1143)|GT8_HUGT1_C_like(1189-1436)
tr|B6K765|B6K765_SCHJY	GT-A|GT-A	UDP-g_GGTase(22-1100)|GT8_HUGT1_C_like(1135-1382)
tr|B6QQX1|B6QQX1_TALMQ	GT-A|GT-A	UDP-g_GGTase(26-1137)|GT8_HUGT1_C_like(1188-1435)
tr|B7PJA9|B7PJA9_IXOSC	GT-A|GT-A	UDP-g_GGTase(2-1029)|GT8_HUGT1_C_like(1070-1317)
tr|B8AGC9|B8AGC9_ORYSI	GT-A|GT-A	UDP-g_GGTase(38-1242)|GT8_HUGT1_C_like(1372-1619)
tr|B8M6X7|B8M6X7_TALSN	GT-A|GT-A	UDP-g_GGTase(27-1139)|GT8_HUGT1_C_like(1190-1437)
tr|B8NAW7|B8NAW7_ASPFN	GT-A|GT-A	UDP-g_GGTase(3-1007)|GT8_HUGT1_C_like(1056-1303)
tr|B9SU65|B9SU65_RICCO	GT-A|GT-A	UDP-g_GGTase(34-1237)|Glyco_tranf_GTA_type(1302-1499)
tr|C0NGU3|C0NGU3_AJECG	GT-A|GT-A	UDP-g_GGTase(32-1149)|GT8_HUGT1_C_like(1195-1442)
tr|C1FE59|C1FE59_MICCC	GT-A|GT-A	UDP-g_GGTase(28-1276)|GT8_HUGT1_C_like(1376-1623)
tr|C1GCZ3|C1GCZ3_PARBD	GT-A|GT-A	UDP-g_GGTase(32-1152)|GT8_HUGT1_C_like(1196-1443)
tr|C1H9J0|C1H9J0_PARBA	GT-A|GT-A	UDP-g_GGTase(32-1155)|GT8_HUGT1_C_like(1199-1446)
tr|C1MLJ1|C1MLJ1_MICPC	GT-A|GT-A	UDP-g_GGTase(31-1329)|GT8_HUGT1_C_like(1367-1614)
tr|C3ZE29|C3ZE29_BRAFL	GT-A|GT-A	UDP-g_GGTase(109-1291)|GT8_HUGT1_C_like(1346-1593)
tr|C4JW71|C4JW71_UNCRE	GT-A|GT-A	UDP-g_GGTase(28-1097)|GT8_HUGT1_C_like(1142-1389)
