tr|A0A2I1CKB3|A0A2I1CKB3_9EURO	Transporter|Transporter|Transporter|GT-A	Mito_carr(43-128)|Mito_carr(152-260)|Mito_carr(228-322)|Anp1(535-800)
tr|J7R952|J7R952_KAZNA	TMhelix|GT-A	TMhelix(39-61)|Anp1(146-458)
tr|J7S1Z4|J7S1Z4_KAZNA	TMhelix|GT-A	TMhelix(15-34)|Anp1(96-359)
tr|J7S9Z6|J7S9Z6_KAZNA	TMhelix|GT-A	TMhelix(13-35)|Anp1(68-328)
tr|J8Q365|J8Q365_SACAR	TMhelix|GT-A	TMhelix(21-43)|Anp1(62-323)
tr|J8Q4E7|J8Q4E7_SACAR	TMhelix|GT-A	TMhelix(62-84)|Anp1(171-480)
tr|K0KC33|K0KC33_WICCF	TMhelix|GT-A	TMhelix(25-47)|Anp1(64-323)
tr|K0KH70|K0KH70_WICCF	TMhelix|GT-A	TMhelix(20-37)|Anp1(71-334)
tr|K0KZ34|K0KZ34_WICCF	TMhelix|GT-A	TMhelix(34-51)|Anp1(117-425)
tr|K1RGH8|K1RGH8_CRAGI	TMhelix|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(147-370)
tr|K1RYP8|K1RYP8_CRAGI	TMhelix|GT-A	TMhelix(7-28)|Glyco_tranf_GTA_type(99-326)
tr|K1WI08|K1WI08_MARBU	TMhelix|GT-A	TMhelix(12-29)|Anp1(74-339)
tr|K2SG86|K2SG86_MACPH	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-366)
tr|L2FEZ4|L2FEZ4_COLGN	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|L2FG25|L2FG25_COLGN	TMhelix|GT-A	TMhelix(13-35)|Anp1(70-332)
tr|L2FHX2|L2FHX2_COLGN	TMhelix|GT-A	TMhelix(20-42)|Anp1(63-325)
tr|L8G7V5|L8G7V5_PSED2	TMhelix|GT-A	TMhelix(57-79)|Anp1(100-362)
tr|M2LCF4|M2LCF4_BAUPA	TMhelix|GT-A	TMhelix(66-88)|Anp1(113-375)
tr|M2LVD7|M2LVD7_BAUPA	TMhelix|GT-A	TMhelix(13-30)|Anp1(85-345)
tr|M2NL91|M2NL91_BAUPA	TMhelix|GT-A	TMhelix(9-26)|Glyco_tranf_GTA_type(128-319)
tr|M2QUV9|M2QUV9_COCSN	TMhelix|GT-A	TMhelix(13-30)|Anp1(68-332)
tr|M2TKW9|M2TKW9_COCSN	TMhelix|GT-A	TMhelix(51-73)|Anp1(95-357)
tr|M2UA59|M2UA59_COCH5	TMhelix|GT-A	TMhelix(13-30)|Anp1(68-332)
tr|M2US89|M2US89_COCH5	TMhelix|GT-A	TMhelix(143-160)|Anp1(213-477)
tr|M2V6W4|M2V6W4_COCH5	TMhelix|GT-A	TMhelix(51-73)|Anp1(95-357)
tr|M2ZY65|M2ZY65_PSEFD	TMhelix|GT-A	TMhelix(33-50)|Anp1(102-364)
tr|M3C8U4|M3C8U4_SPHMS	TMhelix|GT-A	TMhelix(33-50)|Anp1(102-364)
tr|M3IUG0|M3IUG0_CANMX	TMhelix|GT-A	TMhelix(12-31)|Anp1(96-371)
tr|M3JW32|M3JW32_CANMX	TMhelix|GT-A	TMhelix(33-55)|Anp1(75-334)
tr|M7TEH7|M7TEH7_EUTLA	TMhelix|GT-A	TMhelix(13-32)|Anp1(64-328)
tr|M7TY25|M7TY25_BOTF1	TMhelix|GT-A	TMhelix(13-35)|Anp1(75-340)
tr|M7ULR3|M7ULR3_BOTF1	TMhelix|GT-A	TMhelix(49-71)|Anp1(92-354)
tr|N1J7E5|N1J7E5_BLUG1	TMhelix|GT-A	TMhelix(45-67)|Anp1(90-349)
tr|N1J9G2|N1J9G2_BLUG1	TMhelix|GT-A	TMhelix(13-30)|Anp1(74-339)
tr|N1JAZ2|N1JAZ2_BLUG1	TMhelix|GT-A	TMhelix(33-50)|Anp1(102-366)
tr|N1PM37|N1PM37_DOTSN	TMhelix|GT-A	TMhelix(33-55)|Anp1(102-364)
tr|N1Q2M6|N1Q2M6_DOTSN	TMhelix|GT-A	TMhelix(13-32)|Anp1(81-344)
tr|N1QAK1|N1QAK1_PSEFD	TMhelix|GT-A	TMhelix(12-31)|Anp1(80-343)
tr|N1QNL1|N1QNL1_SPHMS	TMhelix|GT-A	TMhelix(13-30)|Anp1(80-343)
tr|N1RK77|N1RK77_FUSC4	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|N4UJ55|N4UJ55_FUSC1	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-337)
tr|N4UQP8|N4UQP8_COLOR	TMhelix|GT-A	TMhelix(54-76)|Anp1(97-359)
tr|N4V7E9|N4V7E9_COLOR	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|Q0CV15|Q0CV15_ASPTN	TMhelix|GT-A	TMhelix(48-70)|Anp1(89-351)
tr|Q0UCB7|Q0UCB7_PHANO	TMhelix|GT-A	TMhelix(13-35)|Anp1(69-333)
tr|Q0UI98|Q0UI98_PHANO	TMhelix|GT-A	TMhelix(55-72)|Anp1(94-356)
tr|Q0USE8|Q0USE8_PHANO	TMhelix|GT-A	TMhelix(31-48)|Anp1(100-365)
tr|Q1K6S3|Q1K6S3_NEUCR	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|Q2GYF9|Q2GYF9_CHAGB	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|Q2H0W8|Q2H0W8_CHAGB	TMhelix|GT-A	TMhelix(45-64)|Anp1(92-354)
tr|Q59Y27|Q59Y27_CANAL	TMhelix|GT-A	TMhelix(2-24)|Anp1(45-304)
tr|Q6BRJ2|Q6BRJ2_DEBHA	TMhelix|GT-A	TMhelix(17-39)|Anp1(75-336)
tr|Q6BW14|Q6BW14_DEBHA	TMhelix|GT-A	TMhelix(24-46)|Anp1(59-321)
tr|Q6CD41|Q6CD41_YARLI	TMhelix|GT-A	TMhelix(17-39)|Anp1(62-324)
tr|Q6CM85|Q6CM85_KLULA	TMhelix|GT-A	TMhelix(9-31)|Anp1(57-318)
tr|Q6CSF2|Q6CSF2_KLULA	TMhelix|GT-A	TMhelix(49-71)|Anp1(138-446)
tr|Q6FXF6|Q6FXF6_CANGA	TMhelix|GT-A	TMhelix(57-79)|Anp1(155-462)
tr|Q751G5|Q751G5_ASHGO	TMhelix|GT-A	TMhelix(13-32)|Anp1(97-355)
tr|Q75DZ7|Q75DZ7_ASHGO	TMhelix|GT-A	TMhelix(37-59)|Anp1(151-464)
tr|Q7SAL7|Q7SAL7_NEUCR	TMhelix|GT-A	TMhelix(52-74)|Anp1(93-355)
tr|Q7SDH5|Q7SDH5_NEUCR	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-339)
tr|R0KBT5|R0KBT5_SETT2	TMhelix|GT-A	TMhelix(13-30)|Anp1(69-333)
tr|R0KC84|R0KC84_SETT2	TMhelix|GT-A	TMhelix(51-73)|Anp1(95-357)
tr|R1GCB2|R1GCB2_BOTPV	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-366)
tr|R7YLP3|R7YLP3_CONA1	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-368)
tr|R7YQ55|R7YQ55_CONA1	TMhelix|GT-A	TMhelix(13-30)|Anp1(74-338)
tr|R8BRV9|R8BRV9_TOGMI	TMhelix|GT-A	TMhelix(13-35)|Anp1(75-339)
tr|S0EFK0|S0EFK0_GIBF5	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|S2J477|S2J477_MUCC1	TMhelix|GT-A	TMhelix(21-40)|Anp1(81-334)
tr|S2JVR4|S2JVR4_MUCC1	TMhelix|GT-A	TMhelix(21-40)|Anp1(82-334)
tr|S3CCY1|S3CCY1_OPHP1	TMhelix|GT-A	TMhelix(60-82)|Anp1(98-360)
tr|S3E9H9|S3E9H9_GLAL2	TMhelix|GT-A	TMhelix(47-69)|Anp1(89-351)
tr|S7ZPW9|S7ZPW9_PENO1	TMhelix|GT-A	TMhelix(40-62)|Anp1(82-344)
tr|S8A003|S8A003_DACHA	TMhelix|GT-A	TMhelix(53-75)|Anp1(96-357)
tr|S8AAJ7|S8AAJ7_DACHA	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(107-355)
tr|S8ARH4|S8ARH4_DACHA	TMhelix|GT-A	TMhelix(19-41)|Glyco_tranf_GTA_type(91-330)
tr|S8CCJ9|S8CCJ9_DACHA	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(130-390)
tr|S9VN93|S9VN93_SCHCR	TMhelix|GT-A	TMhelix(38-60)|Anp1(100-342)
tr|S9VXZ8|S9VXZ8_SCHCR	TMhelix|GT-A	TMhelix(9-31)|Anp1(48-305)
tr|T0L1S1|T0L1S1_COLGC	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|T0MAT1|T0MAT1_COLGC	TMhelix|GT-A	TMhelix(13-35)|Anp1(70-332)
tr|T5A096|T5A096_OPHSC	TMhelix|GT-A	TMhelix(42-64)|Anp1(81-343)
tr|T5A8U3|T5A8U3_OPHSC	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|U1GLK2|U1GLK2_ENDPU	TMhelix|GT-A	TMhelix(12-34)|Anp1(75-341)
tr|U4KZ09|U4KZ09_PYROM	TMhelix|GT-A	TMhelix(30-47)|Anp1(99-365)
tr|U4L4Y0|U4L4Y0_PYROM	TMhelix|GT-A	TMhelix(42-64)|Anp1(86-348)
tr|U5H6P4|U5H6P4_USTV1	TMhelix|GT-A	TMhelix(74-96)|Glyco_tranf_GTA_type(173-488)
tr|U5HB37|U5HB37_USTV1	TMhelix|GT-A	TMhelix(58-77)|Glyco_tranf_GTA_type(105-396)
tr|U5HGE4|U5HGE4_USTV1	TMhelix|GT-A	TMhelix(32-54)|Anp1(74-326)
tr|U7PYX4|U7PYX4_SPOS1	TMhelix|GT-A	TMhelix(60-82)|Anp1(98-360)
tr|W0T8C9|W0T8C9_KLUMD	TMhelix|GT-A	TMhelix(9-31)|Anp1(57-318)
tr|W0TG87|W0TG87_KLUMD	TMhelix|GT-A	TMhelix(48-67)|Anp1(145-449)
tr|W1QG03|W1QG03_OGAPD	TMhelix|GT-A	TMhelix(33-50)|Anp1(92-404)
tr|W2Q8X6|W2Q8X6_PHYPN	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(113-341)
tr|W2R298|W2R298_PHYPN	TMhelix|GT-A	TMhelix(38-55)|Glyco_tranf_GTA_type(129-369)
tr|W2R2W8|W2R2W8_PHYPN	TMhelix|GT-A	TMhelix(21-40)|Glyco_tranf_GTA_type(109-349)
tr|W4GRH6|W4GRH6_9STRA	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(133-343)
tr|W6MG38|W6MG38_9ASCO	TMhelix|GT-A	TMhelix(54-76)|Anp1(90-351)
tr|W6MK24|W6MK24_9ASCO	TMhelix|GT-A	TMhelix(32-51)|Anp1(97-408)
tr|W6MWG3|W6MWG3_9ASCO	TMhelix|GT-A	TMhelix(17-34)|Anp1(70-335)
tr|W7HRL4|W7HRL4_9PEZI	TMhelix|GT-A	TMhelix(31-53)|Anp1(114-378)
tr|W7HSV6|W7HSV6_9PEZI	TMhelix|GT-A	TMhelix(28-50)|Glyco_tranf_GTA_type(147-412)
tr|W7N4J1|W7N4J1_GIBM7	TMhelix|GT-A	TMhelix(54-73)|Anp1(97-359)
tr|W9CGR4|W9CGR4_9HELO	TMhelix|GT-A	TMhelix(49-71)|Anp1(92-354)
tr|W9CIP7|W9CIP7_9HELO	TMhelix|GT-A	TMhelix(13-35)|Anp1(75-340)
tr|W9CL56|W9CL56_9HELO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|W9VIN0|W9VIN0_9EURO	TMhelix|GT-A	TMhelix(69-91)|Anp1(112-374)
tr|W9WHD4|W9WHD4_9EURO	TMhelix|GT-A	TMhelix(12-34)|Anp1(76-341)
tr|W9XDD1|W9XDD1_9EURO	TMhelix|GT-A	TMhelix(69-88)|Anp1(112-374)
tr|W9XQX1|W9XQX1_9EURO	TMhelix|GT-A	TMhelix(16-38)|Anp1(80-345)
tr|W9Z052|W9Z052_9EURO	TMhelix|GT-A	TMhelix(16-38)|Anp1(81-346)
tr|W9Z3N8|W9Z3N8_9EURO	TMhelix|GT-A	TMhelix(16-38)|Anp1(84-346)
tr|W7HYX1|W7HYX1_9PEZI	TMhelix|ABC2_membrane|GT-A	TMhelix(53-75)|ABC2_membrane(51-124)|Anp1(96-357)
tr|A0A1V2L804|A0A1V2L804_CYBFA	SMC_prok_B|GT-A	SMC_prok_B(28-142)|Glyco_tranf_GTA_type(164-425)
tr|A0A1L9RRF4|A0A1L9RRF4_ASPWE	SDR|TMhelix|GT-A|TAF4	SDR(8-258)|TMhelix(349-371)|Anp1(390-652)|TAF4(679-775)
tr|A0A2I2GDY5|A0A2I2GDY5_9EURO	SDR|TMhelix|GT-A|MIP-T3	SDR(8-208)|TMhelix(352-374)|Anp1(393-655)|MIP-T3(699-820)
tr|A0A100IFN7|A0A100IFN7_ASPNG	SDR|TMhelix|GT-A	SDR(8-261)|TMhelix(365-387)|Anp1(406-668)
tr|A0A1F5L2S5|A0A1F5L2S5_9EURO	SDR|TMhelix|GT-A	SDR(8-256)|TMhelix(389-411)|Anp1(430-692)
tr|A0A1L9MRA8|A0A1L9MRA8_ASPTU	SDR|TMhelix|GT-A	SDR(8-261)|TMhelix(365-387)|Anp1(406-668)
tr|A0A1L9PCD5|A0A1L9PCD5_ASPVE	SDR|TMhelix|GT-A	SDR(8-260)|TMhelix(358-380)|Anp1(399-661)
tr|A0A1L9TZZ6|A0A1L9TZZ6_9EURO	SDR|TMhelix|GT-A	SDR(8-230)|TMhelix(349-371)|Anp1(390-652)
tr|A0A1L9U5B1|A0A1L9U5B1_9EURO	SDR|TMhelix|GT-A	SDR(8-261)|TMhelix(358-380)|Anp1(399-661)
tr|A0A1R3RAY2|A0A1R3RAY2_ASPC5	SDR|TMhelix|GT-A	SDR(8-261)|TMhelix(345-367)|Anp1(386-648)
tr|A0A1V6PI28|A0A1V6PI28_9EURO	SDR|TMhelix|GT-A	SDR(8-255)|TMhelix(344-366)|Anp1(385-647)
tr|A0A1V6QPJ5|A0A1V6QPJ5_9EURO	SDR|TMhelix|GT-A	SDR(8-256)|TMhelix(391-413)|Anp1(432-694)
tr|A0A2I1CP71|A0A2I1CP71_9EURO	SDR|TMhelix|GT-A	SDR(8-225)|TMhelix(339-361)|Anp1(380-642)
tr|A0A2I2FJ56|A0A2I2FJ56_9EURO	SDR|TMhelix|GT-A	SDR(8-274)|TMhelix(331-353)|Anp1(375-637)
tr|A0A2J5HIZ4|A0A2J5HIZ4_9EURO	SDR|TMhelix|GT-A	SDR(8-275)|TMhelix(332-354)|Anp1(376-638)
tr|G3XWW6|G3XWW6_ASPNA	SDR|TMhelix|GT-A	SDR(8-261)|TMhelix(344-366)|Anp1(385-647)
tr|K9FES8|K9FES8_PEND2	SDR|TMhelix|GT-A	SDR(8-255)|TMhelix(389-411)|Anp1(430-692)
tr|A0A1S9DPK4|A0A1S9DPK4_ASPOZ	SDR|GT-A|PTZ00121	SDR(8-224)|Anp1(327-580)|PTZ00121(618-746)
tr|A0A2G7FHP1|A0A2G7FHP1_9EURO	SDR|GT-A|PTZ00121	SDR(8-224)|Anp1(327-580)|PTZ00121(618-746)
tr|A0A135LFP7|A0A135LFP7_PENPA	SDR|GT-A	SDR(8-255)|Anp1(446-708)
tr|A0A1L9WLQ5|A0A1L9WLQ5_ASPAC	SDR|GT-A	SDR(8-261)|Anp1(423-685)
tr|U1GIT5|U1GIT5_ENDPU	SDR|GT-A	SDR(8-275)|Anp1(387-649)
tr|G4YZP1|G4YZP1_PHYSP	PRK13335|GT-A	PRK13335(10-170)|Glyco_tranf_GTA_type(193-405)
tr|A0A0D2X4N0|A0A0D2X4N0_CAPO3	PRK02224|GT-A	PRK02224(60-156)|Glyco_tranf_GTA_type(179-415)
tr|A0A285U3Y5|A0A285U3Y5_9BACI	MT|GT-A	Methyltransf_25(56-138)|Glyco_tranf_GTA_type(227-422)
tr|A0A1E3NXF7|A0A1E3NXF7_WICAO	KIAA1328|GT-A	KIAA1328(72-122)|Glyco_tranf_GTA_type(176-435)
tr|A0A1V8T350|A0A1V8T350_9PEZI	HP_PGM_like|GT-A	HP_PGM_like(101-186)|Glyco_tranf_GTA_type(411-605)
tr|A0A1V8TEA5|A0A1V8TEA5_9PEZI	HP_PGM_like|GT-A	HP_PGM_like(101-186)|Glyco_tranf_GTA_type(451-645)
tr|A0A1V8URW0|A0A1V8URW0_9PEZI	HP_PGM_like|GT-A	HP_PGM_like(101-186)|Glyco_tranf_GTA_type(411-605)
tr|A0A1B8E839|A0A1B8E839_9PEZI	His_Ser_Rich|GT-A	His_Ser_Rich(30-110)|Anp1(73-338)
tr|A0A2U3K3N3|A0A2U3K3N3_9BACT	Heptosyltransferase|HEAT_2|GT-A	RfaF(239-558)|HEAT_2(594-629)|Glyco_tranf_GTA_type(776-974)
tr|A0A0K9YM83|A0A0K9YM83_9BACL	GT|GT-A	Glyco_tranf_2_3(107-248)|Beta4Glucosyltransferase(272-452)
tr|M5A508|M5A508_9ACTN	GT-B|GT-A	RfaB(45-295)|Glyco_tranf_GTA_type(380-586)
tr|A0A1Q2YCK6|A0A1Q2YCK6_9ASCO	GT-A|Unknown	Anp1(1-179)|DUF5401(385-502)
tr|G2XJU4|G2XJU4_VERDV	GT-A|TolA	Anp1(44-306)|TolA(340-420)
tr|A9VDJ7|A9VDJ7_MONBE	GT-A|TMhelix|eRF1	Glyco_tranf_GTA_type(127-353)|TMhelix(478-500)|eRF1(499-912)
tr|Q4WIL2|Q4WIL2_ASPFU	GT-A|TMhelix	Anp1(87-352)|TMhelix(379-396)
tr|A0A2P4YC53|A0A2P4YC53_9STRA	GT-A|RNase_HI_RT_Ty1	Glyco_tranf_GTA_type(127-366)|RNase_HI_RT_Ty1(412-484)
tr|A0A2C5XUY3|A0A2C5XUY3_9HYPO	GT-A|Rad54_N	Anp1(27-266)|Rad54_N(298-332)
tr|M1W6N8|M1W6N8_CLAP2	GT-A|Rad54_N	Anp1(1-226)|Rad54_N(258-293)
tr|A0A1F7ZQ06|A0A1F7ZQ06_9EURO	GT-A|PTZ00121	Anp1(4-191)|PTZ00121(229-345)
tr|R7YGH0|R7YGH0_CONA1	GT-A|PTZ00121	Anp1(1-226)|PTZ00121(264-372)
tr|A0A090J4H0|A0A090J4H0_9BACI	GT-A|Protein_Binding|Protein_Binding|PEP_TPR_lipo|GT-A	Beta4Glucosyltransferase(5-187)|TPR(200-229)|TPR(106-366)|PEP_TPR_lipo(580-687)|Glyco_tranf_GTA_type(694-813)
tr|M7SX44|M7SX44_EUTLA	GT-A|Macoilin	Anp1(40-294)|Macoilin(301-396)
tr|C0Z9R1|C0Z9R1_BREBN	GT-A|GT|GT-A	Glyco_tranf_GTA_type(3-151)|Glyco_tranf_2_3(95-248)|Beta4Glucosyltransferase(272-463)
tr|A0A1R1S6Y0|A0A1R1S6Y0_9ACTN	GT-A|GT-A|PHA03269|GT-A	OCH1(7-176)|Glyco_tranf_GTA_type(277-377)|PHA03269(475-553)|Glyco_tranf_GTA_type(559-785)
tr|A0A0H4KKB5|A0A0H4KKB5_9BACI	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(13-137)|GT2(94-254)|Glyco_tranf_GTA_type(280-501)
tr|A0A1Q5L3I0|A0A1Q5L3I0_9ACTN	GT-A|GT-A|GT-A	OCH1(6-243)|Glycos_transf_2(275-390)|Glyco_tranf_GTA_type(527-752)
tr|A0A2E0AJT7|A0A2E0AJT7_9CYAN	GT-A|GT-A|GT-A	OCH1(3-230)|Glyco_tranf_GTA_type(291-378)|Glyco_tranf_GTA_type(526-749)
tr|A0A2S4YWT4|A0A2S4YWT4_9ACTN	GT-A|GT-A|GT-A	OCH1(4-243)|Glycos_transf_2(275-390)|Glyco_tranf_GTA_type(528-753)
tr|A4J4D7|A4J4D7_DESRM	GT-A|GT-A|GT-A	Beta4Glucosyltransferase(5-205)|GT2(331-557)|Glyco_tranf_GTA_type(597-795)
tr|D7C1F9|D7C1F9_STRBB	GT-A|GT-A|GT-A	OCH1(7-176)|Glyco_tranf_GTA_type(283-395)|Glyco_tranf_GTA_type(554-780)
tr|D9WD54|D9WD54_9ACTN	GT-A|GT-A|GT-A	OCH1(43-282)|Glycos_transf_2(314-429)|Glyco_tranf_GTA_type(570-797)
tr|D9WNN9|D9WNN9_9ACTN	GT-A|GT-A|GT-A	OCH1(17-260)|Glyco_tranf_GTA_type(287-394)|Glyco_tranf_GTA_type(564-782)
tr|G7ZJ09|G7ZJ09_AZOL4	GT-A|GT-A|GT-A	OCH1(8-236)|Glyco_tranf_GTA_type(283-403)|Glyco_tranf_GTA_type(538-755)
tr|L1KW95|L1KW95_9ACTN	GT-A|GT-A|GT-A	OCH1(22-196)|Glyco_tranf_GTA_type(297-412)|Glyco_tranf_GTA_type(560-785)
tr|A0A0Q0ZJY1|A0A0Q0ZJY1_9RHOB	GT-A|GT-A	OCH1(1-217)|Glyco_tranf_GTA_type(273-489)
tr|A0A0V0X5B0|A0A0V0X5B0_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(26-155)|Glyco_transf_25(340-503)
tr|A0A142M7G6|A0A142M7G6_AMIAI	GT-A|GT-A	OCH1(5-182)|Glyco_tranf_GTA_type(228-444)
tr|A0A1K2I237|A0A1K2I237_9RHIZ	GT-A|GT-A	OCH1(3-166)|Glyco_tranf_GTA_type(287-508)
tr|A0A1Q4AN07|A0A1Q4AN07_9RHIZ	GT-A|GT-A	OCH1(1-176)|Glyco_tranf_GTA_type(268-486)
tr|A0A1T2L5T9|A0A1T2L5T9_9GAMM	GT-A|GT-A	OCH1(1-180)|Glyco_tranf_GTA_type(278-499)
tr|A0A1T4XHH5|A0A1T4XHH5_9CLOT	GT-A|GT-A	Glyco_tranf_GTA_type(2-143)|GT2(106-221)
tr|A0A285JFJ5|A0A285JFJ5_9RHOB	GT-A|GT-A	OCH1(8-184)|Glyco_tranf_GTA_type(265-498)
tr|A0A2A6F7X0|A0A2A6F7X0_9RHIZ	GT-A|GT-A	OCH1(1-182)|Glyco_tranf_GTA_type(271-487)
tr|A0A2N7SRB5|A0A2N7SRB5_9RHIZ	GT-A|GT-A	OCH1(1-224)|Glyco_tranf_GTA_type(269-487)
tr|A0A2S0URS8|A0A2S0URS8_9RHOB	GT-A|GT-A	OCH1(9-179)|Glyco_tranf_GTA_type(283-502)
tr|D3E7Y5|D3E7Y5_GEOS4	GT-A|GT-A	BcsA(19-248)|Glyco_tranf_GTA_type(308-514)
tr|G6YHQ3|G6YHQ3_9RHIZ	GT-A|GT-A	OCH1(1-148)|Glyco_tranf_GTA_type(268-485)
tr|G9PZK4|G9PZK4_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-161)|GT2(95-288)
tr|I3MB12|I3MB12_ICTTR	GT-A|GT-A	Glyco_tranf_GTA_type(40-152)|Glyco_transf_25(321-503)
tr|V9GAT2|V9GAT2_9BACL	GT-A|GT-A	GT2(5-264)|Glyco_tranf_GTA_type(305-528)
tr|V9HGA5|V9HGA5_9CLOT	GT-A|GT-A	Glyco_tranf_GTA_type(9-171)|Glyco_tranf_GTA_type(413-614)
tr|N1QD90|N1QD90_SPHMS	GT-A|G_path_suppress	Anp1(45-307)|G_path_suppress(351-398)
tr|A0A1B8DUK1|A0A1B8DUK1_9PEZI	GT-A|DUF4207	Anp1(1-226)|DUF4207(267-333)
tr|A0A162ZXP1|A0A162ZXP1_DIDRA	GT-A|DUF202|TMhelix|TMhelix	Anp1(55-319)|DUF202(482-582)|TMhelix(558-575)|TMhelix(596-618)
tr|A0A063BN02|A0A063BN02_9HYPO	GT-A|COG5307	Anp1(59-321)|COG5307(799-1510)
tr|A0A010RMC3|A0A010RMC3_9PEZI	GT-A	Anp1(70-333)
tr|A0A017SLQ6|A0A017SLQ6_9EURO	GT-A	Anp1(101-364)
tr|A0A059J3S8|A0A059J3S8_9EURO	GT-A	Anp1(73-339)
tr|A0A063BYT1|A0A063BYT1_9HYPO	GT-A	Anp1(75-340)
tr|A0A063BYW1|A0A063BYW1_9HYPO	GT-A	Anp1(74-336)
tr|A0A0C4E8N6|A0A0C4E8N6_MAGP6	GT-A	Anp1(101-363)
tr|A0A0D2XDJ1|A0A0D2XDJ1_FUSO4	GT-A	Anp1(76-341)
tr|A0A0D2XMY9|A0A0D2XMY9_FUSO4	GT-A	Anp1(101-363)
tr|A0A0J6XX30|A0A0J6XX30_COCIT	GT-A	Anp1(73-339)
tr|A0A0J6YN81|A0A0J6YN81_COCIT	GT-A	Anp1(101-364)
tr|A0A0J8QIS0|A0A0J8QIS0_COCIT	GT-A	Anp1(50-313)
tr|A0A0J8QTM1|A0A0J8QTM1_COCIT	GT-A	Anp1(73-339)
tr|A0A0J8RRJ2|A0A0J8RRJ2_COCIT	GT-A	Anp1(63-326)
tr|A0A0J8RUZ1|A0A0J8RUZ1_COCIT	GT-A	Anp1(73-339)
tr|A0A0Q4RL46|A0A0Q4RL46_9BACL	GT-A	Glyco_tranf_GTA_type(288-486)
tr|A0A0Q6CT39|A0A0Q6CT39_9RHIZ	GT-A	Glyco_tranf_GTA_type(10-207)
tr|A0A0Q7DNH8|A0A0Q7DNH8_9RHIZ	GT-A	Glyco_tranf_GTA_type(3-202)
tr|A0A0U5C4H5|A0A0U5C4H5_9EURO	GT-A	Anp1(101-364)
tr|A0A0U5G597|A0A0U5G597_9EURO	GT-A	Anp1(80-346)
tr|A0A0W7VNG6|A0A0W7VNG6_9HYPO	GT-A	Anp1(73-338)
tr|A0A100I9X9|A0A100I9X9_ASPNG	GT-A	Anp1(101-364)
tr|A0A109FF96|A0A109FF96_9BASI	GT-A	Anp1(1-248)
tr|A0A117NSE3|A0A117NSE3_9EURO	GT-A	Anp1(79-344)
tr|A0A117NSS0|A0A117NSS0_9EURO	GT-A	Anp1(104-368)
tr|A0A135LAA0|A0A135LAA0_PENPA	GT-A	Anp1(79-344)
tr|A0A135LU66|A0A135LU66_PENPA	GT-A	Anp1(39-303)
tr|A0A135T035|A0A135T035_9PEZI	GT-A	Anp1(70-333)
tr|A0A135TGJ3|A0A135TGJ3_9PEZI	GT-A	Anp1(70-333)
tr|A0A136JDU6|A0A136JDU6_9PEZI	GT-A	Anp1(63-329)
tr|A0A146FHR6|A0A146FHR6_9EURO	GT-A	Anp1(101-364)
tr|A0A146FW93|A0A146FW93_9EURO	GT-A	Anp1(82-347)
tr|A0A150J2K8|A0A150J2K8_9EURY	GT-A	BcsA(5-226)
tr|A0A151GMD0|A0A151GMD0_9HYPO	GT-A	Anp1(75-340)
tr|A0A162LN59|A0A162LN59_9HYPO	GT-A	Anp1(74-339)
tr|A0A162UDG5|A0A162UDG5_PHYB8	GT-A	Anp1(1-254)
tr|A0A163H2S7|A0A163H2S7_DIDRA	GT-A	Anp1(106-370)
tr|A0A163THT6|A0A163THT6_ABSGL	GT-A	Anp1(64-299)
tr|A0A165HKI8|A0A165HKI8_9PEZI	GT-A	Anp1(79-343)
tr|A0A166UKX6|A0A166UKX6_9HYPO	GT-A	Anp1(75-340)
tr|A0A166V7W2|A0A166V7W2_9HYPO	GT-A	Anp1(96-358)
tr|A0A167CPU5|A0A167CPU5_9ASCO	GT-A	Anp1(60-322)
tr|A0A167F3W9|A0A167F3W9_9ASCO	GT-A	Anp1(1-226)
tr|A0A167QRQ7|A0A167QRQ7_PHYB8	GT-A	Anp1(14-257)
tr|A0A167YVJ8|A0A167YVJ8_9PEZI	GT-A	Anp1(78-342)
