tr|Q01A30|Q01A30_OSTTA	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(142-164)|TMhelix(184-206)|TMhelix(506-528)|TMhelix(538-560)|TMhelix(572-594)
tr|A0A232EUZ7|A0A232EUZ7_9HYME	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(54-76)|BcsA(69-450)|Glyco_trans_2_3(186-374)|TMhelix(347-369)|TMhelix(379-401)|TMhelix(408-430)
tr|E9G179|E9G179_DAPPU	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(2-24)|BcsA(57-450)|Glyco_trans_2_3(187-369)|TMhelix(348-365)|TMhelix(375-397)|TMhelix(409-431)
tr|M0LP21|M0LP21_9EURY	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|BcsA(3-350)|Glyco_trans_2_3(128-292)|TMhelix(273-295)|TMhelix(302-324)|TMhelix(339-361)
tr|M0MRX5|M0MRX5_9EURY	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(66-219)|BcsA(127-366)|TMhelix(279-298)|TMhelix(308-330)|TMhelix(337-359)
tr|Q0IFM0|Q0IFM0_AEDAE	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(58-80)|BcsA(68-423)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|T0M535|T0M535_9EURY	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-367)|Glyco_trans_2_3(130-308)|TMhelix(280-302)|TMhelix(307-329)|TMhelix(342-364)
tr|U6PSM1|U6PSM1_HAECO	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(3-385)|Glyco_trans_2_3(141-329)|TMhelix(303-322)|TMhelix(337-359)|TMhelix(371-393)
tr|A0A1H9PXR6|A0A1H9PXR6_9ACTN	TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(10-32)|BcsA(14-465)|Glyco_trans_2_3(165-370)|TMhelix(347-369)|TMhelix(389-411)
tr|A0A1I0X1A9|A0A1I0X1A9_9CELL	TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(10-32)|BcsA(1-325)|Glyco_tranf_GTA_type(165-339)|TMhelix(346-368)|TMhelix(388-410)
tr|A0A2J6W2B4|A0A2J6W2B4_9CREN	TMhelix|GT-A|GT-A|TMhelix	TMhelix(31-53)|BcsA(29-373)|Glyco_tranf_GTA_type(147-288)|TMhelix(355-377)
tr|A0A1Y1ZHU0|A0A1Y1ZHU0_9PLEO	TMhelix|GT-A|GT-A	TMhelix(50-72)|BcsA(47-403)|Glyco_tranf_GTA_type(195-341)
tr|A0A1I8B6H4|A0A1I8B6H4_MELHA	TMhelix|GT-A	TMhelix(10-32)|Glyco_trans_2_3(199-377)
tr|A0A1S3D6Q8|A0A1S3D6Q8_DIACI	TMhelix|GT-A	TMhelix(7-29)|Glyco_trans_2_3(183-268)
tr|A0A1V6QRH5|A0A1V6QRH5_9EURO	TMhelix|GT-A	TMhelix(15-37)|Glyco_trans_2_3(144-298)
tr|A0A239FXP0|A0A239FXP0_9MICO	TMhelix|GT-A	TMhelix(10-32)|Glyco_tranf_GTA_type(165-299)
tr|A0A2C9K4Q4|A0A2C9K4Q4_BIOGL	TMhelix|GT-A	TMhelix(25-47)|Glyco_trans_2_3(163-316)
tr|V4ZYE6|V4ZYE6_9ARCH	TMhelix|GT	TMhelix(5-27)|Glyco_tranf_2_3(41-237)
tr|A0A0L0V444|A0A0L0V444_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(433-455)|Acyl_transf_3(287-684)|TMhelix(476-495)|TMhelix(500-522)|TMhelix(543-565)|TMhelix(589-611)|TMhelix(632-654)|TMhelix(664-686)|TMhelix(806-823)|TMhelix(838-860)|Glyco_trans_2_3(966-1176)|TMhelix(1124-1146)|TMhelix(1150-1172)|TMhelix(1192-1214)
tr|A0A0L0VKC0|A0A0L0VKC0_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(436-458)|Acyl_transf_3(290-687)|TMhelix(479-498)|TMhelix(503-525)|TMhelix(546-565)|TMhelix(592-614)|TMhelix(635-657)|TMhelix(667-689)|TMhelix(809-826)|TMhelix(841-863)|Glyco_trans_2_3(969-1179)|TMhelix(1127-1149)|TMhelix(1153-1175)|TMhelix(1195-1217)
tr|A0A180H6M7|A0A180H6M7_PUCT1	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(401-420)|Acyl_transf_3(295-692)|TMhelix(484-503)|TMhelix(508-530)|TMhelix(551-570)|TMhelix(597-619)|TMhelix(640-662)|TMhelix(672-694)|TMhelix(812-831)|TMhelix(846-868)|Glyco_trans_2_3(974-1184)|TMhelix(1132-1154)|TMhelix(1158-1180)|TMhelix(1200-1222)
tr|A0A238F941|A0A238F941_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(476-498)|Acyl_transf_3(291-689)|TMhelix(505-527)|TMhelix(547-569)|TMhelix(610-632)|TMhelix(636-658)|TMhelix(665-687)|TMhelix(724-741)|TMhelix(808-827)|TMhelix(842-864)|Glyco_trans_2_3(971-1166)|TMhelix(1122-1144)|TMhelix(1159-1181)|TMhelix(1194-1216)
tr|A0A2N5TEB7|A0A2N5TEB7_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(379-398)|Acyl_transf_3(273-670)|TMhelix(462-481)|TMhelix(486-508)|TMhelix(529-551)|TMhelix(575-597)|TMhelix(618-640)|TMhelix(650-672)|TMhelix(790-809)|TMhelix(824-846)|Glyco_trans_2_3(952-1162)|TMhelix(1110-1132)|TMhelix(1136-1158)|TMhelix(1178-1200)
tr|A0A2N5UDU6|A0A2N5UDU6_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(395-414)|Acyl_transf_3(289-686)|TMhelix(478-497)|TMhelix(502-524)|TMhelix(545-567)|TMhelix(591-613)|TMhelix(634-656)|TMhelix(666-688)|TMhelix(806-825)|TMhelix(840-862)|Glyco_trans_2_3(968-1178)|TMhelix(1126-1148)|TMhelix(1152-1174)|TMhelix(1194-1216)
tr|A0A2N5SJW0|A0A2N5SJW0_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(379-398)|Acyl_transf_3(273-670)|TMhelix(462-481)|TMhelix(486-508)|TMhelix(529-551)|TMhelix(575-597)|TMhelix(618-640)|TMhelix(650-672)|TMhelix(790-809)|TMhelix(824-846)|Glyco_trans_2_3(976-1109)
tr|M9LXI5|M9LXI5_PSEA3	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(308-330)|Acyl_transf_3(132-521)|TMhelix(382-404)|TMhelix(435-457)|TMhelix(469-491)|TMhelix(501-523)|TMhelix(637-659)|TMhelix(674-696)|Glyco_trans_2_3(803-1010)|TMhelix(946-963)|TMhelix(967-986)|TMhelix(995-1017)|TMhelix(1032-1054)
tr|R9P9U0|R9P9U0_PSEHS	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(248-270)|Acyl_transf_3(75-464)|TMhelix(325-347)|TMhelix(378-400)|TMhelix(407-429)|TMhelix(444-463)|TMhelix(580-602)|TMhelix(617-639)|Glyco_trans_2_3(746-953)|TMhelix(889-906)|TMhelix(910-929)|TMhelix(938-960)|TMhelix(975-997)
tr|A0A0D1E273|A0A0D1E273_USTMA	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(300-322)|Acyl_transf_3(127-516)|TMhelix(377-399)|TMhelix(430-452)|TMhelix(459-481)|TMhelix(496-518)|TMhelix(632-654)|TMhelix(669-691)|Glyco_trans_2_3(798-1005)|TMhelix(958-980)|TMhelix(990-1012)|TMhelix(1032-1054)
tr|A0A1Y2BWY0|A0A1Y2BWY0_9BASI	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(499-521)|Acyl_transf_3(314-708)|TMhelix(528-550)|TMhelix(570-592)|TMhelix(651-673)|TMhelix(688-710)|TMhelix(832-851)|TMhelix(866-888)|Glyco_trans_2_3(994-1185)|TMhelix(1135-1157)|TMhelix(1167-1189)
tr|E6ZZ65|E6ZZ65_SPORE	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(304-326)|Acyl_transf_3(128-517)|TMhelix(378-400)|TMhelix(431-453)|TMhelix(460-482)|TMhelix(497-516)|TMhelix(633-655)|TMhelix(670-692)|Glyco_trans_2_3(799-1006)|TMhelix(991-1013)|TMhelix(1033-1055)
tr|V5EV54|V5EV54_KALBG	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(296-318)|Acyl_transf_3(120-509)|TMhelix(370-392)|TMhelix(423-445)|TMhelix(452-474)|TMhelix(489-508)|TMhelix(625-647)|TMhelix(662-684)|Glyco_trans_2_3(791-998)|TMhelix(981-1003)|TMhelix(1024-1046)
tr|I2FNR2|I2FNR2_USTH4	TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(303-325)|Acyl_transf_3(130-519)|TMhelix(380-402)|TMhelix(465-487)|TMhelix(497-519)|TMhelix(635-657)|TMhelix(672-694)|Glyco_trans_2_3(801-1008)|TMhelix(944-961)|TMhelix(965-984)|TMhelix(993-1015)|TMhelix(1030-1052)
tr|A0A167S7X7|A0A167S7X7_9BASI	TMhelix|Acetyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(214-236)|OafA(37-442)|TMhelix(246-268)|TMhelix(289-306)|TMhelix(310-329)|TMhelix(342-364)|TMhelix(379-398)|TMhelix(405-427)|TMhelix(552-571)|TMhelix(586-608)|Glyco_trans_2_3(714-904)|TMhelix(881-903)|TMhelix(913-935)|TMhelix(948-970)
tr|A0A165DK30|A0A165DK30_9BASI	TMhelix|Acetyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(212-234)|OafA(35-430)|TMhelix(244-266)|TMhelix(287-309)|TMhelix(332-354)|TMhelix(361-383)|TMhelix(403-425)|TMhelix(550-569)|TMhelix(584-606)|Glyco_trans_2_3(712-902)|TMhelix(879-901)|TMhelix(911-933)|TMhelix(946-968)
tr|A0A180H6P9|A0A180H6P9_PUCT1	PRK07764|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	PRK07764(2-211)|Acyl_transf_3(218-615)|TMhelix(475-497)|TMhelix(563-585)|TMhelix(595-617)|TMhelix(735-754)|TMhelix(769-791)|Glyco_trans_2_3(897-1107)|TMhelix(1052-1074)|TMhelix(1084-1106)|TMhelix(1119-1141)
tr|A0A180GMR9|A0A180GMR9_PUCT1	PHA03307|TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	PHA03307(47-277)|TMhelix(392-411)|Acyl_transf_3(286-683)|TMhelix(475-494)|TMhelix(499-521)|TMhelix(542-564)|TMhelix(588-610)|TMhelix(631-653)|TMhelix(663-685)|TMhelix(803-822)|TMhelix(837-859)|Glyco_trans_2_3(965-1175)|TMhelix(1123-1145)|TMhelix(1149-1171)|TMhelix(1191-1213)
tr|A0A177WYW7|A0A177WYW7_BATDE	PAT1|Prog_receptor|TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	PAT1(4-176)|Prog_receptor(158-260)|TMhelix(279-301)|TMhelix(321-343)|BcsA(305-674)|Glyco_trans_2_3(443-623)|TMhelix(598-620)|TMhelix(630-652)|TMhelix(659-681)
tr|F4PC20|F4PC20_BATDJ	PAT1|Prog_receptor|TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	PAT1(4-176)|Prog_receptor(158-260)|TMhelix(279-301)|TMhelix(321-343)|BcsA(305-674)|Glyco_trans_2_3(443-623)|TMhelix(598-620)|TMhelix(630-652)|TMhelix(659-681)
tr|A0A1S8VUG0|A0A1S8VUG0_9FUNG	Med15|G_path_suppress|TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	Med15(1-213)|G_path_suppress(99-201)|TMhelix(276-298)|TMhelix(318-340)|BcsA(311-671)|Glyco_trans_2_3(440-617)|TMhelix(595-617)|TMhelix(627-649)|TMhelix(656-678)
tr|A0A1H1UJU0|A0A1H1UJU0_9ACTN	GT|TMhelix|TMhelix|TMhelix	Glyco_tranf_2_3(117-369)|TMhelix(390-412)|TMhelix(419-441)|TMhelix(461-483)
tr|A0A182ILQ1|A0A182ILQ1_9DIPT	GT-A|Tryp_SPc|Tryp_SPc|Trypsin|Trypsin	Glyco_trans_2_3(101-286)|Tryp_SPc(341-551)|Tryp_SPc(579-818)|Trypsin(880-1094)|Trypsin(1229-1449)
tr|A0A166RI90|A0A166RI90_9ACTN	GT-A|TMhelix|TMhelix|TMhelix	Glyco_trans_2_3(131-336)|TMhelix(291-313)|TMhelix(326-348)|TMhelix(363-385)
tr|A0A1S1Q9V4|A0A1S1Q9V4_9ACTN	GT-A|TMhelix|TMhelix|TMhelix	Glyco_trans_2_3(131-336)|TMhelix(291-313)|TMhelix(326-348)|TMhelix(363-385)
tr|A0A1W4XKS6|A0A1W4XKS6_AGRPL	GT-A|TMhelix|TMhelix|TMhelix	Glyco_trans_2_3(182-372)|TMhelix(343-365)|TMhelix(375-396)|TMhelix(409-431)
tr|A4YHM4|A4YHM4_METS5	GT-A|TMhelix|TMhelix|TMhelix	Glyco_trans_2_3(160-365)|TMhelix(312-334)|TMhelix(344-366)|TMhelix(379-401)
tr|A8KZN3|A8KZN3_FRASN	GT-A|TMhelix|TMhelix|TMhelix	Glyco_trans_2_3(131-336)|TMhelix(291-313)|TMhelix(326-348)|TMhelix(363-385)
tr|D3DBT6|D3DBT6_9ACTN	GT-A|TMhelix|TMhelix|TMhelix	Glyco_trans_2_3(131-336)|TMhelix(291-313)|TMhelix(326-348)|TMhelix(363-385)
tr|K0INE9|K0INE9_NITGG	GT-A|TMhelix|TMhelix|TMhelix	BcsA(34-399)|TMhelix(266-288)|TMhelix(332-354)|TMhelix(366-388)
tr|M0M5C3|M0M5C3_9EURY	GT-A|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(117-293)|TMhelix(270-292)|TMhelix(297-319)|TMhelix(324-346)
tr|A0A016U6C6|A0A016U6C6_9BILA	GT-A|TMhelix|TMhelix	Glyco_trans_2_3(68-256)|TMhelix(230-249)|TMhelix(264-286)
tr|A0A1B8DVH4|A0A1B8DVH4_9PEZI	GT-A|TMhelix|TMhelix	Glyco_trans_2_3(67-263)|TMhelix(249-271)|TMhelix(283-305)
tr|A0A1E1LJU4|A0A1E1LJU4_9HELO	GT-A|TMhelix|TMhelix	Glyco_trans_2_3(67-263)|TMhelix(249-271)|TMhelix(283-305)
tr|A0A2C9JPE4|A0A2C9JPE4_BIOGL	GT-A|TMhelix|TMhelix	Glyco_trans_2_3(126-294)|TMhelix(318-340)|TMhelix(353-370)
tr|E9ID56|E9ID56_SOLIN	GT-A|TMhelix|TMhelix	Glyco_trans_2_3(161-351)|TMhelix(322-344)|TMhelix(351-373)
tr|A0A0Q0S0C1|A0A0Q0S0C1_9EURY	GT-A|TMhelix	Glyco_tranf_GTA_type(115-287)|TMhelix(267-289)
tr|A0A1D1VLE7|A0A1D1VLE7_RAMVA	GT-A|TMhelix	Glyco_tranf_GTA_type(216-418)|TMhelix(397-419)
tr|A0A1V6Q0E5|A0A1V6Q0E5_9EURO	GT-A|TMhelix	Glyco_trans_2_3(204-351)|TMhelix(350-372)
tr|M0LVF8|M0LVF8_9EURY	GT-A|GT-A|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(32-182)|BcsA(74-326)|TMhelix(241-263)|TMhelix(278-297)|TMhelix(304-326)
tr|A0A0Q4BDP3|A0A0Q4BDP3_9EURY	GT-A	Glyco_tranf_GTA_type(111-232)
tr|A0A2C9JED6|A0A2C9JED6_BIOGL	GT-A	Glyco_trans_2_3(125-278)
tr|A0A2H2IAY2|A0A2H2IAY2_CAEJA	GT-A	Glyco_trans_2_3(150-302)
tr|K7I828|K7I828_CAEJA	GT-A	Glyco_trans_2_3(86-238)
tr|W9YGG6|W9YGG6_9EURO	GT-A	Glyco_trans_2_3(112-264)
tr|K1PGY8|K1PGY8_CRAGI	FANCF|GT-A|DUF1772|TMhelix|TMhelix	FANCF(4-239)|Glyco_trans_2_3(390-565)|DUF1772(552-634)|TMhelix(582-604)|TMhelix(617-639)
tr|E3L0K0|E3L0K0_PUCGT	Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Acyl_transf_3(260-657)|TMhelix(449-468)|TMhelix(473-495)|TMhelix(516-538)|TMhelix(562-584)|TMhelix(605-627)|TMhelix(637-659)|TMhelix(778-797)|TMhelix(812-834)|Glyco_trans_2_3(928-1138)|TMhelix(1086-1108)|TMhelix(1112-1134)|TMhelix(1154-1176)
tr|F4REK0|F4REK0_MELLP	Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Acyl_transf_3(28-425)|TMhelix(217-236)|TMhelix(241-263)|TMhelix(284-306)|TMhelix(330-352)|TMhelix(373-395)|TMhelix(405-427)|TMhelix(545-564)|TMhelix(579-601)|Glyco_trans_2_3(707-917)|TMhelix(865-887)|TMhelix(891-913)|TMhelix(933-955)
tr|A0A0K3CH50|A0A0K3CH50_RHOTO	Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Acyl_transf_3(286-685)|TMhelix(500-522)|TMhelix(543-565)|TMhelix(588-610)|TMhelix(623-645)|TMhelix(665-687)|TMhelix(804-823)|TMhelix(838-860)|Glyco_trans_2_3(967-1162)|TMhelix(1118-1140)|TMhelix(1155-1177)|TMhelix(1190-1212)
tr|A0A2N5VSA5|A0A2N5VSA5_9BASI	Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Acyl_transf_3(299-696)|TMhelix(488-507)|TMhelix(512-534)|TMhelix(602-624)|TMhelix(644-666)|TMhelix(676-698)|TMhelix(816-835)|TMhelix(850-872)|Glyco_trans_2_3(978-1188)|TMhelix(1136-1158)|TMhelix(1162-1184)|TMhelix(1204-1226)
tr|E3L0K7|E3L0K7_PUCGT	Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Acyl_transf_3(297-694)|TMhelix(486-505)|TMhelix(512-534)|TMhelix(554-576)|TMhelix(642-664)|TMhelix(674-696)|TMhelix(814-833)|TMhelix(848-870)|Glyco_trans_2_3(976-1186)|TMhelix(1134-1156)|TMhelix(1160-1182)|TMhelix(1202-1224)
tr|A0A109FJ75|A0A109FJ75_9BASI	Acetyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	OafA(66-479)|TMhelix(283-305)|TMhelix(326-343)|TMhelix(386-408)|TMhelix(415-437)|TMhelix(447-469)|TMhelix(587-606)|TMhelix(621-643)|Glyco_trans_2_3(750-948)|TMhelix(900-922)|TMhelix(937-959)|TMhelix(972-994)
tr|U5GY25|U5GY25_USTV1	Acetyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	OafA(282-700)|TMhelix(507-529)|TMhelix(549-571)|TMhelix(637-659)|TMhelix(669-691)|TMhelix(808-827)|TMhelix(842-864)|Glyco_trans_2_3(971-1166)|TMhelix(1122-1144)|TMhelix(1159-1181)|TMhelix(1194-1216)
