tr|A0A1V4JFB3|A0A1V4JFB3_PATFA	Uup|GT-A|GT-A	Uup(121-220)|Galactosyl_T(373-469)|CHGN(442-944)
tr|L5LWX5|L5LWX5_MYODS	GT-A|GT-A	Galactosyl_T(62-151)|CHGN(130-475)
tr|L8YEN7|L8YEN7_TUPCH	GT-A|GT-A	Galactosyl_T(103-210)|CHGN(183-709)
tr|L9KQS4|L9KQS4_TUPCH	GT-A|GT-A	Galactosyl_T(177-209)|CHGN(373-855)
tr|M3WIF2|M3WIF2_FELCA	GT-A|GT-A	Galactosyl_T(185-277)|CHGN(250-767)
tr|M3WX20|M3WX20_FELCA	GT-A|GT-A	Galactosyl_T(164-253)|Glyco_tranf_GTA_type(232-266)
tr|M3YC02|M3YC02_MUSPF	GT-A|GT-A	Galactosyl_T(185-277)|CHGN(250-767)
tr|M3YHN7|M3YHN7_MUSPF	GT-A|GT-A	Galactosyl_T(2-216)|CHGN(147-686)
tr|M3YJS0|M3YJS0_MUSPF	GT-A|GT-A	Galactosyl_T(173-400)|CHGN(330-866)
tr|M3YYZ7|M3YYZ7_MUSPF	GT-A|GT-A	Galactosyl_T(189-278)|CHGN(257-757)
tr|M3ZGT9|M3ZGT9_XIPMA	GT-A|GT-A	Galactosyl_T(84-305)|CHGN(235-774)
tr|M3ZIA0|M3ZIA0_XIPMA	GT-A|GT-A	Galactosyl_T(132-271)|CHGN(245-750)
tr|Q175Z7|Q175Z7_AEDAE	GT-A|GT-A	Galactosyl_T(21-201)|CHGN(171-793)
tr|Q3UU43|Q3UU43_MOUSE	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-755)
tr|Q5XIQ8|Q5XIQ8_RAT	GT-A|GT-A	Galactosyl_T(190-279)|CHGN(258-757)
tr|Q6P296|Q6P296_DANRE	GT-A|GT-A	Galactosyl_T(85-306)|CHGN(236-775)
tr|R0LP27|R0LP27_ANAPL	GT-A|GT-A	Galactosyl_T(52-202)|CHGN(132-671)
tr|T1HKH9|T1HKH9_RHOPR	GT-A|GT-A	Galactosyl_T(4-190)|CHGN(158-700)
tr|T1KZU5|T1KZU5_TETUR	GT-A|GT-A	Galactosyl_T(84-274)|CHGN(235-755)
tr|U3B8E1|U3B8E1_CALJA	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|U3IK90|U3IK90_ANAPL	GT-A|GT-A	Galactosyl_T(56-142)|Glyco_tranf_GTA_type(121-165)
tr|U3JQK0|U3JQK0_FICAL	GT-A|GT-A	Galactosyl_T(76-300)|CHGN(230-767)
tr|U3K6J4|U3K6J4_FICAL	GT-A|GT-A	Galactosyl_T(8-158)|CHGN(88-627)
tr|U6NHT4|U6NHT4_HAECO	GT-A|GT-A	Galactosyl_T(60-242)|CHGN(212-701)
tr|U6P362|U6P362_HAECO	GT-A|GT-A	Galactosyl_T(214-247)|CHGN(292-803)
tr|U6PRS4|U6PRS4_HAECO	GT-A|GT-A	Galactosyl_T(192-225)|CHGN(270-781)
tr|U6PZ71|U6PZ71_HAECO	GT-A|GT-A	Galactosyl_T(60-252)|CHGN(212-658)
tr|W5JCI3|W5JCI3_ANODA	GT-A|GT-A	Galactosyl_T(150-203)|CHGN(261-812)
tr|W5K5G7|W5K5G7_ASTMX	GT-A|GT-A	Galactosyl_T(83-304)|CHGN(234-773)
tr|W5KHX4|W5KHX4_ASTMX	GT-A|GT-A	Galactosyl_T(132-271)|CHGN(245-750)
tr|W5MRN0|W5MRN0_LEPOC	GT-A|GT-A	Galactosyl_T(136-275)|CHGN(249-754)
tr|W5N9N7|W5N9N7_LEPOC	GT-A|GT-A	Galactosyl_T(81-306)|CHGN(236-775)
tr|W5P0Q9|W5P0Q9_SHEEP	GT-A|GT-A	Galactosyl_T(177-209)|CHGN(242-707)
tr|W5PI31|W5PI31_SHEEP	GT-A|GT-A	Galactosyl_T(12-233)|CHGN(163-702)
tr|W5U718|W5U718_ICTPU	GT-A|GT-A	Galactosyl_T(86-307)|CHGN(237-776)
sp|P45895|CHSSB_CAEEL	GT-A	CHGN(241-796)
tr|A0A0M3QZ51|A0A0M3QZ51_DROBS	GT-A	CHGN(195-740)
tr|A0A182MHM8|A0A182MHM8_9DIPT	GT-A	CHGN(241-789)
tr|A0A182SW67|A0A182SW67_9DIPT	GT-A	CHGN(241-789)
tr|A0A182W611|A0A182W611_9DIPT	GT-A	CHGN(241-789)
tr|A0A1A9VC29|A0A1A9VC29_GLOAU	GT-A	Glyco_tranf_GTA_type(265-303)
tr|A0A1A9YDC4|A0A1A9YDC4_GLOFF	GT-A	Glyco_tranf_GTA_type(234-270)
tr|A0A1B0A3J1|A0A1B0A3J1_GLOPL	GT-A	Glyco_tranf_GTA_type(222-257)
tr|A0A1B0B052|A0A1B0B052_9MUSC	GT-A	Glyco_tranf_GTA_type(224-260)
tr|A0A1D1VKC1|A0A1D1VKC1_RAMVA	GT-A	Glyco_tranf_GTA_type(266-820)
tr|A0A1D5PYY1|A0A1D5PYY1_CHICK	GT-A	CHGN(259-761)
tr|A0A1I8A0E0|A0A1I8A0E0_9BILA	GT-A	Glyco_tranf_GTA_type(284-833)
tr|A0A1J1IVP5|A0A1J1IVP5_9DIPT	GT-A	CHGN(241-780)
tr|A0A1J1IXP3|A0A1J1IXP3_9DIPT	GT-A	CHGN(130-669)
tr|A0A1J4KKD3|A0A1J4KKD3_9EUKA	GT-A	Galactosyl_T(108-205)
tr|A0A1Q9DY23|A0A1Q9DY23_SYMMI	GT-A	Galactosyl_T(456-548)
tr|A0A1S3IB52|A0A1S3IB52_LINUN	GT-A	CHGN(251-747)
tr|A0A1S3NCQ1|A0A1S3NCQ1_SALSA	GT-A	CHGN(239-742)
tr|A0A1S3PLH9|A0A1S3PLH9_SALSA	GT-A	CHGN(248-750)
tr|A0A1V4K6D7|A0A1V4K6D7_PATFA	GT-A	CHGN(260-760)
tr|A0A1V9XUP2|A0A1V9XUP2_9ACAR	GT-A	Glyco_tranf_GTA_type(237-720)
tr|A0A1X7UE73|A0A1X7UE73_AMPQE	GT-A	Glyco_tranf_GTA_type(241-746)
tr|A0A1X7UER2|A0A1X7UER2_AMPQE	GT-A	CHGN(116-615)
tr|A0A1X7VNW6|A0A1X7VNW6_AMPQE	GT-A	CHGN(282-790)
tr|A0A1Y1Y0L4|A0A1Y1Y0L4_9FUNG	GT-A	Galactosyl_T(3-166)
tr|A0A218UH73|A0A218UH73_9PASE	GT-A	CHGN(245-747)
tr|A0A218VAV1|A0A218VAV1_9PASE	GT-A	CHGN(258-758)
tr|A0A226N9J4|A0A226N9J4_CALSU	GT-A	CHGN(245-747)
tr|A0A226NPE4|A0A226NPE4_CALSU	GT-A	CHGN(147-649)
tr|A0A226NT69|A0A226NT69_COLVI	GT-A	CHGN(245-747)
tr|A0A226PBJ4|A0A226PBJ4_COLVI	GT-A	CHGN(259-761)
tr|A0A2A4J776|A0A2A4J776_HELVI	GT-A	Glyco_tranf_GTA_type(227-694)
tr|A0A2G8L5V8|A0A2G8L5V8_STIJA	GT-A	CHGN(224-725)
tr|A0A2G9RFA3|A0A2G9RFA3_LITCT	GT-A	CHGN(189-691)
tr|A0A2H2IL74|A0A2H2IL74_CAEJA	GT-A	CHGN(174-718)
tr|A0A2H3I5U3|A0A2H3I5U3_9EURO	GT-A	Galactosyl_T(217-346)
tr|A0A2I2G6R0|A0A2I2G6R0_9EURO	GT-A	Galactosyl_T(145-283)
tr|A0A2I3G5Y2|A0A2I3G5Y2_NOMLE	GT-A	CHGN(223-740)
tr|A0A2P4T1J3|A0A2P4T1J3_BAMTH	GT-A	CHGN(260-762)
tr|A0A2P4T788|A0A2P4T788_BAMTH	GT-A	CHGN(245-747)
tr|A2DIG0|A2DIG0_TRIVA	GT-A	Galactosyl_T(25-180)
tr|A2ECQ6|A2ECQ6_TRIVA	GT-A	Galactosyl_T(16-176)
tr|B3MS44|B3MS44_DROAN	GT-A	CHGN(255-806)
tr|B4GW97|B4GW97_DROPE	GT-A	CHGN(177-707)
tr|B4IGM2|B4IGM2_DROSE	GT-A	CHGN(187-737)
tr|B4JLY6|B4JLY6_DROGR	GT-A	CHGN(216-762)
tr|D2HQR2|D2HQR2_AILME	GT-A	CHGN(262-762)
tr|E0VZW9|E0VZW9_PEDHC	GT-A	Glyco_tranf_GTA_type(248-804)
tr|E4XS58|E4XS58_OIKDI	GT-A	CHGN(256-771)
tr|E4XWN1|E4XWN1_OIKDI	GT-A	CHGN(256-768)
tr|E7F9K2|E7F9K2_DANRE	GT-A	CHGN(255-757)
tr|E9GM26|E9GM26_DAPPU	GT-A	Glyco_tranf_GTA_type(197-694)
tr|F1R7L6|F1R7L6_DANRE	GT-A	CHGN(253-755)
tr|F2TYJ5|F2TYJ5_SALR5	GT-A	Glyco_transf_25(404-519)
tr|F2UGF0|F2UGF0_SALR5	GT-A	Galactosyl_T(535-629)
tr|F2UM49|F2UM49_SALR5	GT-A	Galactosyl_T(202-258)
tr|F2UTM5|F2UTM5_SALR5	GT-A	Galactosyl_T(223-321)
tr|G1KPM1|G1KPM1_ANOCA	GT-A	CHGN(262-765)
tr|G1NFF2|G1NFF2_MELGA	GT-A	CHGN(155-657)
tr|H0W549|H0W549_CAVPO	GT-A	CHGN(157-656)
tr|H0YP45|H0YP45_TAEGU	GT-A	CHGN(179-681)
tr|H0Z709|H0Z709_TAEGU	GT-A	CHGN(157-657)
tr|H3DYP8|H3DYP8_PRIPA	GT-A	Glyco_tranf_GTA_type(226-742)
tr|H9H1T6|H9H1T6_MELGA	GT-A	CHGN(155-657)
tr|I3J9H3|I3J9H3_ORENI	GT-A	CHGN(251-753)
tr|K7FM31|K7FM31_PELSI	GT-A	Glyco_tranf_GTA_type(246-314)
tr|M1V8M2|M1V8M2_CYAM1	GT-A	Galactosyl_T(172-314)
tr|M3ZN39|M3ZN39_XIPMA	GT-A	CHGN(251-753)
tr|Q29IB5|Q29IB5_DROPS	GT-A	CHGN(245-794)
tr|Q7PMP8|Q7PMP8_ANOGA	GT-A	CHGN(241-788)
tr|Q9VYH2|Q9VYH2_DROME	GT-A	CHGN(254-804)
tr|R1ED54|R1ED54_EMIHU	GT-A	Galactosyl_T(116-356)
tr|R1EDD5|R1EDD5_EMIHU	GT-A	Galactosyl_T(116-356)
tr|T1HXA0|T1HXA0_RHOPR	GT-A	Glyco_tranf_GTA_type(181-705)
tr|U3INK4|U3INK4_ANAPL	GT-A	CHGN(193-695)
tr|U3JNX2|U3JNX2_FICAL	GT-A	CHGN(147-647)
tr|U3KFH7|U3KFH7_FICAL	GT-A	CHGN(245-747)
tr|W5K3V9|W5K3V9_ASTMX	GT-A	CHGN(266-771)
tr|W5LEW4|W5LEW4_ASTMX	GT-A	CHGN(179-681)
tr|A0A151J2P1|A0A151J2P1_9HYME	CDC27|GT-A	CDC27(22-343)|CHGN(499-1024)
tr|A0A151WQA1|A0A151WQA1_9HYME	CDC27|GT-A	CDC27(22-289)|CHGN(500-1025)
tr|A0A195BMF5|A0A195BMF5_9HYME	CDC27|GT-A	CDC27(40-275)|CHGN(497-1022)
tr|A0A195FSY4|A0A195FSY4_9HYME	CDC27|GT-A	CDC27(22-278)|CHGN(499-1024)
tr|F4WBZ6|F4WBZ6_ACREC	CDC27|GT-A	CDC27(52-240)|CHGN(394-919)
tr|A9UXM3|A9UXM3_MONBE	Ankyrin|Ank|PKc_like|GT-A	Ank_2(7-103)|Ank(42-73)|PKc_like(636-895)|Galactosyl_T(1187-1265)
tr|A0A2K6D7U2|A0A2K6D7U2_MACNE	AC_N|GT-A|GT-A	AC_N(45-167)|Galactosyl_T(169-398)|CHGN(328-864)
tr|F7EL39|F7EL39_MACMU	AC_N|GT-A|GT-A	AC_N(45-167)|Galactosyl_T(173-398)|CHGN(328-864)
