tr|A0A2P6U4S8|A0A2P6U4S8_CHLSO	zf-MYND|GT-A	zf-MYND(4-49)|PLN03180(568-905)
tr|Q6IV07|Q6IV07_SOLLC	GT-A	PLN03180(1-344)
tr|Q9HR03|Q9HR03_HALSA	GT-A	RGP(39-322)
tr|Q9ZR34|Q9ZR34_WHEAT	GT-A	RGP(5-343)
tr|R4W5K8|R4W5K8_9EURY	GT-A	RGP(108-318)
tr|R4Z2E5|R4Z2E5_9ACTN	GT-A	RGP(61-299)
tr|S8DVN4|S8DVN4_9LAMI	GT-A	PLN03180(4-348)
tr|S8DXZ1|S8DXZ1_9LAMI	GT-A	PLN03180(2-341)
tr|S8E701|S8E701_9LAMI	GT-A	PLN03180(1-345)
tr|T1M285|T1M285_TRIUA	GT-A	PLN03180(2-294)
tr|T1M2W9|T1M2W9_TRIUA	GT-A	RGP(81-409)
tr|T1MVG6|T1MVG6_TRIUA	GT-A	PLN03180(10-354)
tr|U1MW24|U1MW24_9EURY	GT-A	RGP(75-320)
tr|U1MWC3|U1MWC3_9EURY	GT-A	RGP(82-318)
tr|U1NTW4|U1NTW4_9EURY	GT-A	RGP(89-323)
tr|U1P0N2|U1P0N2_9EURY	GT-A	RGP(112-323)
tr|U1PQF9|U1PQF9_9EURY	GT-A	RGP(70-364)
tr|U2YUZ4|U2YUZ4_9EURY	GT-A	RGP(91-316)
tr|U5D8W3|U5D8W3_AMBTC	GT-A	PLN03180(1-346)
tr|V4HGI6|V4HGI6_9EURY	GT-A	RGP(82-318)
tr|V4XVS6|V4XVS6_9ARCH	GT-A	RGP(3-293)
tr|V4Y1B4|V4Y1B4_9ARCH	GT-A	RGP(89-323)
tr|V4Y1J3|V4Y1J3_9ARCH	GT-A	RGP(96-326)
tr|V4YDA6|V4YDA6_9ARCH	GT-A	RGP(95-383)
tr|V6DTP4|V6DTP4_9EURY	GT-A	RGP(116-328)
tr|V7AYI0|V7AYI0_PHAVU	GT-A	PLN03180(13-357)
tr|V7B5K8|V7B5K8_PHAVU	GT-A	RGP(6-344)
tr|V7C245|V7C245_PHAVU	GT-A	PLN03180(6-350)
tr|W0JYK6|W0JYK6_9EURY	GT-A	RGP(88-371)
tr|W1PPB8|W1PPB8_AMBTC	GT-A	PLN03180(6-348)
tr|W1PVM3|W1PVM3_AMBTC	GT-A	RGP(6-349)
tr|W5B0Z0|W5B0Z0_WHEAT	GT-A	PLN03180(70-415)
tr|W5BFA5|W5BFA5_WHEAT	GT-A	RGP(5-343)
tr|W5BNP0|W5BNP0_WHEAT	GT-A	PLN03180(1-346)
tr|W5C539|W5C539_WHEAT	GT-A	PLN03180(1-346)
tr|W5DT83|W5DT83_WHEAT	GT-A	PLN03180(10-354)
tr|W5EA83|W5EA83_WHEAT	GT-A	PLN03180(10-354)
tr|W5ES41|W5ES41_WHEAT	GT-A	PLN03180(10-354)
tr|A0A016TG07|A0A016TG07_9BILA	GT	STELLO(279-659)
tr|A0A016TGT0|A0A016TGT0_9BILA	GT	STELLO(322-618)
tr|A0A016W9X2|A0A016W9X2_9BILA	GT	STELLO(318-677)
tr|A0A073CH85|A0A073CH85_PLAAG	GT	STELLO(227-328)
tr|A0A075KFE3|A0A075KFE3_9FIRM	GT	STELLO(224-280)
tr|A0A076HR51|A0A076HR51_9BACT	GT	STELLO(199-254)
tr|A0A090MAR1|A0A090MAR1_OSTTA	GT	STELLO(314-422)
tr|A0A0D3GUG2|A0A0D3GUG2_9ORYZ	GT	STELLO(256-362)
tr|A0A0D9ZYQ8|A0A0D9ZYQ8_9ORYZ	GT	STELLO(373-480)
tr|A0A0E0ANP3|A0A0E0ANP3_9ORYZ	GT	STELLO(319-425)
tr|A0A0E0EFH5|A0A0E0EFH5_9ORYZ	GT	STELLO(319-425)
tr|A0A0E0HDX5|A0A0E0HDX5_ORYNI	GT	STELLO(373-480)
tr|A0A0E0I538|A0A0E0I538_ORYNI	GT	STELLO(319-425)
tr|A0A0E0L237|A0A0E0L237_ORYPU	GT	STELLO(373-480)
tr|A0A0E0LP86|A0A0E0LP86_ORYPU	GT	STELLO(319-425)
tr|A0A0E0PM15|A0A0E0PM15_ORYRU	GT	STELLO(373-480)
tr|A0A0E0QC53|A0A0E0QC53_ORYRU	GT	STELLO(319-425)
tr|A0A0G0IVM5|A0A0G0IVM5_9BACT	GT	STELLO(247-361)
tr|A0A0G0TPJ0|A0A0G0TPJ0_9BACT	GT	STELLO(247-347)
tr|A0A0G1QGR3|A0A0G1QGR3_9BACT	GT	STELLO(247-347)
tr|A0A0G1QTE2|A0A0G1QTE2_9BACT	GT	STELLO(227-297)
tr|A0A0G2Z503|A0A0G2Z503_9BACT	GT	STELLO(224-294)
tr|A0A0K8NXS3|A0A0K8NXS3_IDESA	GT	STELLO(225-276)
tr|A0A0P0XA85|A0A0P0XA85_ORYSJ	GT	STELLO(319-425)
tr|A0A0U4AU53|A0A0U4AU53_9BACT	GT	STELLO(229-332)
tr|A0A103XPX9|A0A103XPX9_CYNCS	GT	STELLO(361-478)
tr|A0A142HDZ7|A0A142HDZ7_9BACT	GT	STELLO(227-330)
tr|A0A180FS78|A0A180FS78_9BACT	GT	STELLO(229-332)
tr|A0A196S5X7|A0A196S5X7_BLAHN	GT	STELLO(331-438)
tr|A0A1D5RZ76|A0A1D5RZ76_WHEAT	GT	STELLO(366-472)
tr|A0A1D5SZX1|A0A1D5SZX1_WHEAT	GT	STELLO(363-469)
tr|A0A1D5TPM9|A0A1D5TPM9_WHEAT	GT	STELLO(324-431)
tr|A0A1D5V2P4|A0A1D5V2P4_WHEAT	GT	STELLO(324-431)
tr|A0A1D6DBT1|A0A1D6DBT1_WHEAT	GT	STELLO(366-472)
tr|A0A1D6ILF9|A0A1D6ILF9_MAIZE	GT	STELLO(324-431)
tr|A0A1D6M369|A0A1D6M369_MAIZE	GT	STELLO(367-473)
tr|A0A1E5V5M6|A0A1E5V5M6_9POAL	GT	STELLO(321-428)
tr|A0A1E5VPN2|A0A1E5VPN2_9POAL	GT	STELLO(369-475)
tr|A0A1E7ENZ3|A0A1E7ENZ3_9STRA	GT	STELLO(335-445)
tr|A0A1F5KK55|A0A1F5KK55_9BACT	GT	STELLO(224-312)
tr|A0A1F5KPV4|A0A1F5KPV4_9BACT	GT	STELLO(225-279)
tr|A0A1F7INS5|A0A1F7INS5_9BACT	GT	STELLO(224-326)
tr|A0A1F7ISP2|A0A1F7ISP2_9BACT	GT	STELLO(223-294)
tr|A0A1F7KAH7|A0A1F7KAH7_9BACT	GT	STELLO(222-325)
tr|A0A1G1SSS0|A0A1G1SSS0_9BACT	GT	STELLO(167-270)
tr|A0A1G9Z0L5|A0A1G9Z0L5_9RHIZ	GT	STELLO(228-333)
tr|A0A1I2IAV8|A0A1I2IAV8_9BACT	GT	STELLO(224-327)
tr|A0A1I6A0D0|A0A1I6A0D0_9BACT	GT	STELLO(227-330)
tr|A0A1I7V431|A0A1I7V431_9PELO	GT	STELLO(223-612)
tr|A0A1I7V432|A0A1I7V432_9PELO	GT	STELLO(223-559)
tr|A0A1J1LQB8|A0A1J1LQB8_9CYAN	GT	STELLO(228-333)
tr|A0A1J4J5T9|A0A1J4J5T9_9EUKA	GT	STELLO(310-418)
tr|A0A1M3FXU9|A0A1M3FXU9_9SPHI	GT	STELLO(229-277)
tr|A0A1M7BGT5|A0A1M7BGT5_9BACT	GT	STELLO(229-332)
tr|A0A1M7P028|A0A1M7P028_9FLAO	GT	STELLO(229-330)
tr|A0A1Q9CBK6|A0A1Q9CBK6_SYMMI	GT	STELLO(326-436)
tr|A0A1S2Z2H3|A0A1S2Z2H3_CICAR	GT	STELLO(360-468)
tr|A0A1S3ZNL6|A0A1S3ZNL6_TOBAC	GT	STELLO(389-459)
tr|A0A1S4DQ07|A0A1S4DQ07_TOBAC	GT	STELLO(351-458)
tr|A0A1S9AV14|A0A1S9AV14_9BACT	GT	STELLO(229-333)
tr|A0A1U7IDG2|A0A1U7IDG2_9NOSO	GT	STELLO(227-328)
tr|A0A1U7UWK1|A0A1U7UWK1_NICSY	GT	STELLO(389-459)
tr|A0A1U8DUE2|A0A1U8DUE2_CAPAN	GT	STELLO(351-459)
tr|A0A1W6E4Y0|A0A1W6E4Y0_9BACT	GT	STELLO(227-334)
tr|A0A1Y1SHN2|A0A1Y1SHN2_9GAMM	GT	STELLO(229-332)
tr|A0A1Y2GPN7|A0A1Y2GPN7_9FUNG	GT	STELLO(315-572)
tr|A0A226EAC3|A0A226EAC3_FOLCA	GT	STELLO(312-573)
tr|A0A226EPC1|A0A226EPC1_FOLCA	GT	STELLO(340-608)
tr|A0A239F6F5|A0A239F6F5_9PROT	GT	STELLO(211-255)
tr|A0A251THE6|A0A251THE6_HELAN	GT	STELLO(361-469)
tr|A0A259UER0|A0A259UER0_9FIRM	GT	STELLO(229-335)
tr|A0A261BSN3|A0A261BSN3_9PELO	GT	STELLO(283-669)
tr|A0A261KLU0|A0A261KLU0_9CYAN	GT	STELLO(229-331)
tr|A0A285WZM6|A0A285WZM6_9FLAO	GT	STELLO(227-331)
tr|A0A285ZZB2|A0A285ZZB2_9SPHI	GT	STELLO(227-331)
tr|A0A2A2JQK8|A0A2A2JQK8_9BILA	GT	STELLO(169-487)
tr|A0A2A2JSR6|A0A2A2JSR6_9BILA	GT	STELLO(188-506)
tr|A0A2A2JTE5|A0A2A2JTE5_9BILA	GT	STELLO(169-480)
tr|A0A2A2L3X8|A0A2A2L3X8_9BILA	GT	STELLO(171-512)
tr|A0A2A2LBK5|A0A2A2LBK5_9BILA	GT	STELLO(188-415)
tr|A0A2A2LIR7|A0A2A2LIR7_9BILA	GT	STELLO(169-384)
tr|A0A2A2LKI3|A0A2A2LKI3_9BILA	GT	STELLO(265-392)
tr|A0A2A2LQ18|A0A2A2LQ18_9BILA	GT	STELLO(188-233)
tr|A0A2A2WC46|A0A2A2WC46_9PLAN	GT	STELLO(248-349)
tr|A0A2A2Y6Q8|A0A2A2Y6Q8_9BACT	GT	STELLO(231-335)
tr|A0A2B4S9R9|A0A2B4S9R9_STYPI	GT	STELLO(269-377)
tr|A0A2B4SCG2|A0A2B4SCG2_STYPI	GT	STELLO(313-423)
tr|A0A2G2XSQ5|A0A2G2XSQ5_CAPBA	GT	STELLO(351-459)
tr|A0A2G3DHL6|A0A2G3DHL6_CAPCH	GT	STELLO(351-459)
tr|A0A2G5TDN9|A0A2G5TDN9_9PELO	GT	STELLO(303-458)
tr|A0A2H2IDJ3|A0A2H2IDJ3_CAEJA	GT	STELLO(185-428)
tr|A0A2J6KKE9|A0A2J6KKE9_LACSA	GT	STELLO(361-469)
tr|A0A2K3DMM9|A0A2K3DMM9_CHLRE	GT	STELLO(314-425)
tr|A0A2K3MMC9|A0A2K3MMC9_TRIPR	GT	STELLO(305-411)
tr|A0A2N2F655|A0A2N2F655_9BACT	GT	STELLO(242-353)
tr|A0A2N8N630|A0A2N8N630_9BACT	GT	STELLO(227-282)
tr|A0A2P6V8Z5|A0A2P6V8Z5_9CHLO	GT	STELLO(325-387)
tr|A0A2R6QKQ1|A0A2R6QKQ1_ACTCH	GT	STELLO(359-467)
tr|A0L3U4|A0L3U4_MAGMM	GT	STELLO(230-274)
tr|A2YPH3|A2YPH3_ORYSI	GT	STELLO(319-425)
tr|A7RJ60|A7RJ60_NEMVE	GT	STELLO(337-446)
tr|A8WPL7|A8WPL7_CAEBR	GT	STELLO(296-623)
tr|B8AXZ4|B8AXZ4_ORYSI	GT	STELLO(235-342)
tr|C5X451|C5X451_SORBI	GT	STELLO(324-431)
tr|C5YXI7|C5YXI7_SORBI	GT	STELLO(373-479)
tr|D7FLI5|D7FLI5_ECTSI	GT	STELLO(282-394)
tr|D8LX19|D8LX19_BLAHO	GT	STELLO(334-441)
tr|D8SY84|D8SY84_SELML	GT	STELLO(392-500)
tr|D8T721|D8T721_SELML	GT	STELLO(392-500)
tr|E3LGX9|E3LGX9_CAERE	GT	STELLO(294-699)
tr|E3MZ41|E3MZ41_CAERE	GT	STELLO(334-722)
tr|F0YNR1|F0YNR1_AURAN	GT	STELLO(278-390)
tr|F0YNR2|F0YNR2_AURAN	GT	STELLO(318-430)
tr|F0YP31|F0YP31_AURAN	GT	STELLO(318-430)
tr|F0YQM3|F0YQM3_AURAN	GT	STELLO(318-430)
tr|G0MRN7|G0MRN7_CAEBE	GT	STELLO(289-698)
tr|G0MRP2|G0MRP2_CAEBE	GT	STELLO(219-608)
tr|G8UN62|G8UN62_TANFA	GT	STELLO(227-275)
tr|H3DT34|H3DT34_PRIPA	GT	STELLO(181-542)
tr|H3DT37|H3DT37_PRIPA	GT	STELLO(337-500)
tr|H3DT39|H3DT39_PRIPA	GT	STELLO(284-598)
tr|H3E7W5|H3E7W5_PRIPA	GT	STELLO(236-511)
tr|H3F315|H3F315_PRIPA	GT	STELLO(307-523)
tr|I0K3S7|I0K3S7_9BACT	GT	STELLO(227-334)
tr|I0YI25|I0YI25_COCSC	GT	STELLO(285-518)
tr|I0YI92|I0YI92_COCSC	GT	STELLO(260-359)
tr|I1GRM8|I1GRM8_BRADI	GT	STELLO(325-432)
tr|I1HJV1|I1HJV1_BRADI	GT	STELLO(372-478)
tr|I1PVB0|I1PVB0_ORYGL	GT	STELLO(373-480)
tr|I1QCT2|I1QCT2_ORYGL	GT	STELLO(319-425)
tr|J3M6T6|J3M6T6_ORYBR	GT	STELLO(258-365)
tr|J3MNN2|J3MNN2_ORYBR	GT	STELLO(289-395)
tr|K3ZR23|K3ZR23_SETIT	GT	STELLO(321-428)
tr|K4AYF0|K4AYF0_SOLLC	GT	STELLO(387-457)
tr|K9VPM5|K9VPM5_9CYAN	GT	STELLO(239-340)
tr|K9XJE9|K9XJE9_9CHRO	GT	STELLO(224-285)
tr|M1A992|M1A992_SOLTU	GT	STELLO(388-458)
tr|M5RFN7|M5RFN7_9PLAN	GT	STELLO(243-349)
tr|Q2IZX0|Q2IZX0_RHOP2	GT	STELLO(275-319)
tr|Q965Z8|Q965Z8_CAEEL	GT	STELLO(289-678)
tr|R1FQR1|R1FQR1_EMIHU	GT	STELLO(267-379)
tr|T1EWS2|T1EWS2_HELRO	GT	STELLO(181-456)
tr|W5BMS8|W5BMS8_WHEAT	GT	STELLO(324-431)
tr|A0A0E0DR46|A0A0E0DR46_9ORYZ	DUF2457|GT	DUF2457(81-141)|STELLO(546-653)
tr|A0A2P6VH25|A0A2P6VH25_9CHLO	ACTIN|GT-A	ACTIN(5-379)|PLN03180(403-809)
