tr|I0YXG6|I0YXG6_COCSC	WD40|PAN_4|GT-A|GT-A	WD40(69-389)|PAN_4(559-618)|Glyco_tranf_GTA_type(654-992)|Glyco_tranf_GTA_type(1106-1350)
tr|A0A2P5PZT4|A0A2P5PZT4_GOSBA	GT-A	PLN03182(64-439)
tr|A0A2P5RYU2|A0A2P5RYU2_GOSBA	GT-A	PLN03182(1-432)
tr|A0A2P5RZJ1|A0A2P5RZJ1_GOSBA	GT-A	PLN03182(36-416)
tr|A0A2P5SRT2|A0A2P5SRT2_GOSBA	GT-A	PLN03182(36-452)
tr|A0A2P6P2T9|A0A2P6P2T9_ROSCH	GT-A	PLN03182(36-448)
tr|A0A2R6P4S7|A0A2R6P4S7_ACTCH	GT-A	PLN03182(1-449)
tr|A0A2R6Q464|A0A2R6Q464_ACTCH	GT-A	PLN03182(1-448)
tr|A0A2R6QH40|A0A2R6QH40_ACTCH	GT-A	PLN03182(23-440)
tr|A0A2R6R5D2|A0A2R6R5D2_ACTCH	GT-A	PLN03181(25-433)
tr|A0A2R6S192|A0A2R6S192_ACTCH	GT-A	PLN03181(10-452)
tr|A0A2R6W7T5|A0A2R6W7T5_MARPO	GT-A	PLN03182(158-505)
tr|A0A2R6X9L2|A0A2R6X9L2_MARPO	GT-A	PLN03182(21-433)
tr|A0A2R6XDB7|A0A2R6XDB7_MARPO	GT-A	PLN03182(45-393)
tr|A0A2R6XGQ0|A0A2R6XGQ0_MARPO	GT-A	PLN03182(48-458)
tr|A0A2R6XMJ2|A0A2R6XMJ2_MARPO	GT-A	PLN03182(12-353)
tr|A9RY54|A9RY54_PHYPA	GT-A	PLN03182(7-411)
tr|A9SMY2|A9SMY2_PHYPA	GT-A	PLN03182(6-406)
tr|A9T1N0|A9T1N0_PHYPA	GT-A	PLN03182(7-438)
tr|A9TDP7|A9TDP7_PHYPA	GT-A	PLN03182(19-442)
tr|A9TEY2|A9TEY2_PHYPA	GT-A	PLN03182(7-438)
tr|B2WCY9|B2WCY9_PYRTR	GT-A	Glyco_tranf_GTA_type(52-252)
tr|B2WDP2|B2WDP2_PYRTR	GT-A	Glyco_tranf_GTA_type(99-282)
tr|B6K5A1|B6K5A1_SCHJY	GT-A	Glyco_transf_34(69-306)
tr|B9I2Y3|B9I2Y3_POPTR	GT-A	PLN03182(31-445)
tr|C0P7T0|C0P7T0_MAIZE	GT-A	PLN03182(2-441)
tr|C5WNE6|C5WNE6_SORBI	GT-A	PLN03182(2-440)
tr|D7KS13|D7KS13_ARALL	GT-A	PLN03182(42-452)
tr|D7LT90|D7LT90_ARALL	GT-A	PLN03182(1-450)
tr|D7M0L9|D7M0L9_ARALL	GT-A	PLN03182(34-450)
tr|D8R576|D8R576_SELML	GT-A	PLN03182(34-374)
tr|D8R9M0|D8R9M0_SELML	GT-A	PLN03182(21-426)
tr|D8RMV8|D8RMV8_SELML	GT-A	PLN03182(6-406)
tr|D8S3T0|D8S3T0_SELML	GT-A	PLN03182(34-374)
tr|D8S9E1|D8S9E1_SELML	GT-A	PLN03182(2-310)
tr|D8S9E6|D8S9E6_SELML	GT-A	PLN03182(3-340)
tr|D8SVU2|D8SVU2_SELML	GT-A	PLN03182(1-306)
tr|D8TAF0|D8TAF0_SELML	GT-A	PLN03182(8-407)
tr|E3RJE3|E3RJE3_PYRTT	GT-A	Glyco_tranf_GTA_type(87-285)
tr|F2EHF5|F2EHF5_HORVV	GT-A	PLN03182(4-445)
tr|F6GT58|F6GT58_VITVI	GT-A	PLN03182(25-445)
tr|F6HDF7|F6HDF7_VITVI	GT-A	PLN03182(1-443)
tr|F9XGB1|F9XGB1_ZYMTI	GT-A	Glyco_tranf_GTA_type(33-205)
tr|G2XJW8|G2XJW8_VERDV	GT-A	Glyco_tranf_GTA_type(95-275)
tr|G7JLH4|G7JLH4_MEDTR	GT-A	PLN03182(1-446)
tr|I1H6D4|I1H6D4_BRADI	GT-A	PLN03182(4-439)
tr|I1IED0|I1IED0_BRADI	GT-A	PLN03181(5-416)
tr|I1IUD6|I1IUD6_BRADI	GT-A	PLN03182(10-449)
tr|I1J9F9|I1J9F9_SOYBN	GT-A	PLN03181(1-447)
tr|I1JZM5|I1JZM5_SOYBN	GT-A	PLN03182(28-441)
tr|I1MTW4|I1MTW4_SOYBN	GT-A	PLN03182(28-441)
tr|I1P3R5|I1P3R5_ORYGL	GT-A	PLN03181(1-446)
tr|I1PAG8|I1PAG8_ORYGL	GT-A	PLN03182(4-441)
tr|I1R428|I1R428_ORYGL	GT-A	PLN03182(12-463)
tr|J3LMY0|J3LMY0_ORYBR	GT-A	PLN03182(4-441)
tr|J3LN22|J3LN22_ORYBR	GT-A	PLN03182(1-251)
tr|J3N8X2|J3N8X2_ORYBR	GT-A	PLN03181(8-331)
tr|J3NBE0|J3NBE0_ORYBR	GT-A	PLN03182(11-443)
tr|K3YEY4|K3YEY4_SETIT	GT-A	PLN03182(5-445)
tr|K3ZIJ5|K3ZIJ5_SETIT	GT-A	Glyco_tranf_GTA_type(56-427)
tr|K3ZLG4|K3ZLG4_SETIT	GT-A	PLN03182(11-461)
tr|K3ZLW4|K3ZLW4_SETIT	GT-A	Glyco_tranf_GTA_type(1-320)
tr|K3ZNV2|K3ZNV2_SETIT	GT-A	PLN03182(6-452)
tr|K4A9U7|K4A9U7_SETIT	GT-A	PLN03182(2-445)
tr|K4BL76|K4BL76_SOLLC	GT-A	PLN03182(33-444)
tr|K7TEK8|K7TEK8_MAIZE	GT-A	PLN03182(14-475)
tr|K7UBB6|K7UBB6_MAIZE	GT-A	PLN03181(1-479)
tr|K7W0A9|K7W0A9_MAIZE	GT-A	PLN03182(2-442)
tr|M0RH02|M0RH02_MUSAM	GT-A	PLN03182(29-424)
tr|M0RII1|M0RII1_MUSAM	GT-A	PLN03182(23-435)
tr|M0RVJ2|M0RVJ2_MUSAM	GT-A	PLN03182(91-501)
tr|M0S2T3|M0S2T3_MUSAM	GT-A	PLN03182(2-423)
tr|M0SGZ2|M0SGZ2_MUSAM	GT-A	PLN03182(23-426)
tr|M0SJ19|M0SJ19_MUSAM	GT-A	PLN03181(2-397)
tr|M1AIF2|M1AIF2_SOLTU	GT-A	Glyco_tranf_GTA_type(1-267)
tr|M1BB80|M1BB80_SOLTU	GT-A	PLN03182(35-450)
tr|M1C3C5|M1C3C5_SOLTU	GT-A	PLN03182(1-457)
tr|M1CAM8|M1CAM8_SOLTU	GT-A	PLN03182(33-444)
tr|M2TCQ0|M2TCQ0_COCSN	GT-A	Glyco_tranf_GTA_type(98-279)
tr|M2U7C1|M2U7C1_COCH5	GT-A	Glyco_tranf_GTA_type(98-279)
tr|M3AT09|M3AT09_PSEFD	GT-A	Glyco_tranf_GTA_type(29-201)
tr|M4CU02|M4CU02_BRARP	GT-A	PLN03182(1-450)
tr|M4CYK8|M4CYK8_BRARP	GT-A	PLN03182(36-448)
tr|M4DD28|M4DD28_BRARP	GT-A	PLN03182(1-454)
tr|M4DHD8|M4DHD8_BRARP	GT-A	PLN03182(41-451)
tr|M4DPV4|M4DPV4_BRARP	GT-A	PLN03182(1-452)
tr|M5WM31|M5WM31_PRUPE	GT-A	PLN03182(34-451)
tr|M5XIY8|M5XIY8_PRUPE	GT-A	PLN03182(1-433)
tr|M7Z5E2|M7Z5E2_TRIUA	GT-A	PLN03182(44-372)
tr|Q0UVD9|Q0UVD9_PHANO	GT-A	Glyco_tranf_GTA_type(51-252)
tr|Q6C7G4|Q6C7G4_YARLI	GT-A	Glyco_tranf_GTA_type(407-641)
tr|S8BSU7|S8BSU7_DACHA	GT-A	Glyco_tranf_GTA_type(154-385)
tr|S8CGC8|S8CGC8_9LAMI	GT-A	Glyco_tranf_GTA_type(37-326)
tr|S8CJ94|S8CJ94_9LAMI	GT-A	PLN03182(37-449)
tr|S8E6M4|S8E6M4_9LAMI	GT-A	PLN03182(41-444)
tr|U4KUN2|U4KUN2_PYROM	GT-A	Glyco_tranf_GTA_type(135-369)
tr|U5D808|U5D808_AMBTC	GT-A	PLN03181(20-475)
tr|U5FSE5|U5FSE5_POPTR	GT-A	PLN03182(32-446)
tr|V7CAS3|V7CAS3_PHAVU	GT-A	PLN03182(21-439)
tr|W1NUQ2|W1NUQ2_AMBTC	GT-A	PLN03182(1-433)
tr|W1P765|W1P765_AMBTC	GT-A	PLN03182(27-433)
tr|W5FA71|W5FA71_WHEAT	GT-A	PLN03182(5-438)
