tr|A0A0K8P9Y5|A0A0K8P9Y5_9CHLR	Uncharacterized|Uncharacterized|GT-A	DUF4422(126-365)|DUF4422(404-645)|GT8_A4GalT_like(680-939)
tr|A0A1G3CWF7|A0A1G3CWF7_9GAMM	GT-A|GT-A	GT8_A4GalT_like(12-258)|Glyco_transf_8C(264-319)
tr|A0A1G5WAL6|A0A1G5WAL6_9FIRM	GT-A|GT-A	GT8_A4GalT_like(24-265)|Glyco_transf_8C(271-324)
tr|A0A1H3LAI7|A0A1H3LAI7_9BURK	GT-A|GT-A	GT8_A4GalT_like(25-269)|Glyco_transf_8C(274-327)
tr|A0A1H6U2N7|A0A1H6U2N7_9FIRM	GT-A|GT-A	GT8_A4GalT_like(24-256)|Glyco_transf_8C(267-314)
tr|A0A1M4XLF9|A0A1M4XLF9_9FIRM	GT-A|GT-A	GT8_A4GalT_like(22-250)|Glyco_transf_8C(269-311)
tr|A0A1U9UL58|A0A1U9UL58_9BURK	GT-A|GT-A	GT8_A4GalT_like(24-267)|Glyco_transf_8C(277-327)
tr|A0A1Y4F670|A0A1Y4F670_9FIRM	GT-A|GT-A	GT8_A4GalT_like(15-266)|Glycos_transf_2(335-464)
tr|A0A222MVW7|A0A222MVW7_9PROT	GT-A|GT-A	GT8_A4GalT_like(7-251)|GT8_A4GalT_like(309-573)
tr|A0A222MWF0|A0A222MWF0_9PROT	GT-A|GT-A	GT8_A4GalT_like(7-250)|GT8_A4GalT_like(309-577)
tr|A0A239T885|A0A239T885_9FIRM	GT-A|GT-A	GT8_A4GalT_like(24-258)|Glyco_transf_8C(274-324)
tr|A0A242PAK4|A0A242PAK4_9GAMM	GT-A|GT-A	GT8_A4GalT_like(12-247)|Glyco_transf_8C(252-305)
tr|A0A242PB70|A0A242PB70_9GAMM	GT-A|GT-A	GT8_A4GalT_like(25-260)|Glyco_transf_8C(269-319)
tr|A0A246WRC1|A0A246WRC1_9BURK	GT-A|GT-A	GT8_A4GalT_like(16-259)|Glyco_transf_8C(267-319)
tr|A0A2A2Y6J9|A0A2A2Y6J9_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(19-232)|Glyco_tranf_GTA_type(525-661)
tr|A0A2C6DLM3|A0A2C6DLM3_9GAMM	GT-A|GT-A	GT8_A4GalT_like(25-254)|Glyco_transf_8C(257-310)
tr|A0A2C9XYF9|A0A2C9XYF9_9GAMM	GT-A|GT-A	GT8_A4GalT_like(25-261)|Glyco_transf_8C(270-318)
tr|A0A2G5KCM1|A0A2G5KCM1_9RHOB	GT-A|GT-A	Glyco_tranf_GTA_type(26-121)|GT8_A4GalT_like(341-597)
tr|A0A2S9GYM8|A0A2S9GYM8_9BURK	GT-A|GT-A	GT8_A4GalT_like(18-260)|Glyco_transf_8C(268-321)
tr|A0A2T6FB42|A0A2T6FB42_9BURK	GT-A|GT-A	GT8_A4GalT_like(18-262)|Glyco_transf_8C(268-321)
tr|A0A2T6FBB5|A0A2T6FBB5_9BURK	GT-A|GT-A	GT8_A4GalT_like(15-256)|Glyco_transf_8C(261-313)
tr|A8ARL4|A8ARL4_CITK8	GT-A|GT-A	GT8_A4GalT_like(8-249)|Glyco_transf_8C(255-310)
tr|C1DGU7|C1DGU7_AZOVD	GT-A|GT-A	GT8_A4GalT_like(12-258)|Glyco_transf_8C(264-319)
tr|C3X7M2|C3X7M2_OXAFO	GT-A|GT-A	GT8_A4GalT_like(5-245)|Glyco_transf_8C(257-303)
tr|C4Z1V1|C4Z1V1_EUBE2	GT-A|GT-A	Glyco_tranf_GTA_type(1-241)|GT8_A4GalT_like(273-525)
tr|D8IQD5|D8IQD5_HERSS	GT-A|GT-A	GT8_A4GalT_like(20-262)|Glyco_transf_8C(271-322)
tr|D8IQD6|D8IQD6_HERSS	GT-A|GT-A	GT8_A4GalT_like(23-268)|Glyco_transf_8C(280-329)
tr|D8MJA2|D8MJA2_ERWBE	GT-A|GT-A	GT8_A4GalT_like(22-259)|Glyco_transf_8C(266-318)
tr|D8MN99|D8MN99_ERWBE	GT-A|GT-A	GT8_A4GalT_like(23-248)|Glyco_transf_8C(259-303)
tr|E0NHH8|E0NHH8_PEDAC	GT-A|GT-A	GT8_A4GalT_like(6-257)|GT8_A4GalT_like(281-527)
tr|E0NIK9|E0NIK9_PEDAC	GT-A|GT-A	GT8_A4GalT_like(6-257)|GT8_A4GalT_like(281-527)
tr|E1SIS6|E1SIS6_PANVC	GT-A|GT-A	GT8_A4GalT_like(28-266)|Glyco_transf_8C(274-323)
tr|G0AIU4|G0AIU4_COLFT	GT-A|GT-A	GT8_A4GalT_like(16-260)|Glyco_transf_8C(265-319)
tr|H2IY77|H2IY77_RAHAC	GT-A|GT-A	GT8_A4GalT_like(28-266)|Glyco_transf_8C(274-325)
tr|I9L6L8|I9L6L8_9FIRM	GT-A|GT-A	GT8_A4GalT_like(29-258)|Glyco_transf_8C(272-322)
tr|J2V7H2|J2V7H2_9BURK	GT-A|GT-A	GT8_A4GalT_like(20-263)|Glyco_transf_8C(282-323)
tr|J3DIQ0|J3DIQ0_9BURK	GT-A|GT-A	GT8_A4GalT_like(38-282)|Glyco_transf_8C(292-340)
tr|Q03HK5|Q03HK5_PEDPA	GT-A|GT-A	GT8_A4GalT_like(4-255)|GT8_A4GalT_like(279-525)
tr|Q38VK7|Q38VK7_LACSS	GT-A|GT-A	GT8_A4GalT_like(10-258)|GT8_A4GalT_like(285-532)
tr|Q38ZB8|Q38ZB8_LACSS	GT-A|GT-A	GT8_A4GalT_like(6-256)|GT8_A4GalT_like(281-526)
tr|Q46Y64|Q46Y64_CUPNJ	GT-A|GT-A	GT8_A4GalT_like(23-265)|Glyco_transf_8C(277-325)
tr|R4HZR4|R4HZR4_9GAMM	GT-A|GT-A	GT8_A4GalT_like(37-276)|Glyco_transf_8C(300-333)
tr|R5KTT3|R5KTT3_9CLOT	GT-A|GT-A	GT8_A4GalT_like(6-261)|Glyco_tranf_GTA_type(294-426)
tr|R5MSN4|R5MSN4_9MOLU	GT-A|GT-A	Glyco_tranf_GTA_type(1-242)|GT8_A4GalT_like(272-514)
tr|R5QIP1|R5QIP1_9FIRM	GT-A|GT-A	Glyco_tranf_GTA_type(2-244)|GT8_A4GalT_like(278-514)
tr|R6AEK7|R6AEK7_9FIRM	GT-A|GT-A	GT8_A4GalT_like(24-265)|Glyco_transf_8C(272-323)
tr|R6HL66|R6HL66_9FIRM	GT-A|GT-A	GT8_A4GalT_like(1-222)|Glyco_transf_8C(245-292)
tr|R7CLW1|R7CLW1_9FIRM	GT-A|GT-A	GT8_A4GalT_like(24-265)|Glyco_transf_8C(271-323)
tr|V2TAE0|V2TAE0_9GAMM	GT-A|GT-A	GT8_A4GalT_like(16-242)|Glyco_transf_8C(251-299)
tr|X2H2P7|X2H2P7_9GAMM	GT-A|GT-A	GT8_A4GalT_like(25-260)|Glyco_transf_8C(269-318)
tr|X2H2Q0|X2H2Q0_9GAMM	GT-A|GT-A	GT8_A4GalT_like(27-261)|Glyco_transf_8C(266-319)
tr|N0B3R1|N0B3R1_9RHIZ	GT-A|GT	GT8_A4GalT_like(3-252)|PRK10073(279-540)
tr|A0A178IJ42|A0A178IJ42_9BACT	GT-A|GrpB	Glyco_tranf_GTA_type(86-245)|GrpB(237-282)
tr|A0A2M9HB85|A0A2M9HB85_9BIFI	GT-A|GH43_62_32_68_117_130|Uncharacterized|GT-A	Glycos_transf_2(5-114)|GH43_62_32_68_117_130(145-194)|DUF4422(397-637)|GT8_A4GalT_like(679-941)
tr|A0A0R1U4R9|A0A0R1U4R9_9LACO	GT-A|EF1B	GT8_A4GalT_like(3-247)|EF1B(287-310)
tr|A0A0E4CZW1|A0A0E4CZW1_9BACL	GT-A|DUF3729	GT8_A4GalT_like(4-236)|DUF3729(269-357)
tr|A0A0Q6SSF1|A0A0Q6SSF1_9RHIZ	GT-A|beta_Kdo_transferase	Glyco_tranf_GTA_type(2-212)|beta_Kdo_transferase(395-648)
tr|A0A165XIQ3|A0A165XIQ3_9RHOB	GT-A|beta_Kdo_transferase	GT8_A4GalT_like(12-264)|beta_Kdo_transferase(446-690)
tr|A0A239AQE4|A0A239AQE4_9ACTN	GT-A|ANAPC3|GT-B|GT-B	Glyco_tranf_GTA_type(21-237)|ANAPC3(268-346)|PS_pyruv_trans(429-700)|Glycosyltransferase_GTB-type(672-742)
tr|A0A1G4W444|A0A1G4W444_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(16-255)|LPLAT_AGPAT-like(381-574)
tr|A0A1G6C894|A0A1G6C894_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(6-245)|LPLAT_AGPAT-like(387-564)
tr|A0A2G3E2L6|A0A2G3E2L6_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(37-276)|LPLAT_AGPAT-like(419-600)
tr|R5DYV7|R5DYV7_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(6-245)|LPLAT_AGPAT-like(390-565)
tr|R5P1Y8|R5P1Y8_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(6-245)|LPLAT_AGPAT-like(389-565)
tr|R5UJ70|R5UJ70_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(8-247)|LPLAT_AGPAT-like(391-568)
tr|R5YRN4|R5YRN4_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(7-246)|LPLAT_AGPAT-like(390-567)
tr|R7A2H1|R7A2H1_9CLOT	GT-A|Acyltransferase	GT8_A4GalT_like(8-248)|LPLAT_AGPAT-like(393-570)
tr|R7IUG0|R7IUG0_9CLOT	GT-A|Acyltransferase	GT8_A4GalT_like(6-246)|LPLAT_AGPAT-like(396-573)
tr|R7R3D9|R7R3D9_9FIRM	GT-A|Acyltransferase	GT8_A4GalT_like(7-246)|LPLAT_AGPAT-like(390-566)
tr|S3K101|S3K101_TREMA	GT-A|Acyltransferase	GT8_A4GalT_like(11-254)|LPLAT_AGPAT-like(377-575)
sp|P25148|GSPA_BACSU	GT-A	GT8_A4GalT_like(7-257)
sp|P27129|RFAJ_ECOLI	GT-A	RfaJ(26-338)
sp|P43974|Y258_HAEIN	GT-A	GT8_A4GalT_like(39-280)
tr|A0A011SHS6|A0A011SHS6_9LACT	GT-A	GT8_A4GalT_like(2-253)
tr|A0A017HHC9|A0A017HHC9_9RHOB	GT-A	GT8_A4GalT_like(16-245)
tr|A0A023DHJ6|A0A023DHJ6_9BACI	GT-A	GT8_A4GalT_like(2-250)
tr|A0A037Z990|A0A037Z990_CLOTT	GT-A	GT8_A4GalT_like(1-256)
tr|A0A060JHU0|A0A060JHU0_9MICO	GT-A	GT8_A4GalT_like(589-833)
tr|A0A060Q8H1|A0A060Q8H1_9PROT	GT-A	Glyco_tranf_GTA_type(5-207)
tr|A0A060Q8Q4|A0A060Q8Q4_9PROT	GT-A	Glyco_tranf_GTA_type(12-275)
tr|A0A060Q9J4|A0A060Q9J4_9PROT	GT-A	Glyco_tranf_GTA_type(4-259)
tr|A0A060QB88|A0A060QB88_9PROT	GT-A	Glyco_tranf_GTA_type(10-280)
tr|A0A060QC00|A0A060QC00_9PROT	GT-A	Glyco_tranf_GTA_type(107-250)
tr|A0A060QCI7|A0A060QCI7_9PROT	GT-A	Glyco_tranf_GTA_type(4-252)
tr|A0A062UJX1|A0A062UJX1_9RHOB	GT-A	GT8_A4GalT_like(20-242)
tr|A0A062UL85|A0A062UL85_9RHOB	GT-A	GT8_A4GalT_like(12-255)
tr|A0A063BGU6|A0A063BGU6_9BURK	GT-A	Glyco_tranf_GTA_type(18-127)
tr|A0A063BIX8|A0A063BIX8_9BURK	GT-A	Glyco_tranf_GTA_type(6-132)
tr|A0A069CYA0|A0A069CYA0_9BACE	GT-A	GT8_A4GalT_like(2-249)
tr|A0A073CK71|A0A073CK71_PLAAG	GT-A	Glyco_tranf_GTA_type(6-211)
tr|A0A073IT84|A0A073IT84_9BACT	GT-A	GT8_A4GalT_like(12-234)
tr|A0A074JMM2|A0A074JMM2_9RHOB	GT-A	Glyco_tranf_GTA_type(31-237)
tr|A0A074TDK9|A0A074TDK9_9RHOB	GT-A	Glyco_tranf_GTA_type(28-270)
tr|A0A074TJ02|A0A074TJ02_9RHOB	GT-A	GT8_A4GalT_like(21-261)
tr|A0A075LHD2|A0A075LHD2_9BACI	GT-A	GT8_A4GalT_like(5-251)
tr|A0A075LHM5|A0A075LHM5_9BACI	GT-A	GT8_A4GalT_like(10-260)
tr|A0A075P5G8|A0A075P5G8_9ALTE	GT-A	Glyco_tranf_GTA_type(26-276)
tr|A0A075U7V6|A0A075U7V6_9LACT	GT-A	GT8_A4GalT_like(5-253)
tr|A0A077EHM2|A0A077EHM2_9FLAO	GT-A	GT8_A4GalT_like(4-250)
tr|A0A078KRJ4|A0A078KRJ4_9FIRM	GT-A	Glyco_tranf_GTA_type(13-159)
tr|A0A078M0A3|A0A078M0A3_9STAP	GT-A	Glyco_tranf_GTA_type(291-407)
tr|A0A080JUH3|A0A080JUH3_9NEIS	GT-A	GT8_A4GalT_like(9-276)
tr|A0A080K1T4|A0A080K1T4_9NEIS	GT-A	GT8_A4GalT_like(9-276)
tr|A0A080KE31|A0A080KE31_9GAMM	GT-A	GT8_A4GalT_like(26-261)
tr|A0A080KI24|A0A080KI24_9GAMM	GT-A	GT8_A4GalT_like(6-249)
tr|A0A080KJ58|A0A080KJ58_9GAMM	GT-A	GT8_A4GalT_like(25-261)
tr|A0A081PBX0|A0A081PBX0_9SPHI	GT-A	GT8_A4GalT_like(5-249)
tr|A0A084JRF6|A0A084JRF6_9FIRM	GT-A	GT8_A4GalT_like(1-257)
tr|A0A085EYT7|A0A085EYT7_9RHIZ	GT-A	GT8_A4GalT_like(20-262)
tr|A0A085Z2L5|A0A085Z2L5_9FLAO	GT-A	GT8_A4GalT_like(5-267)
tr|A0A086BMV3|A0A086BMV3_9FLAO	GT-A	GT8_A4GalT_like(4-268)
tr|A0A086XT08|A0A086XT08_9RHOB	GT-A	Glyco_tranf_GTA_type(93-244)
tr|A0A086XXU5|A0A086XXU5_9RHOB	GT-A	GT8_A4GalT_like(12-245)
tr|A0A086Y435|A0A086Y435_9RHOB	GT-A	Glyco_transf_8(17-252)
tr|A0A089HMB8|A0A089HMB8_PAEDU	GT-A	GT8_A4GalT_like(12-239)
tr|A0A089IFA0|A0A089IFA0_9BACL	GT-A	GT8_A4GalT_like(4-236)
tr|A0A089IKL4|A0A089IKL4_9BACL	GT-A	GT8_A4GalT_like(4-241)
tr|A0A089J809|A0A089J809_9BACL	GT-A	GT8_A4GalT_like(12-239)
tr|A0A089LX36|A0A089LX36_9BACL	GT-A	GT8_A4GalT_like(1-249)
tr|A0A089XYX1|A0A089XYX1_9LACO	GT-A	GT8_A4GalT_like(11-259)
tr|A0A089Y4G4|A0A089Y4G4_9LACO	GT-A	GT8_A4GalT_like(3-246)
tr|A0A089ZK85|A0A089ZK85_9LACO	GT-A	Glyco_tranf_GTA_type(1-248)
tr|A0A090F2T3|A0A090F2T3_9RHIZ	GT-A	GT8_A4GalT_like(3-230)
tr|A0A090FHD5|A0A090FHD5_9RHIZ	GT-A	Glyco_tranf_GTA_type(6-226)
tr|A0A090I3X6|A0A090I3X6_9FIRM	GT-A	GT8_A4GalT_like(1-248)
tr|A0A090J5M1|A0A090J5M1_9BACI	GT-A	GT8_A4GalT_like(2-252)
tr|A0A090TE11|A0A090TE11_9VIBR	GT-A	Glyco_tranf_GTA_type(122-383)
tr|A0A090U4Z7|A0A090U4Z7_9ENTR	GT-A	GT8_A4GalT_like(8-249)
tr|A0A090YIQ9|A0A090YIQ9_PAEMA	GT-A	GT8_A4GalT_like(12-239)
tr|A0A091BCC9|A0A091BCC9_9GAMM	GT-A	Glyco_tranf_GTA_type(10-240)
tr|A0A091BZ88|A0A091BZ88_9ENTE	GT-A	GT8_A4GalT_like(3-253)
tr|A0A097ELE7|A0A097ELE7_9SPHN	GT-A	Glyco_tranf_GTA_type(2-239)
tr|A0A098S0A5|A0A098S0A5_9BACT	GT-A	Glyco_tranf_GTA_type(19-256)
tr|A0A098S135|A0A098S135_9BACT	GT-A	Glyco_tranf_GTA_type(22-260)
tr|A0A099B8Q6|A0A099B8Q6_9HELI	GT-A	Glyco_tranf_GTA_type(3-215)
tr|A0A099DQ05|A0A099DQ05_9HELI	GT-A	GT8_A4GalT_like(5-269)
tr|A0A099F9U5|A0A099F9U5_9RHOB	GT-A	GT8_A4GalT_like(3-235)
tr|A0A099GCV5|A0A099GCV5_9RHOB	GT-A	GT8_A4GalT_like(3-235)
tr|A0A099S9K5|A0A099S9K5_9CLOT	GT-A	GT8_A4GalT_like(1-252)
tr|A0A099TDL3|A0A099TDL3_9HELI	GT-A	GT8_A4GalT_like(23-290)
tr|A0A099TFG7|A0A099TFG7_9HELI	GT-A	GT8_A4GalT_like(10-268)
tr|A0A099TWB5|A0A099TWB5_9HELI	GT-A	GT8_A4GalT_like(74-344)
tr|A0A099TY42|A0A099TY42_9HELI	GT-A	GT8_A4GalT_like(31-271)
tr|A0A099VA85|A0A099VA85_9HELI	GT-A	Glyco_tranf_GTA_type(2-201)
tr|A0A0A0DHB2|A0A0A0DHB2_9STRE	GT-A	GT8_A4GalT_like(1-257)
tr|A0A0A0E8L5|A0A0A0E8L5_9RHOB	GT-A	Glyco_tranf_GTA_type(25-285)
tr|A0A0A2F3E7|A0A0A2F3E7_9PORP	GT-A	GT8_A4GalT_like(5-251)
tr|A0A0A2MP69|A0A0A2MP69_9FLAO	GT-A	GT8_A4GalT_like(1-241)
tr|A0A0A2U5M5|A0A0A2U5M5_9FIRM	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0A2UX38|A0A0A2UX38_9BACI	GT-A	GT8_A4GalT_like(4-233)
tr|A0A0A7PCK3|A0A0A7PCK3_9BACT	GT-A	Glyco_tranf_GTA_type(6-255)
tr|A0A0B0HYS7|A0A0B0HYS7_9BACL	GT-A	GT8_A4GalT_like(4-239)
tr|A0A0B1ZQK3|A0A0B1ZQK3_9SPHN	GT-A	Glyco_tranf_GTA_type(9-255)
tr|A0A0B4XFV2|A0A0B4XFV2_9RHIZ	GT-A	GT8_A4GalT_like(40-284)
tr|A0A0B5HSU2|A0A0B5HSU2_ARCG3	GT-A	Glyco_tranf_GTA_type(22-237)
tr|A0A0B7HUP1|A0A0B7HUP1_9FLAO	GT-A	GT8_A4GalT_like(1-232)
tr|A0A0B7IUQ6|A0A0B7IUQ6_9PROT	GT-A	GT8_A4GalT_like(4-248)
tr|A0A0B8T468|A0A0B8T468_9SPHI	GT-A	GT8_A4GalT_like(13-259)
tr|A0A0C1GFH8|A0A0C1GFH8_9RHOB	GT-A	Glyco_transf_8(22-256)
tr|A0A0C1LYV3|A0A0C1LYV3_9LACO	GT-A	GT8_A4GalT_like(2-251)
tr|A0A0C1LZR2|A0A0C1LZR2_9LACO	GT-A	GT8_A4GalT_like(11-260)
tr|A0A0C1R454|A0A0C1R454_9CYAN	GT-A	GT8_A4GalT_like(12-262)
tr|A0A0C1U0T3|A0A0C1U0T3_9CLOT	GT-A	GT8_A4GalT_like(1-252)
tr|A0A0C1UBT1|A0A0C1UBT1_9CYAN	GT-A	GT8_A4GalT_like(11-261)
tr|A0A0C2M677|A0A0C2M677_9CYAN	GT-A	GT8_A4GalT_like(12-262)
tr|A0A0C2Q9T3|A0A0C2Q9T3_9CYAN	GT-A	GT8_A4GalT_like(12-262)
tr|A0A0C2V3P2|A0A0C2V3P2_9BACL	GT-A	Glyco_tranf_GTA_type(10-117)
tr|A0A0C4WRA4|A0A0C4WRA4_9GAMM	GT-A	Glyco_tranf_GTA_type(52-220)
tr|A0A0C9Q133|A0A0C9Q133_9BACT	GT-A	Glyco_tranf_GTA_type(14-240)
tr|A0A0D4CJX4|A0A0D4CJX4_LACMC	GT-A	GT8_A4GalT_like(5-251)
tr|A0A0D4CK16|A0A0D4CK16_LACMC	GT-A	Glyco_tranf_GTA_type(1-247)
tr|A0A0D6A0X9|A0A0D6A0X9_9LACO	GT-A	Glyco_tranf_GTA_type(1-248)
tr|A0A0D6A167|A0A0D6A167_9LACO	GT-A	GT8_A4GalT_like(3-247)
tr|A0A0D6A2W9|A0A0D6A2W9_9LACO	GT-A	GT8_A4GalT_like(11-259)
tr|A0A0D6KK31|A0A0D6KK31_9CYAN	GT-A	Glyco_tranf_GTA_type(86-221)
tr|A0A0D6KYL7|A0A0D6KYL7_9CYAN	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0D6MS06|A0A0D6MS06_ACEAC	GT-A	Glyco_tranf_GTA_type(6-240)
tr|A0A0E3V6F1|A0A0E3V6F1_9BACT	GT-A	Glyco_tranf_GTA_type(1-152)
tr|A0A0E3YU14|A0A0E3YU14_9BACT	GT-A	GT8_A4GalT_like(5-248)
tr|A0A0E3YXI6|A0A0E3YXI6_9BACT	GT-A	GT8_A4GalT_like(7-248)
tr|A0A0F0CAR3|A0A0F0CAR3_9CLOT	GT-A	GT8_A4GalT_like(9-263)
tr|A0A0F0CFD6|A0A0F0CFD6_9CLOT	GT-A	GT8_A4GalT_like(1-248)
tr|A0A0F0GJH6|A0A0F0GJH6_NOCAE	GT-A	GT8_A4GalT_like(8-264)
tr|A0A0F2RCX4|A0A0F2RCX4_9RHOB	GT-A	Glyco_tranf_GTA_type(10-241)
tr|A0A0F2T5F7|A0A0F2T5F7_STRR3	GT-A	GT8_A4GalT_like(10-268)
tr|A0A0F4KNN1|A0A0F4KNN1_9LACO	GT-A	GT8_A4GalT_like(3-253)
tr|A0A0F4KXP4|A0A0F4KXP4_9LACO	GT-A	GT8_A4GalT_like(7-251)
tr|A0A0F4L0R2|A0A0F4L0R2_9LACO	GT-A	Glyco_tranf_GTA_type(1-247)
tr|A0A0F4LU04|A0A0F4LU04_9LACO	GT-A	Glyco_tranf_GTA_type(1-237)
tr|A0A0F4LUX9|A0A0F4LUX9_9LACO	GT-A	GT8_A4GalT_like(3-246)
tr|A0A0F4LVD7|A0A0F4LVD7_9LACO	GT-A	GT8_A4GalT_like(11-259)
tr|A0A0F4RC35|A0A0F4RC35_9GAMM	GT-A	Glyco_tranf_GTA_type(73-233)
tr|A0A0F4RHC8|A0A0F4RHC8_9RHOB	GT-A	GT8_A4GalT_like(16-250)
tr|A0A0F5AKW2|A0A0F5AKW2_9GAMM	GT-A	Glyco_tranf_GTA_type(67-232)
tr|A0A0F5EX68|A0A0F5EX68_AVIPA	GT-A	GT8_A4GalT_like(1-244)
tr|A0A0F5FRQ4|A0A0F5FRQ4_9RHIZ	GT-A	GT8_A4GalT_like(5-248)
tr|A0A0F5L3L8|A0A0F5L3L8_9RHIZ	GT-A	GT8_A4GalT_like(4-246)
tr|A0A0F5L678|A0A0F5L678_9RHIZ	GT-A	GT8_A4GalT_like(5-247)
tr|A0A0F5L8A1|A0A0F5L8A1_9RHIZ	GT-A	GT8_A4GalT_like(3-245)
tr|A0A0F5PT98|A0A0F5PT98_9RHIZ	GT-A	GT8_A4GalT_like(4-244)
tr|A0A0F5PYS7|A0A0F5PYS7_9RHIZ	GT-A	GT8_A4GalT_like(6-248)
tr|A0A0F5QAI7|A0A0F5QAI7_9RHIZ	GT-A	GT8_A4GalT_like(17-258)
tr|A0A0F6BRE9|A0A0F6BRE9_GEOS0	GT-A	GT8_A4GalT_like(2-250)
tr|A0A0F7D2H3|A0A0F7D2H3_SERFO	GT-A	Glyco_tranf_GTA_type(4-118)
tr|A0A0F9ZN51|A0A0F9ZN51_9BACT	GT-A	Glyco_tranf_GTA_type(6-233)
tr|A0A0G0BFY8|A0A0G0BFY8_9BACT	GT-A	GT8_A4GalT_like(6-247)
tr|A0A0G0C1D6|A0A0G0C1D6_9BACT	GT-A	Glyco_tranf_GTA_type(9-190)
tr|A0A0G0EBZ2|A0A0G0EBZ2_9BACT	GT-A	Glyco_tranf_GTA_type(5-235)
tr|A0A0G0EM05|A0A0G0EM05_9BACT	GT-A	GT8_A4GalT_like(19-261)
tr|A0A0G0FI73|A0A0G0FI73_9BACT	GT-A	Glyco_tranf_GTA_type(5-235)
tr|A0A0G0GFC7|A0A0G0GFC7_9BACT	GT-A	Glyco_tranf_GTA_type(23-237)
tr|A0A0G0J3H6|A0A0G0J3H6_9BACT	GT-A	GT8_A4GalT_like(9-240)
tr|A0A0G1FN41|A0A0G1FN41_9BACT	GT-A	Glyco_tranf_GTA_type(85-238)
tr|A0A0G3WH96|A0A0G3WH96_9BACT	GT-A	GT8_A4GalT_like(2-235)
tr|A0A0H4LFK4|A0A0H4LFK4_9LACO	GT-A	GT8_A4GalT_like(1-248)
tr|A0A0H4P473|A0A0H4P473_9BACI	GT-A	GT8_A4GalT_like(2-252)
tr|A0A0H4QFJ6|A0A0H4QFJ6_9LACO	GT-A	GT8_A4GalT_like(3-252)
tr|A0A0H5SF81|A0A0H5SF81_HERHM	GT-A	GT8_A4GalT_like(54-308)
tr|A0A0J1HVV8|A0A0J1HVV8_BACCI	GT-A	GT8_A4GalT_like(5-251)
tr|A0A0J6ER17|A0A0J6ER17_9BACI	GT-A	GT8_A4GalT_like(7-256)
tr|A0A0J6WR84|A0A0J6WR84_9FIRM	GT-A	Glyco_tranf_GTA_type(32-286)
tr|A0A0J6WTY1|A0A0J6WTY1_9FIRM	GT-A	GT8_A4GalT_like(34-266)
tr|A0A0K0TY99|A0A0K0TY99_9RHIZ	GT-A	GT8_A4GalT_like(11-256)
tr|A0A0K0U1L8|A0A0K0U1L8_9RHIZ	GT-A	GT8_A4GalT_like(4-247)
tr|A0A0K0U216|A0A0K0U216_9RHIZ	GT-A	GT8_A4GalT_like(6-249)
tr|A0A0K2XJK0|A0A0K2XJK0_9HELI	GT-A	RfaJ(1-304)
tr|A0A0K8J5L1|A0A0K8J5L1_9FIRM	GT-A	GT8_A4GalT_like(7-261)
tr|A0A0L0AUB0|A0A0L0AUB0_9ENTR	GT-A	GT8_A4GalT_like(7-246)
tr|A0A0L0JHZ6|A0A0L0JHZ6_9ACTN	GT-A	GT8_A4GalT_like(8-263)
tr|A0A0L0KQA3|A0A0L0KQA3_9ACTN	GT-A	Glyco_tranf_GTA_type(6-259)
tr|A0A0L0LDF2|A0A0L0LDF2_9BACT	GT-A	Glyco_tranf_GTA_type(44-201)
tr|A0A0L0QM31|A0A0L0QM31_VIRPA	GT-A	GT8_A4GalT_like(1-249)
tr|A0A0M1JP94|A0A0M1JP94_9CYAN	GT-A	Glyco_tranf_GTA_type(96-240)
tr|A0A0M3BMX7|A0A0M3BMX7_9RHIZ	GT-A	GT8_A4GalT_like(27-260)
tr|A0A0M3V4E7|A0A0M3V4E7_9NOSO	GT-A	GT8_A4GalT_like(12-262)
tr|A0A0M4FXM2|A0A0M4FXM2_9BACI	GT-A	GT8_A4GalT_like(1-249)
tr|A0A0M4FXN1|A0A0M4FXN1_9BACI	GT-A	GT8_A4GalT_like(7-254)
tr|A0A0M8KDW5|A0A0M8KDW5_9BACT	GT-A	GT8_A4GalT_like(1-271)
tr|A0A0M9EES3|A0A0M9EES3_9RHOB	GT-A	Glyco_tranf_GTA_type(116-277)
tr|A0A0M9GTW2|A0A0M9GTW2_9BACI	GT-A	GT8_A4GalT_like(3-256)
tr|A0A0N0J566|A0A0N0J566_9RHIZ	GT-A	Glyco_tranf_GTA_type(15-213)
tr|A0A0N1CMS6|A0A0N1CMS6_9ENTE	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0N1KG86|A0A0N1KG86_9BACI	GT-A	GT8_A4GalT_like(2-251)
tr|A0A0N1KIX4|A0A0N1KIX4_9GAMM	GT-A	GT8_A4GalT_like(4-245)
tr|A0A0N7JES7|A0A0N7JES7_9SPHI	GT-A	GT8_A4GalT_like(5-240)
