tr|A0A1S3Y3Q1|A0A1S3Y3Q1_TOBAC	TMhelix|Voltage_gated_ClC|GT-A	TMhelix(89-111)|Voltage_gated_ClC(77-138)|GlcAT-I(192-423)
tr|A0A2P4LTE1|A0A2P4LTE1_QUESU	TMhelix|GT-A	TMhelix(81-103)|GlcAT-I(311-537)
tr|A0A2P4SY19|A0A2P4SY19_BAMTH	TMhelix|GT-A	TMhelix(17-39)|Glyco_transf_43(126-336)
tr|A0A2P4T5I9|A0A2P4T5I9_BAMTH	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(105-334)
tr|A0A2P5AFM2|A0A2P5AFM2_PARAD	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(182-426)
tr|A0A2P5AL24|A0A2P5AL24_PARAD	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(187-417)
tr|A0A2P5D1M5|A0A2P5D1M5_9ROSA	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(182-426)
tr|A0A2P5D4R2|A0A2P5D4R2_PARAD	TMhelix|GT-A	TMhelix(67-89)|GlcAT-I(161-390)
tr|A0A2P5EJP4|A0A2P5EJP4_9ROSA	TMhelix|GT-A	TMhelix(67-89)|GlcAT-I(163-391)
tr|A0A2P5G1R9|A0A2P5G1R9_9ROSA	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(187-417)
tr|A0A2P5QTF6|A0A2P5QTF6_GOSBA	TMhelix|GT-A	TMhelix(83-105)|GlcAT-I(189-419)
tr|A0A2P5QZR5|A0A2P5QZR5_GOSBA	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(160-404)
tr|A0A2P5SQE2|A0A2P5SQE2_GOSBA	TMhelix|GT-A	TMhelix(62-84)|GlcAT-I(140-357)
tr|A0A2P6PG15|A0A2P6PG15_ROSCH	TMhelix|GT-A	TMhelix(77-99)|GlcAT-I(168-397)
tr|A0A2P6PZY7|A0A2P6PZY7_ROSCH	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(188-418)
tr|A0A2P6RAM4|A0A2P6RAM4_ROSCH	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-346)
tr|A0A2P6RNQ0|A0A2P6RNQ0_ROSCH	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(184-426)
tr|A0A2R6PH99|A0A2R6PH99_ACTCH	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(193-424)
tr|A0A2R6PWQ1|A0A2R6PWQ1_ACTCH	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(1-337)
tr|A0A2R6Q0M1|A0A2R6Q0M1_ACTCH	TMhelix|GT-A	TMhelix(71-93)|GlcAT-I(154-383)
tr|A0A2R6Q2V9|A0A2R6Q2V9_ACTCH	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(193-424)
tr|A0A2R6R5I1|A0A2R6R5I1_ACTCH	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(175-415)
tr|A0A2R6RND9|A0A2R6RND9_ACTCH	TMhelix|GT-A	TMhelix(71-93)|GlcAT-I(152-383)
tr|A0A2R6RYC4|A0A2R6RYC4_ACTCH	TMhelix|GT-A	TMhelix(19-38)|Glyco_tranf_GTA_type(1-335)
tr|A0A2R6S1A1|A0A2R6S1A1_ACTCH	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(175-415)
tr|A0A2R6WBN9|A0A2R6WBN9_MARPO	TMhelix|GT-A	TMhelix(161-183)|GlcAT-I(273-502)
tr|A0A2R8QJ91|A0A2R8QJ91_DANRE	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(106-317)
tr|A0A2R9AKV0|A0A2R9AKV0_PANPA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A2WTQ4|A2WTQ4_ORYSI	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A2YGE5|A2YGE5_ORYSI	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|A2Z5S9|A2Z5S9_ORYSI	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_43(98-321)
tr|A4IGU2|A4IGU2_XENTR	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|B0WB76|B0WB76_CULQU	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(61-297)
tr|B3M3Y0|B3M3Y0_DROAN	TMhelix|GT-A	TMhelix(36-55)|GlcAT-I(247-468)
tr|B4FCR6|B4FCR6_MAIZE	TMhelix|GT-A	TMhelix(66-83)|Glyco_transf_43(145-361)
tr|B4GZM7|B4GZM7_DROPE	TMhelix|GT-A	TMhelix(39-58)|GlcAT-I(223-444)
tr|B4HEB4|B4HEB4_DROSE	TMhelix|GT-A	TMhelix(36-55)|GlcAT-I(229-450)
tr|B4HW83|B4HW83_DROSE	TMhelix|GT-A	TMhelix(58-77)|GlcAT-I(139-358)
tr|B4J2W0|B4J2W0_DROGR	TMhelix|GT-A	TMhelix(17-36)|GlcAT-I(224-445)
tr|B4JCE7|B4JCE7_DROGR	TMhelix|GT-A	TMhelix(76-98)|GlcAT-I(157-376)
tr|B4L187|B4L187_DROMO	TMhelix|GT-A	TMhelix(35-54)|GlcAT-I(234-455)
tr|B4LC61|B4LC61_DROVI	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(220-441)
tr|B4MTL9|B4MTL9_DROWI	TMhelix|GT-A	TMhelix(64-83)|GlcAT-I(150-369)
tr|B4N5C9|B4N5C9_DROWI	TMhelix|GT-A	TMhelix(29-51)|GlcAT-I(239-460)
tr|B4N5D0|B4N5D0_DROWI	TMhelix|GT-A	TMhelix(9-31)|GlcAT-I(42-261)
tr|B4NPA6|B4NPA6_DROWI	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(54-286)
tr|B4QPR4|B4QPR4_DROSI	TMhelix|GT-A	TMhelix(36-55)|GlcAT-I(229-450)
tr|B7ZRK8|B7ZRK8_XENLA	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(79-312)
tr|B8A370|B8A370_MAIZE	TMhelix|GT-A	TMhelix(79-101)|GlcAT-I(185-419)
tr|B8ATY4|B8ATY4_ORYSI	TMhelix|GT-A	TMhelix(70-87)|Glyco_transf_43(147-355)
tr|B8AWU7|B8AWU7_ORYSI	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-422)
tr|B9GN51|B9GN51_POPTR	TMhelix|GT-A	TMhelix(63-85)|GlcAT-I(143-373)
tr|B9IJ10|B9IJ10_POPTR	TMhelix|GT-A	TMhelix(17-36)|PLN02458(1-344)
tr|B9R6Q8|B9R6Q8_RICCO	TMhelix|GT-A	TMhelix(76-98)|GlcAT-I(155-383)
tr|B9RS38|B9RS38_RICCO	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(185-416)
tr|C0HI75|C0HI75_MAIZE	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
tr|C3Y0J0|C3Y0J0_BRAFL	TMhelix|GT-A	TMhelix(10-32)|GlcAT-I(75-304)
tr|C5XG48|C5XG48_SORBI	TMhelix|GT-A	TMhelix(90-109)|GlcAT-I(197-426)
tr|C5YVH2|C5YVH2_SORBI	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
tr|D2A2P0|D2A2P0_TRICA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(70-301)
tr|D7KBR8|D7KBR8_ARALL	TMhelix|GT-A	TMhelix(66-85)|GlcAT-I(142-373)
tr|D7SUC2|D7SUC2_VITVI	TMhelix|GT-A	TMhelix(91-113)|GlcAT-I(195-425)
tr|E2BH40|E2BH40_HARSA	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(97-328)
tr|E3KB48|E3KB48_PUCGT	TMhelix|GT-A	TMhelix(47-66)|Glyco_tranf_GTA_type(326-513)
tr|E3M5S7|E3M5S7_CAERE	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_43(108-314)
tr|E9GYK1|E9GYK1_DAPPU	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(84-312)
tr|E9IXQ4|E9IXQ4_SOLIN	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(97-327)
tr|F1MFX3|F1MFX3_BOVIN	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(84-308)
tr|F1NH16|F1NH16_CHICK	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(105-315)
tr|F2ULZ9|F2ULZ9_SALR5	TMhelix|GT-A	TMhelix(20-42)|GlcAT-I(86-306)
tr|F6GZL7|F6GZL7_VITVI	TMhelix|GT-A	TMhelix(73-95)|GlcAT-I(154-383)
tr|F6H4F9|F6H4F9_VITVI	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(186-427)
tr|F6S2B3|F6S2B3_MACMU	TMhelix|GT-A	TMhelix(52-74)|GlcAT-I(119-348)
tr|F6V1J4|F6V1J4_HORSE	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(79-306)
tr|F6VJK6|F6VJK6_XENTR	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(81-314)
tr|F6WKR0|F6WKR0_XENTR	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(60-288)
tr|F7BB96|F7BB96_MACMU	TMhelix|GT-A	TMhelix(19-36)|Glyco_transf_43(117-327)
tr|F7DJX3|F7DJX3_MONDO	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(116-326)
tr|F7G261|F7G261_MONDO	TMhelix|GT-A	TMhelix(32-51)|GlcAT-I(122-348)
tr|F7HB83|F7HB83_CALJA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(80-306)
tr|G0NM11|G0NM11_CAEBE	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_43(70-276)
tr|G0PGU5|G0PGU5_CAEBE	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_43(70-276)
tr|G1LLP4|G1LLP4_AILME	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|G1M0U4|G1M0U4_AILME	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(49-274)
tr|G1P046|G1P046_MYOLU	TMhelix|GT-A	TMhelix(27-46)|GlcAT-I(106-329)
tr|G1P0Z2|G1P0Z2_MYOLU	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|G1QJQ0|G1QJQ0_NOMLE	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|G1SQC3|G1SQC3_RABIT	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|G1TD37|G1TD37_RABIT	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|G3NIQ6|G3NIQ6_GASAC	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(63-287)
tr|G3NTA2|G3NTA2_GASAC	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_43(111-321)
tr|G3Q8I3|G3Q8I3_GASAC	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(74-307)
tr|G3Q9V4|G3Q9V4_GASAC	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(106-316)
tr|G3QIV4|G3QIV4_GORGO	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|G3S6M8|G3S6M8_GORGO	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|G3U730|G3U730_LOXAF	TMhelix|GT-A	TMhelix(32-51)|GlcAT-I(115-339)
tr|G3WNV0|G3WNV0_SARHA	TMhelix|GT-A	TMhelix(68-85)|Glyco_transf_43(269-388)
tr|G5B2N3|G5B2N3_HETGA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(102-312)
tr|G7K596|G7K596_MEDTR	TMhelix|GT-A	TMhelix(34-56)|Glyco_tranf_GTA_type(153-414)
tr|G7P301|G7P301_MACFA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|G7PPW8|G7PPW8_MACFA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|G7ZWJ7|G7ZWJ7_MEDTR	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(182-413)
tr|H0VWZ1|H0VWZ1_CAVPO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(105-315)
tr|H0X914|H0X914_OTOGA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(80-305)
tr|H0XPY8|H0XPY8_OTOGA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|H2PJJ5|H2PJJ5_PONAB	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(81-256)
tr|H2QT99|H2QT99_PANTR	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-296)
tr|H2XTR7|H2XTR7_CIOIN	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(56-273)
tr|H2XX32|H2XX32_CIOIN	TMhelix|GT-A	TMhelix(7-24)|GlcAT-I(46-263)
tr|H2YPW2|H2YPW2_CIOSA	TMhelix|GT-A	TMhelix(9-31)|GlcAT-I(57-273)
tr|H2Z955|H2Z955_CIOSA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(60-276)
tr|H3ALB0|H3ALB0_LATCH	TMhelix|GT-A	TMhelix(12-31)|GlcAT-I(79-307)
tr|H3B827|H3B827_LATCH	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_43(112-322)
tr|H3CWZ0|H3CWZ0_TETNG	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(65-288)
tr|H9G3Y1|H9G3Y1_ANOCA	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_43(126-336)
tr|H9G8F2|H9G8F2_ANOCA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(76-304)
tr|I1GQU3|I1GQU3_BRADI	TMhelix|GT-A	TMhelix(32-54)|Glyco_tranf_GTA_type(107-334)
tr|I1GWD7|I1GWD7_BRADI	TMhelix|GT-A	TMhelix(51-70)|Glyco_transf_43(218-456)
tr|I1HMJ7|I1HMJ7_BRADI	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(10-364)
tr|I1HQB9|I1HQB9_BRADI	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|I1I3K6|I1I3K6_BRADI	TMhelix|GT-A	TMhelix(13-32)|Glyco_transf_43(113-329)
tr|I1IVY8|I1IVY8_BRADI	TMhelix|GT-A	TMhelix(69-91)|Glyco_transf_43(158-370)
tr|I1J999|I1J999_SOYBN	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(171-407)
tr|I1JUU0|I1JUU0_SOYBN	TMhelix|GT-A	TMhelix(76-98)|GlcAT-I(178-408)
tr|I1K9B9|I1K9B9_SOYBN	TMhelix|GT-A	TMhelix(76-98)|GlcAT-I(178-408)
tr|I1K9K2|I1K9K2_SOYBN	TMhelix|GT-A	TMhelix(70-92)|GlcAT-I(161-390)
tr|I1LHB1|I1LHB1_SOYBN	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(169-405)
tr|I1MMG1|I1MMG1_SOYBN	TMhelix|GT-A	TMhelix(40-59)|Glyco_transf_43(178-416)
tr|I1NQL4|I1NQL4_ORYGL	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|I1PIJ4|I1PIJ4_ORYGL	TMhelix|GT-A	TMhelix(70-87)|Glyco_transf_43(147-355)
tr|I1PS18|I1PS18_ORYGL	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-355)
tr|I1PXV6|I1PXV6_ORYGL	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
tr|I1Q4P9|I1Q4P9_ORYGL	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|I1QT92|I1QT92_ORYGL	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_43(98-321)
tr|I3J478|I3J478_ORENI	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(63-286)
tr|I3J777|I3J777_ORENI	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(107-316)
tr|I3JZD2|I3JZD2_ORENI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(106-316)
tr|I3K7D1|I3K7D1_ORENI	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(81-314)
tr|I3LR31|I3LR31_PIG	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|I3MFC5|I3MFC5_ICTTR	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|J3KWL1|J3KWL1_ORYBR	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(1-333)
tr|J3L2T9|J3L2T9_ORYBR	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(194-423)
tr|J3LV45|J3LV45_ORYBR	TMhelix|GT-A	TMhelix(63-80)|Glyco_transf_43(144-351)
tr|J3M9N6|J3M9N6_ORYBR	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-426)
tr|J9F596|J9F596_WUCBA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(92-319)
tr|J9JL59|J9JL59_ACYPI	TMhelix|GT-A	TMhelix(19-36)|GlcAT-I(84-313)
tr|J9JQS1|J9JQS1_ACYPI	TMhelix|GT-A	TMhelix(74-96)|Glyco_transf_43(223-425)
tr|K3XHS7|K3XHS7_SETIT	TMhelix|GT-A	TMhelix(90-109)|GlcAT-I(195-424)
tr|K3XK59|K3XK59_SETIT	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(76-311)
tr|K3XWB6|K3XWB6_SETIT	TMhelix|GT-A	TMhelix(52-69)|Glyco_transf_43(217-455)
tr|K3Z651|K3Z651_SETIT	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
tr|K3Z788|K3Z788_SETIT	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(12-369)
tr|K4CQD1|K4CQD1_SOLLC	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-370)
tr|K4D5Z0|K4D5Z0_SOLLC	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_43(180-420)
tr|K4DAI0|K4DAI0_SOLLC	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(192-422)
tr|K7FKS4|K7FKS4_PELSI	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_43(126-321)
tr|K7GGW8|K7GGW8_PELSI	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(76-304)
tr|K7TN32|K7TN32_MAIZE	TMhelix|GT-A	TMhelix(64-81)|Glyco_transf_43(149-366)
tr|K8EAK2|K8EAK2_9CHLO	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(64-325)
tr|L8Y3F6|L8Y3F6_TUPCH	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(58-222)
tr|M0RUM1|M0RUM1_MUSAM	TMhelix|GT-A	TMhelix(91-108)|GlcAT-I(147-377)
tr|M0S0A1|M0S0A1_MUSAM	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(164-395)
tr|M0SQP9|M0SQP9_MUSAM	TMhelix|GT-A	TMhelix(88-107)|GlcAT-I(178-409)
tr|M0SR21|M0SR21_MUSAM	TMhelix|GT-A	TMhelix(136-155)|GlcAT-I(233-465)
tr|M0SYK0|M0SYK0_MUSAM	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(151-380)
tr|M0T2G1|M0T2G1_MUSAM	TMhelix|GT-A	TMhelix(17-39)|Glyco_tranf_GTA_type(1-297)
tr|M0TKK1|M0TKK1_MUSAM	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(174-401)
tr|M0TQR2|M0TQR2_MUSAM	TMhelix|GT-A	TMhelix(40-59)|Glyco_transf_43(158-395)
tr|M0TZE6|M0TZE6_MUSAM	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(163-390)
tr|M0XKX3|M0XKX3_HORVV	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(1-417)
tr|M0ZNF5|M0ZNF5_SOLTU	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-370)
tr|M1B139|M1B139_SOLTU	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_43(180-420)
tr|M1BLG8|M1BLG8_SOLTU	TMhelix|GT-A	TMhelix(89-111)|Glyco_tranf_GTA_type(76-420)
tr|M3WJE4|M3WJE4_FELCA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(105-315)
tr|M3XFM9|M3XFM9_FELCA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(86-311)
tr|M3Y4A4|M3Y4A4_MUSPF	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(48-273)
tr|M3ZH29|M3ZH29_XIPMA	TMhelix|GT-A	TMhelix(16-38)|Glyco_transf_43(114-322)
tr|M3ZYN4|M3ZYN4_XIPMA	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(63-286)
tr|M4AHK3|M4AHK3_XIPMA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(103-313)
tr|M4ARJ6|M4ARJ6_XIPMA	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(83-315)
tr|M4CLY1|M4CLY1_BRARP	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-346)
tr|M4D376|M4D376_BRARP	TMhelix|GT-A	TMhelix(58-80)|GlcAT-I(135-366)
tr|M4D5I8|M4D5I8_BRARP	TMhelix|GT-A	TMhelix(28-50)|Glyco_tranf_GTA_type(148-416)
tr|M4EMN5|M4EMN5_BRARP	TMhelix|GT-A	TMhelix(62-84)|GlcAT-I(132-363)
tr|M5W4F8|M5W4F8_PRUPE	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(160-424)
tr|M5XC47|M5XC47_PRUPE	TMhelix|GT-A	TMhelix(82-104)|GlcAT-I(184-409)
tr|M5XXH3|M5XXH3_PRUPE	TMhelix|GT-A	TMhelix(77-99)|GlcAT-I(159-388)
tr|O17708|O17708_CAEEL	TMhelix|GT-A	TMhelix(13-35)|GlcAT-I(58-285)
tr|O17751|O17751_CAEEL	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(56-261)
tr|O62113|O62113_CAEEL	TMhelix|GT-A	TMhelix(13-32)|GlcAT-I(53-282)
tr|Q1HRC7|Q1HRC7_AEDAE	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(61-298)
tr|Q2LZ40|Q2LZ40_DROPS	TMhelix|GT-A	TMhelix(41-60)|GlcAT-I(227-448)
tr|Q4VYB1|Q4VYB1_CIOIN	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(88-318)
tr|Q4VYB2|Q4VYB2_CAEBR	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_43(72-278)
tr|Q50HW2|Q50HW2_MAIZE	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_43(89-308)
tr|Q50HW3|Q50HW3_SORBI	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_43(94-318)
tr|Q50HW4|Q50HW4_MEDTR	TMhelix|GT-A	TMhelix(69-91)|GlcAT-I(190-417)
tr|Q5CAZ7|Q5CAZ7_TAKRU	TMhelix|GT-A	TMhelix(4-23)|GlcAT-I(63-286)
tr|Q5CB06|Q5CB06_ORYLA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(79-312)
tr|Q6DBR2|Q6DBR2_DANRE	TMhelix|GT-A	TMhelix(4-23)|GlcAT-I(75-298)
tr|Q7QCT9|Q7QCT9_ANOGA	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(66-307)
tr|Q7YXB3|Q7YXB3_CIOIN	TMhelix|GT-A	TMhelix(9-31)|GlcAT-I(61-276)
tr|Q7ZZM8|Q7ZZM8_XENLA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(66-294)
tr|S8CS35|S8CS35_9LAMI	TMhelix|GT-A	TMhelix(61-80)|GlcAT-I(134-366)
tr|S8E373|S8E373_9LAMI	TMhelix|GT-A	TMhelix(33-55)|Glyco_transf_43(164-407)
tr|T1JMB5|T1JMB5_STRMM	TMhelix|GT-A	TMhelix(27-49)|GlcAT-I(134-354)
tr|T1LFR4|T1LFR4_TRIUA	TMhelix|GT-A	TMhelix(173-195)|Glyco_tranf_GTA_type(269-525)
tr|T1NTE1|T1NTE1_TRIUA	TMhelix|GT-A	TMhelix(58-80)|GlcAT-I(167-396)
tr|U3ILM3|U3ILM3_ANAPL	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(105-311)
tr|U3JT62|U3JT62_FICAL	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|U5CM29|U5CM29_AMBTC	TMhelix|GT-A	TMhelix(91-110)|GlcAT-I(199-430)
tr|U6NJI2|U6NJI2_HAECO	TMhelix|GT-A	TMhelix(31-53)|GlcAT-I(69-296)
tr|U6P1M7|U6P1M7_HAECO	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_43(52-257)
tr|V7AWM6|V7AWM6_PHAVU	TMhelix|GT-A	TMhelix(70-92)|GlcAT-I(153-382)
tr|V7AYA2|V7AYA2_PHAVU	TMhelix|GT-A	TMhelix(76-98)|GlcAT-I(178-408)
tr|V7CHE2|V7CHE2_PHAVU	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(169-405)
tr|V8NJ62|V8NJ62_OPHHA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(75-288)
tr|V8P350|V8P350_OPHHA	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_43(126-337)
tr|W1PWC1|W1PWC1_AMBTC	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_43(183-422)
tr|W5CYY3|W5CYY3_WHEAT	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|W5JCX8|W5JCX8_ANODA	TMhelix|GT-A	TMhelix(13-31)|GlcAT-I(131-350)
tr|W5KXJ1|W5KXJ1_ASTMX	TMhelix|GT-A	TMhelix(4-23)|GlcAT-I(68-290)
tr|W5M4L0|W5M4L0_LEPOC	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(115-317)
tr|W5NKI5|W5NKI5_LEPOC	TMhelix|GT-A	TMhelix(4-23)|GlcAT-I(64-287)
tr|W5PY92|W5PY92_SHEEP	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(129-341)
tr|W5UEU1|W5UEU1_ICTPU	TMhelix|GT-A	TMhelix(5-24)|GlcAT-I(65-288)
tr|M4D6N6|M4D6N6_BRARP	TMhelix|DUF846|TMhelix|GT-A	TMhelix(39-58)|DUF846(26-77)|TMhelix(63-85)|Glyco_transf_43(169-408)
sp|Q09363|SQV8_CAEEL	TMhelix|DivIC|GT-A	TMhelix(10-30)|DivIC(15-86)|GlcAT-I(97-327)
tr|W6NL70|W6NL70_HAECO	TMhelix|APG6|GT-A	TMhelix(7-29)|APG6(30-75)|GlcAT-I(94-324)
tr|A0A1I8AVD9|A0A1I8AVD9_9BILA	Spc7|GT-A	Spc7(25-104)|GlcAT-I(97-326)
tr|M0RN79|M0RN79_MUSAM	SelK_SelG|TMhelix|GT-A	SelK_SelG(42-75)|TMhelix(55-77)|GlcAT-I(112-341)
tr|A0A182QDS5|A0A182QDS5_9DIPT	PTP_DSP_cys|MogA_MoaB|MoeA|GT-A	PTP_DSP_cys(22-87)|MogA_MoaB(91-236)|MoeA(285-688)|GlcAT-I(712-954)
