tr|B9S7N5|B9S7N5_RICCO	WRN_exo|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	WRN_exo(39-220)|GT8_Glycogenin(271-517)|TMhelix(534-556)|TMhelix(605-627)|TMhelix(642-664)|TMhelix(702-724)|TMhelix(728-750)
tr|A0A1C7N6N7|A0A1C7N6N7_9FUNG	GT-A|GT-A	Glyco_tranf_GTA_type(10-200)|Glyco_transf_64(248-486)
tr|A0A1C7NQJ7|A0A1C7NQJ7_9FUNG	GT-A|GT-A	Glyco_tranf_GTA_type(27-259)|Glyco_transf_64(322-518)
tr|A0A1E3Q6H9|A0A1E3Q6H9_LIPST	GT-A|GT-A	Glyco_tranf_GTA_type(67-309)|Glyco_transf_64(382-598)
tr|A0A1J5WK32|A0A1J5WK32_9MICR	GT-A|GT-A	Glyco_tranf_GTA_type(65-301)|Glyco_transf_64(336-569)
tr|A0A1Y2C8S1|A0A1Y2C8S1_9FUNG	GT-A|GT-A	Glyco_tranf_GTA_type(86-299)|Glyco_tranf_GTA_type(367-568)
tr|A0A1Y2CGK0|A0A1Y2CGK0_9FUNG	GT-A|GT-A	Glyco_tranf_GTA_type(74-286)|Glyco_tranf_GTA_type(621-809)
tr|A0A1Y2D1V5|A0A1Y2D1V5_9FUNG	GT-A|GT-A	Glyco_tranf_GTA_type(79-224)|Glyco_tranf_GTA_type(322-507)
tr|A0A2H5QW28|A0A2H5QW28_CITUN	GT-A|GT-A	Glyco_tranf_GTA_type(55-163)|GT8_Glycogenin(182-418)
tr|A0A2P4IQP9|A0A2P4IQP9_QUESU	GT-A|GT-A	Glyco_tranf_GTA_type(54-151)|Glyco_tranf_GTA_type(174-447)
tr|B1ZY01|B1ZY01_OPITP	GT-A|GT-A	Glyco_tranf_GTA_type(16-133)|Glyco_tranf_GTA_type(81-195)
tr|E1ZF53|E1ZF53_CHLVA	GT-A|GT-A	Glyco_tranf_GTA_type(130-248)|Glyco_transf_25(335-463)
tr|S2IXE3|S2IXE3_MUCC1	GT-A|GT-A	Glyco_tranf_GTA_type(56-267)|Glyco_transf_64(314-555)
tr|S2JY00|S2JY00_MUCC1	GT-A|GT-A	Glyco_tranf_GTA_type(16-231)|Glyco_transf_64(282-513)
tr|R1DDC4|R1DDC4_EMIHU	GT-A|GT	Glyco_tranf_GTA_type(115-283)|O-FucT_like(469-616)
tr|R4XEB2|R4XEB2_TAPDE	GT-A|GRX_GRXh_1_2_like	Glyco_tranf_GTA_type(2-276)|GRX_GRXh_1_2_like(298-379)
tr|R1CSN8|R1CSN8_EMIHU	GT-A|Glyco_transf_29	Glyco_tranf_GTA_type(99-328)|Glyco_transf_29(394-669)
tr|R1EUR1|R1EUR1_EMIHU	GT-A|Glyco_transf_29	Glyco_tranf_GTA_type(98-327)|Glyco_transf_29(393-667)
tr|K2MXG2|K2MXG2_TRYCR	GT-A|Glyco_transf_18	GT8_Glycogenin(144-397)|Glyco_transf_18(475-597)
tr|A0A1X0NVL1|A0A1X0NVL1_9TRYP	GT-A|FAM20_C_like	Glyco_tranf_GTA_type(96-342)|FAM20_C_like(792-835)
tr|A0A1U8AB87|A0A1U8AB87_NELNU	GT-A|ECF_trnsprt|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(40-292)|ECF_trnsprt(268-436)|TMhelix(347-366)|TMhelix(370-392)|TMhelix(394-416)|TMhelix(420-442)
tr|A0A151WJY6|A0A151WJY6_9HYME	GT-A|DUF4779|rne|rne|rne|rne	GT8_Glycogenin(59-309)|DUF4779(405-584)|rne(702-856)|rne(803-991)|rne(979-1198)|rne(1115-1289)
tr|A0A195BSV6|A0A195BSV6_9HYME	GT-A|DUF4779|rne|PHA03369|termin_org_DnaJ	GT8_Glycogenin(124-374)|DUF4779(467-640)|rne(759-917)|PHA03369(885-1266)|termin_org_DnaJ(1176-1404)
tr|F4WV80|F4WV80_ACREC	GT-A|DUF4779|rne|omega_3_PfaA|rne	GT8_Glycogenin(30-280)|DUF4779(425-538)|rne(719-935)|omega_3_PfaA(828-1041)|rne(1057-1213)
tr|A0A212ES35|A0A212ES35_DANPL	GT-A|DUF4775|PHA03247	GT8_Glycogenin(4-248)|DUF4775(775-919)|PHA03247(851-1218)
tr|A0A161HHE1|A0A161HHE1_9ASCO	GT-A|DUF4775	Glyco_tranf_GTA_type(62-305)|DUF4775(315-498)
tr|J9JXZ4|J9JXZ4_ACYPI	GT-A|DUF4775	GT8_Glycogenin(6-256)|DUF4775(626-764)
tr|W0T797|W0T797_KLUMD	GT-A|DUF4045	GT8_Glycogenin(5-271)|DUF4045(289-421)
tr|K5WB84|K5WB84_AGABU	GT-A|DUF390	GT8_Glycogenin(5-268)|DUF390(755-925)
tr|A0A226DLP0|A0A226DLP0_FOLCA	GT-A|DUF3597	GT8_Glycogenin(6-254)|DUF3597(447-504)
tr|A0A1X7RTH7|A0A1X7RTH7_ZYMTR	GT-A|dnaA|PTZ00449	GT8_Glycogenin(7-247)|dnaA(292-427)|PTZ00449(291-646)
tr|A0A146F625|A0A146F625_9EURO	GT-A|dnaA|PRK10263	GT8_Glycogenin(5-230)|dnaA(232-372)|PRK10263(349-540)
tr|G7XT55|G7XT55_ASPKW	GT-A|dnaA|PRK10263	GT8_Glycogenin(7-245)|dnaA(251-388)|PRK10263(365-556)
tr|A0A165W8M3|A0A165W8M3_9HOMO	GT-A|dnaA|PHA03247	GT8_Glycogenin(5-266)|dnaA(346-479)|PHA03247(904-1004)
tr|A0A2J6QCT0|A0A2J6QCT0_9HELO	GT-A|dnaA|PHA03247	GT8_Glycogenin(8-247)|dnaA(295-480)|PHA03247(323-687)
tr|A0A135S316|A0A135S316_9PEZI	GT-A|dnaA	GT8_Glycogenin(9-249)|dnaA(439-580)
tr|A0A161W8H8|A0A161W8H8_9PEZI	GT-A|dnaA	GT8_Glycogenin(9-249)|dnaA(378-566)
tr|A0A1G4ANQ4|A0A1G4ANQ4_9PEZI	GT-A|dnaA	GT8_Glycogenin(9-244)|dnaA(416-542)
tr|F9XBP4|F9XBP4_ZYMTI	GT-A|dnaA	GT8_Glycogenin(7-247)|dnaA(263-398)
tr|F1PZU9|F1PZU9_CANLF	GT-A|Caprin-1_C	GT8_Glycogenin(37-288)|Caprin-1_C(318-424)
tr|A0A1R1PDI8|A0A1R1PDI8_ZANCU	GT-A|Beta_elim_lyase	GT8_Glycogenin(15-296)|Beta_elim_lyase(1344-1876)
tr|A0A1V6V5Q4|A0A1V6V5Q4_9EURO	GT-A|Atrophin-1|PRK10263	GT8_Glycogenin(4-238)|Atrophin-1(244-585)|PRK10263(421-670)
tr|E3Q4W2|E3Q4W2_COLGM	GT-A|Atrophin-1|PHA03307	GT8_Glycogenin(9-249)|Atrophin-1(325-543)|PHA03307(370-760)
tr|A0A2H3C0Z5|A0A2H3C0Z5_9AGAR	GT-A|Atrophin-1|PHA03247	GT8_Glycogenin(5-265)|Atrophin-1(353-685)|PHA03247(586-916)
tr|A0A2H3EBM0|A0A2H3EBM0_ARMGA	GT-A|Atrophin-1|PHA03247	GT8_Glycogenin(5-265)|Atrophin-1(327-685)|PHA03247(586-917)
tr|A0A1S9D511|A0A1S9D511_ASPOZ	GT-A|Atrophin-1	GT8_Glycogenin(8-246)|Atrophin-1(261-571)
tr|B0X3F9|B0X3F9_CULQU	GT-A|Atrophin-1	GT8_Glycogenin(10-259)|Atrophin-1(368-471)
tr|H6BZL0|H6BZL0_EXODN	GT-A|Atrophin-1	GT8_Glycogenin(8-246)|Atrophin-1(282-419)
tr|M1VYE6|M1VYE6_CLAP2	GT-A|Atrophin-1	GT8_Glycogenin(12-244)|Atrophin-1(331-462)
tr|V5FIY5|V5FIY5_BYSSN	GT-A|Atrophin-1	GT8_Glycogenin(8-246)|Atrophin-1(263-626)
tr|A0A1Q9CP76|A0A1Q9CP76_SYMMI	GT-A|ATG16|ERM	Glyco_tranf_GTA_type(132-399)|ATG16(1483-1667)|ERM(2126-2232)
tr|E9J060|E9J060_SOLIN	GT-A|Activator_LAG-3|SelP_N|PTZ00121	GT8_Glycogenin(4-254)|Activator_LAG-3(344-501)|SelP_N(389-456)|PTZ00121(587-1191)
tr|E2AEK6|E2AEK6_CAMFO	GT-A|Activator_LAG-3|PRK14949|rne	GT8_Glycogenin(4-253)|Activator_LAG-3(427-567)|PRK14949(711-1110)|rne(957-1157)
tr|E2BYW1|E2BYW1_HARSA	GT-A|Activator_LAG-3|PHA03247	GT8_Glycogenin(4-254)|Activator_LAG-3(396-523)|PHA03247(693-1246)
tr|A0A195EVY2|A0A195EVY2_9HYME	GT-A|Activator_LAG-3|HC2|rne|termin_org_DnaJ	GT8_Glycogenin(16-266)|Activator_LAG-3(363-519)|HC2(655-834)|rne(770-958)|termin_org_DnaJ(808-1210)
tr|V5I3Y8|V5I3Y8_BYSSN	GT-A|Abp2	GT8_Glycogenin(28-321)|Abp2(444-612)
sp|C7G304|GOLS2_SOLLC	GT-A	PLN00176(1-337)
sp|F4KED2|GOLSA_ARATH	GT-A	PLN00176(1-324)
sp|H2KYQ5|GYG1_CAEEL	GT-A	GT8_Glycogenin(3-238)
sp|O08730|GLYG_RAT	GT-A	GT8_Glycogenin(4-254)
sp|O15488|GLYG2_HUMAN	GT-A	GT8_Glycogenin(37-288)
sp|O22693|GOLS4_ARATH	GT-A	PLN00176(1-334)
sp|O22893|GOLS1_ARATH	GT-A	PLN00176(1-344)
sp|O43061|MU136_SCHPO	GT-A	Gnt1(1-368)
sp|O80518|GOLS3_ARATH	GT-A	PLN00176(1-334)
sp|P13280|GLYG_RABIT	GT-A	GT8_Glycogenin(4-256)
sp|P46976|GLYG_HUMAN	GT-A	GT8_Glycogenin(4-254)
sp|P47011|GLG2_YEAST	GT-A	GT8_Glycogenin(5-279)
sp|Q4PSY4|GOLS7_ARATH	GT-A	PLN00176(1-332)
sp|Q8GWW4|GUX2_ARATH	GT-A	GT8_Glycogenin(301-545)
sp|Q8H1S1|GOLS6_ARATH	GT-A	PLN00176(2-336)
sp|Q947G8|GOLS1_SOLLC	GT-A	Glyco_tranf_GTA_type(1-318)
sp|Q9FFA1|GOLS5_ARATH	GT-A	PLN00176(1-333)
sp|Q9FXB2|GOLS2_ARATH	GT-A	PLN00176(1-335)
sp|Q9LSB1|GUX1_ARATH	GT-A	GT8_Glycogenin(322-567)
sp|Q9R062|GLYG_MOUSE	GT-A	GT8_Glycogenin(4-254)
tr|A0A010R7W8|A0A010R7W8_9PEZI	GT-A	GT8_Glycogenin(13-330)
tr|A0A010S5M4|A0A010S5M4_9PEZI	GT-A	GT8_Glycogenin(2-279)
tr|A0A014LYF9|A0A014LYF9_9GAMM	GT-A	GT8_Glycogenin(3-270)
tr|A0A015IPM3|A0A015IPM3_9GLOM	GT-A	Glyco_tranf_GTA_type(6-238)
tr|A0A015JVR3|A0A015JVR3_9GLOM	GT-A	Glyco_tranf_GTA_type(6-307)
tr|A0A016S8X6|A0A016S8X6_9BILA	GT-A	GT8_Glycogenin(51-287)
tr|A0A017H8E9|A0A017H8E9_9RHOB	GT-A	Glyco_tranf_GTA_type(3-276)
tr|A0A017H8M7|A0A017H8M7_9RHOB	GT-A	Glyco_tranf_GTA_type(9-184)
tr|A0A017HV07|A0A017HV07_9RHOB	GT-A	Glyco_tranf_GTA_type(4-249)
tr|A0A017S223|A0A017S223_9EURO	GT-A	GT8_Glycogenin(10-293)
tr|A0A017S563|A0A017S563_9EURO	GT-A	Glyco_tranf_GTA_type(16-292)
tr|A0A037ZQ11|A0A037ZQ11_9RHOB	GT-A	Glyco_tranf_GTA_type(2-264)
tr|A0A044SI36|A0A044SI36_ONCVO	GT-A	GT8_Glycogenin(3-241)
tr|A0A058ZQL0|A0A058ZQL0_9RHOB	GT-A	Glyco_tranf_GTA_type(5-267)
tr|A0A059J7K9|A0A059J7K9_9EURO	GT-A	GT8_Glycogenin(14-308)
tr|A0A059LHV7|A0A059LHV7_9CHLO	GT-A	GT8_Glycogenin(26-197)
tr|A0A059LIV8|A0A059LIV8_9CHLO	GT-A	Glyco_tranf_GTA_type(162-382)
tr|A0A061DR96|A0A061DR96_THECC	GT-A	GT8_Glycogenin(321-566)
tr|A0A061DSH6|A0A061DSH6_THECC	GT-A	PLN00176(1-336)
tr|A0A061E659|A0A061E659_THECC	GT-A	PLN00176(1-336)
tr|A0A061EP73|A0A061EP73_THECC	GT-A	PLN00176(6-347)
tr|A0A061ER36|A0A061ER36_THECC	GT-A	PLN00176(57-366)
tr|A0A061F4Y8|A0A061F4Y8_THECC	GT-A	PLN00176(1-348)
tr|A0A066VMB0|A0A066VMB0_9HOMO	GT-A	Glyco_tranf_GTA_type(65-335)
tr|A0A066W635|A0A066W635_9HOMO	GT-A	GT8_Glycogenin(11-297)
tr|A0A066WGL2|A0A066WGL2_9HOMO	GT-A	Glyco_tranf_GTA_type(14-250)
tr|A0A066WHN3|A0A066WHN3_9HOMO	GT-A	GT8_Glycogenin(14-318)
tr|A0A067G0Z9|A0A067G0Z9_CITSI	GT-A	PLN00176(14-329)
tr|A0A067G970|A0A067G970_CITSI	GT-A	PLN00176(3-314)
tr|A0A067H1K1|A0A067H1K1_CITSI	GT-A	PLN00176(1-265)
tr|A0A067H7F6|A0A067H7F6_CITSI	GT-A	GT8_Glycogenin(189-434)
tr|A0A067HFT1|A0A067HFT1_CITSI	GT-A	PLN00176(2-337)
tr|A0A067JHE5|A0A067JHE5_JATCU	GT-A	PLN00176(1-335)
tr|A0A067JHU6|A0A067JHU6_JATCU	GT-A	GT8_Glycogenin(47-283)
tr|A0A067JLN8|A0A067JLN8_JATCU	GT-A	GT8_Glycogenin(298-543)
tr|A0A067JRL9|A0A067JRL9_JATCU	GT-A	PLN00176(1-337)
tr|A0A067K822|A0A067K822_JATCU	GT-A	PLN00176(1-323)
tr|A0A067K918|A0A067K918_JATCU	GT-A	PLN00176(1-336)
tr|A0A067KQE4|A0A067KQE4_JATCU	GT-A	GT8_Glycogenin(208-452)
tr|A0A067N851|A0A067N851_9HOMO	GT-A	GT8_Glycogenin(8-294)
tr|A0A067NLC6|A0A067NLC6_PLEOS	GT-A	Glyco_tranf_GTA_type(1-218)
tr|A0A067P4C7|A0A067P4C7_PLEOS	GT-A	Glyco_tranf_GTA_type(22-235)
tr|A0A067P4D7|A0A067P4D7_PLEOS	GT-A	Glyco_tranf_GTA_type(28-256)
tr|A0A067P5S8|A0A067P5S8_PLEOS	GT-A	GT8_Glycogenin(5-283)
tr|A0A067QYB3|A0A067QYB3_ZOONE	GT-A	GT8_Glycogenin(1-247)
tr|A0A067TYP1|A0A067TYP1_GALM3	GT-A	GT8_Glycogenin(5-287)
tr|A0A068JCE2|A0A068JCE2_TOBAC	GT-A	PLN00176(1-333)
tr|A0A068XE85|A0A068XE85_HYMMI	GT-A	GT8_Glycogenin(17-265)
tr|A0A068XT83|A0A068XT83_HYMMI	GT-A	GT8_Glycogenin(7-167)
tr|A0A068Y7F3|A0A068Y7F3_ECHMU	GT-A	GT8_Glycogenin(7-271)
tr|A0A072U403|A0A072U403_MEDTR	GT-A	PLN00176(1-328)
tr|A0A081MK25|A0A081MK25_9RHIZ	GT-A	Glyco_tranf_GTA_type(1-274)
tr|A0A084U992|A0A084U992_9RHIZ	GT-A	Glyco_tranf_GTA_type(7-271)
tr|A0A087W0P1|A0A087W0P1_ECHMU	GT-A	GT8_Glycogenin(23-274)
tr|A0A087ZUY0|A0A087ZUY0_APIME	GT-A	GT8_Glycogenin(4-253)
tr|A0A088T052|A0A088T052_9BACT	GT-A	Glyco_tranf_GTA_type(4-293)
tr|A0A094IKA0|A0A094IKA0_9BACT	GT-A	Glyco_tranf_GTA_type(4-120)
tr|A0A095F232|A0A095F232_9RHOB	GT-A	Glyco_tranf_GTA_type(2-259)
tr|A0A095WMI8|A0A095WMI8_9RHIZ	GT-A	Glyco_tranf_GTA_type(4-266)
tr|A0A098T4D2|A0A098T4D2_9RHIZ	GT-A	Glyco_tranf_GTA_type(2-268)
tr|A0A099F5H4|A0A099F5H4_9RHOB	GT-A	Glyco_tranf_GTA_type(15-277)
tr|A0A099F961|A0A099F961_9RHOB	GT-A	Glyco_tranf_GTA_type(15-258)
tr|A0A099GIE5|A0A099GIE5_9RHOB	GT-A	Glyco_tranf_GTA_type(2-276)
tr|A0A0A0Z6W6|A0A0A0Z6W6_9GAMM	GT-A	GT8_Glycogenin(2-271)
tr|A0A0A6RRK3|A0A0A6RRK3_9GAMM	GT-A	Glyco_tranf_GTA_type(2-248)
tr|A0A0B3RMC0|A0A0B3RMC0_9RHOB	GT-A	GT8_Glycogenin(3-247)
tr|A0A0B4C052|A0A0B4C052_9RHOB	GT-A	Glyco_tranf_GTA_type(16-249)
tr|A0A0B4J3L0|A0A0B4J3L0_SOLTU	GT-A	GT8_Glycogenin(316-561)
tr|A0A0B4LFW5|A0A0B4LFW5_DROME	GT-A	GT8_Glycogenin(4-253)
tr|A0A0B4X3H8|A0A0B4X3H8_9RHIZ	GT-A	Glyco_tranf_GTA_type(15-281)
tr|A0A0B5DPE4|A0A0B5DPE4_9RHOB	GT-A	Glyco_tranf_GTA_type(87-197)
tr|A0A0C1L9L4|A0A0C1L9L4_9BACT	GT-A	Glyco_tranf_GTA_type(27-223)
tr|A0A0C4E5V6|A0A0C4E5V6_MAGP6	GT-A	GT8_Glycogenin(13-307)
tr|A0A0D0QH69|A0A0D0QH69_9RHOB	GT-A	Glyco_tranf_GTA_type(3-259)
tr|A0A0D1E0E6|A0A0D1E0E6_USTMA	GT-A	GT8_Glycogenin(25-330)
tr|A0A0D2U3W0|A0A0D2U3W0_CAPO3	GT-A	GT8_Glycogenin(3-254)
tr|A0A0D2XJY4|A0A0D2XJY4_FUSO4	GT-A	GT8_Glycogenin(9-249)
tr|A0A0D2XME5|A0A0D2XME5_FUSO4	GT-A	GT8_Glycogenin(16-311)
tr|A0A0D2Y120|A0A0D2Y120_FUSO4	GT-A	GT8_Glycogenin(9-300)
tr|A0A0D2YG35|A0A0D2YG35_FUSO4	GT-A	GT8_Glycogenin(13-260)
tr|A0A0D3FEQ0|A0A0D3FEQ0_9ORYZ	GT-A	GT8_Glycogenin(277-521)
tr|A0A0D3FHS2|A0A0D3FHS2_9ORYZ	GT-A	PLN00176(1-341)
tr|A0A0D3GV71|A0A0D3GV71_9ORYZ	GT-A	PLN00176(1-327)
tr|A0A0D5LR45|A0A0D5LR45_9RHIZ	GT-A	Glyco_tranf_GTA_type(20-282)
tr|A0A0D6B318|A0A0D6B318_RHOSU	GT-A	Glyco_tranf_GTA_type(4-279)
tr|A0A0D6TA57|A0A0D6TA57_9RHOB	GT-A	Glyco_tranf_GTA_type(20-265)
tr|A0A0D9YTM5|A0A0D9YTM5_9ORYZ	GT-A	GT8_Glycogenin(272-525)
tr|A0A0D9Z6F4|A0A0D9Z6F4_9ORYZ	GT-A	PLN00176(1-341)
tr|A0A0E0APH9|A0A0E0APH9_9ORYZ	GT-A	PLN00176(1-327)
tr|A0A0E0CLY3|A0A0E0CLY3_9ORYZ	GT-A	GT8_Glycogenin(284-537)
tr|A0A0E0DGV3|A0A0E0DGV3_9ORYZ	GT-A	Glyco_tranf_GTA_type(39-243)
tr|A0A0E0EGE1|A0A0E0EGE1_9ORYZ	GT-A	PLN00176(2-331)
tr|A0A0E0G870|A0A0E0G870_ORYNI	GT-A	GT8_Glycogenin(316-567)
tr|A0A0E0GLL2|A0A0E0GLL2_ORYNI	GT-A	PLN00176(1-341)
tr|A0A0E0I5X4|A0A0E0I5X4_ORYNI	GT-A	PLN00176(1-327)
tr|A0A0E0K140|A0A0E0K140_ORYPU	GT-A	GT8_Glycogenin(320-570)
tr|A0A0E0K9S0|A0A0E0K9S0_ORYPU	GT-A	GT8_Glycogenin(70-314)
tr|A0A0E0KCY9|A0A0E0KCY9_ORYPU	GT-A	PLN00176(2-338)
tr|A0A0E0LQ01|A0A0E0LQ01_ORYPU	GT-A	PLN00176(1-326)
tr|A0A0E0NGD5|A0A0E0NGD5_ORYRU	GT-A	GT8_Glycogenin(315-568)
tr|A0A0E0NU89|A0A0E0NU89_ORYRU	GT-A	PLN00176(1-341)
tr|A0A0E0QCZ6|A0A0E0QCZ6_ORYRU	GT-A	PLN00176(1-327)
tr|A0A0F0GL23|A0A0F0GL23_NOCAE	GT-A	GT8_Glycogenin(6-271)
tr|A0A0F7PGA0|A0A0F7PGA0_9RHIZ	GT-A	Glyco_tranf_GTA_type(20-283)
tr|A0A0H1A958|A0A0H1A958_9RHIZ	GT-A	Glyco_tranf_GTA_type(3-270)
tr|A0A0H4L0I3|A0A0H4L0I3_9RHOB	GT-A	Glyco_tranf_GTA_type(3-260)
tr|A0A0H5SBW3|A0A0H5SBW3_BRUMA	GT-A	GT8_Glycogenin(3-242)
tr|A0A0J7B664|A0A0J7B664_COCIT	GT-A	GT8_Glycogenin(14-312)
tr|A0A0J8U2V8|A0A0J8U2V8_COCIT	GT-A	GT8_Glycogenin(14-312)
tr|A0A0J8YMZ7|A0A0J8YMZ7_9BACT	GT-A	GT8_Glycogenin(2-269)
tr|A0A0J8YW66|A0A0J8YW66_9BACT	GT-A	GT8_Glycogenin(2-274)
tr|A0A0K3CF00|A0A0K3CF00_RHOTO	GT-A	GT8_Glycogenin(10-304)
tr|A0A0L0BJM0|A0A0L0BJM0_9MICC	GT-A	GT8_Glycogenin(2-272)
tr|A0A0L0GDL4|A0A0L0GDL4_9EUKA	GT-A	GT8_Glycogenin(4-252)
tr|A0A0L0V7M4|A0A0L0V7M4_9BASI	GT-A	GT8_Glycogenin(5-277)
tr|A0A0L7T9Q0|A0A0L7T9Q0_9GAMM	GT-A	GT8_Glycogenin(2-274)
tr|A0A0M3BEM8|A0A0M3BEM8_9RHIZ	GT-A	Glyco_tranf_GTA_type(3-269)
tr|A0A0M4EKT5|A0A0M4EKT5_DROBS	GT-A	GT8_Glycogenin(4-253)
tr|A0A0M6XNG7|A0A0M6XNG7_9RHOB	GT-A	Glyco_tranf_GTA_type(3-267)
tr|A0A0M6Y1A5|A0A0M6Y1A5_9RHOB	GT-A	Glyco_tranf_GTA_type(10-273)
tr|A0A0M7AFS1|A0A0M7AFS1_9RHOB	GT-A	Glyco_tranf_GTA_type(10-287)
tr|A0A0M7B995|A0A0M7B995_9RHOB	GT-A	Glyco_tranf_GTA_type(8-251)
tr|A0A0M9GPG3|A0A0M9GPG3_9RHOB	GT-A	Glyco_tranf_GTA_type(5-269)
tr|A0A0P0VKK0|A0A0P0VKK0_ORYSJ	GT-A	GT8_Glycogenin(325-578)
tr|A0A0P0WMK1|A0A0P0WMK1_ORYSJ	GT-A	GT8_Glycogenin(34-279)
tr|A0A0P1BFL9|A0A0P1BFL9_9BASI	GT-A	Glyco_tranf_GTA_type(23-307)
tr|A0A0P1GEV5|A0A0P1GEV5_9RHOB	GT-A	GT8_Glycogenin(25-274)
tr|A0A0P1GQH8|A0A0P1GQH8_9RHOB	GT-A	Glyco_tranf_GTA_type(75-192)
tr|A0A0P7YVH6|A0A0P7YVH6_9BACT	GT-A	Glyco_tranf_GTA_type(27-166)
tr|A0A0P8A4H1|A0A0P8A4H1_9RHOB	GT-A	Glyco_tranf_GTA_type(12-258)
tr|A0A0P8Y2J3|A0A0P8Y2J3_DROAN	GT-A	GT8_Glycogenin(4-253)
tr|A0A0Q4NIM5|A0A0Q4NIM5_9GAMM	GT-A	GT8_Glycogenin(2-274)
tr|A0A0Q5D3N7|A0A0Q5D3N7_9RHIZ	GT-A	Glyco_tranf_GTA_type(3-265)
tr|A0A0Q5VUG9|A0A0Q5VUG9_9RHIZ	GT-A	Glyco_tranf_GTA_type(5-270)
tr|A0A0Q6GPS1|A0A0Q6GPS1_9RHIZ	GT-A	Glyco_tranf_GTA_type(10-283)
tr|A0A0Q6RR12|A0A0Q6RR12_9RHIZ	GT-A	Glyco_tranf_GTA_type(1-271)
tr|A0A0Q6UM74|A0A0Q6UM74_9RHIZ	GT-A	Glyco_tranf_GTA_type(8-273)
tr|A0A0Q7N4C6|A0A0Q7N4C6_9RHIZ	GT-A	Glyco_tranf_GTA_type(10-286)
tr|A0A0Q9XJD5|A0A0Q9XJD5_DROMO	GT-A	GT8_Glycogenin(7-256)
tr|A0A0R0JRA3|A0A0R0JRA3_SOYBN	GT-A	Glyco_tranf_GTA_type(269-494)
tr|A0A0R0KUR3|A0A0R0KUR3_SOYBN	GT-A	PLN00176(1-331)
tr|A0A0R0KYU3|A0A0R0KYU3_SOYBN	GT-A	Glyco_tranf_GTA_type(129-338)
tr|A0A0R3NLL4|A0A0R3NLL4_DROPS	GT-A	GT8_Glycogenin(4-253)
tr|A0A0R4J315|A0A0R4J315_SOYBN	GT-A	PLN00176(1-339)
tr|A0A0R4J650|A0A0R4J650_SOYBN	GT-A	PLN00176(1-324)
tr|A0A0S9D526|A0A0S9D526_9MICC	GT-A	GT8_Glycogenin(2-274)
tr|A0A0T1WNQ4|A0A0T1WNQ4_9RHIZ	GT-A	Glyco_tranf_GTA_type(9-287)
tr|A0A0U3PXE9|A0A0U3PXE9_9ACTN	GT-A	Glyco_tranf_GTA_type(12-272)
tr|A0A0U5G9X8|A0A0U5G9X8_9EURO	GT-A	GT8_Glycogenin(16-303)
tr|A0A0U5L1F8|A0A0U5L1F8_9GAMM	GT-A	GT8_Glycogenin(3-272)
tr|A0A0V0S0J9|A0A0V0S0J9_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V0U7V5|A0A0V0U7V5_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V0VTF6|A0A0V0VTF6_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V0WXV2|A0A0V0WXV2_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V0XTK9|A0A0V0XTK9_TRIPS	GT-A	GT8_Glycogenin(21-264)
tr|A0A0V1A266|A0A0V1A266_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V1DHW1|A0A0V1DHW1_TRIBR	GT-A	GT8_Glycogenin(50-292)
tr|A0A0V1HBP4|A0A0V1HBP4_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V1KVX0|A0A0V1KVX0_9BILA	GT-A	GT8_Glycogenin(4-246)
tr|A0A0V1MLW8|A0A0V1MLW8_9BILA	GT-A	GT8_Glycogenin(8-250)
tr|A0A0W0FAM2|A0A0W0FAM2_9AGAR	GT-A	GT8_Glycogenin(5-284)
tr|A0A0W0G2P8|A0A0W0G2P8_9AGAR	GT-A	GT8_Glycogenin(5-283)
tr|A0A0W7VYY4|A0A0W7VYY4_9HYPO	GT-A	GT8_Glycogenin(13-298)
tr|A0A0W7WQJ0|A0A0W7WQJ0_9RHOB	GT-A	Glyco_tranf_GTA_type(10-257)
tr|A0A101MIS5|A0A101MIS5_9EURO	GT-A	Glyco_tranf_GTA_type(13-312)
tr|A0A103XJU8|A0A103XJU8_CYNCS	GT-A	GT8_Glycogenin(221-466)
tr|A0A103Y5W0|A0A103Y5W0_CYNCS	GT-A	GT8_Glycogenin(214-459)
tr|A0A109JHX1|A0A109JHX1_9RHIZ	GT-A	Glyco_tranf_GTA_type(5-272)
tr|A0A117E1Y6|A0A117E1Y6_ASPNG	GT-A	GT8_Glycogenin(16-307)
tr|A0A118JWI8|A0A118JWI8_CYNCS	GT-A	PLN00176(15-325)
tr|A0A120E9R3|A0A120E9R3_9BASI	GT-A	Glyco_tranf_GTA_type(9-307)
tr|A0A124HAD8|A0A124HAD8_9ACTN	GT-A	Glyco_tranf_GTA_type(11-272)
tr|A0A124SI25|A0A124SI25_CYNCS	GT-A	GT8_Glycogenin(275-512)
tr|A0A127CPG9|A0A127CPG9_9RHIZ	GT-A	Glyco_tranf_GTA_type(7-284)
