tr|A0A1Q9EN20|A0A1Q9EN20_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Peptidase_C14|NK|GT-A	TMhelix(100-122)|TMhelix(132-154)|TMhelix(167-184)|TMhelix(219-241)|TMhelix(262-284)|MFS(104-477)|TMhelix(294-316)|TMhelix(342-364)|TMhelix(379-397)|TMhelix(410-432)|TMhelix(519-541)|TMhelix(562-584)|Peptidase_C14(1287-1373)|NK(1476-1685)|Glyco_transf_25(1723-1778)
tr|M3W4T3|M3W4T3_FELCA	GT-A|GT-A	Glyco_tranf_GTA_type(9-53)|Glyco_transf_25(291-473)
tr|M3YK27|M3YK27_MUSPF	GT-A|GT-A	Glyco_tranf_GTA_type(13-55)|Glyco_transf_25(221-406)
tr|M3YP21|M3YP21_MUSPF	GT-A|GT-A	Glyco_tranf_GTA_type(144-188)|Glyco_transf_25(428-610)
tr|M3YWQ6|M3YWQ6_MUSPF	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
tr|M4ACB2|M4ACB2_XIPMA	GT-A|GT-A	Glyco_tranf_GTA_type(40-87)|Glyco_transf_25(326-511)
tr|M4AEU7|M4AEU7_XIPMA	GT-A|GT-A	Glyco_tranf_GTA_type(48-174)|Glyco_transf_25(331-516)
tr|M4AFU1|M4AFU1_XIPMA	GT-A|GT-A	Glyco_tranf_GTA_type(48-108)|Glyco_transf_25(328-513)
tr|Q98MH1|Q98MH1_RHILO	GT-A|GT-A	Glyco_tranf_GTA_type(3-154)|COG3306(686-931)
tr|R4XN58|R4XN58_TAPDE	GT-A|GT-A	Glyco_transf_25(86-157)|Glyco_transf_25(124-290)
tr|S8E4G0|S8E4G0_FOMPI	GT-A|GT-A	Glyco_transf_25(95-353)|Glyco_transf_25(221-395)
tr|U3BBS0|U3BBS0_CALJA	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|U3I0Z1|U3I0Z1_ANAPL	GT-A|GT-A	Glyco_tranf_GTA_type(3-87)|Glyco_transf_25(253-438)
tr|U3JF57|U3JF57_FICAL	GT-A|GT-A	Glyco_tranf_GTA_type(23-152)|Glyco_transf_25(305-487)
tr|U3JKB9|U3JKB9_FICAL	GT-A|GT-A	Glyco_tranf_GTA_type(11-99)|Glyco_transf_25(265-450)
tr|V8P8Y0|V8P8Y0_OPHHA	GT-A|GT-A	Glyco_tranf_GTA_type(20-109)|Glyco_transf_25(274-459)
tr|W5JLW8|W5JLW8_ANODA	GT-A|GT-A	Glyco_tranf_GTA_type(51-174)|Glyco_transf_25(339-520)
tr|W5LDY5|W5LDY5_ASTMX	GT-A|GT-A	Glyco_tranf_GTA_type(47-161)|Glyco_transf_25(328-511)
tr|W5LIZ9|W5LIZ9_ASTMX	GT-A|GT-A	Glyco_tranf_GTA_type(51-165)|Glyco_transf_25(330-515)
tr|W5M4C6|W5M4C6_LEPOC	GT-A|GT-A	Glyco_tranf_GTA_type(42-155)|Glyco_transf_25(321-505)
tr|W5MPT8|W5MPT8_LEPOC	GT-A|GT-A	Glyco_tranf_GTA_type(58-171)|Glyco_transf_25(337-522)
tr|W5MW55|W5MW55_LEPOC	GT-A|GT-A	Glyco_tranf_GTA_type(57-177)|Glyco_transf_25(336-521)
tr|W5NWK3|W5NWK3_SHEEP	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|W5Q3J3|W5Q3J3_SHEEP	GT-A|GT-A	Glyco_tranf_GTA_type(62-181)|Glyco_transf_25(346-531)
tr|W5UGQ7|W5UGQ7_ICTPU	GT-A|GT-A	Glyco_tranf_GTA_type(45-159)|Glyco_transf_25(326-509)
tr|W5UJP8|W5UJP8_ICTPU	GT-A|GT-A	Glyco_tranf_GTA_type(43-170)|Glyco_transf_25(327-511)
tr|X1WCE6|X1WCE6_DANRE	GT-A|GT-A	Glyco_tranf_GTA_type(50-97)|Glyco_transf_25(338-521)
tr|L8GXE1|L8GXE1_ACACA	GT-A|GT	Glyco_transf_25(133-227)|Gly_transf_sug(563-605)
tr|A0A1G0FCR1|A0A1G0FCR1_9PROT	GT-A|GH	COG3306(46-244)|Glyco_hydrolase_16(503-613)
tr|A0A2G5KB95|A0A2G5KB95_9RHOB	GT-A|GH	Glyco_transf_25(46-253)|Glyco_hydro_16(517-688)
tr|A0A1E2VBH2|A0A1E2VBH2_9GAMM	GT-A|cysT	Glyco_transf_25(9-154)|cysT(89-122)
tr|A0A268TGV7|A0A268TGV7_9HELI	GT-A|class_II_aaRS-like_core	Glyco_transf_25(3-196)|class_II_aaRS-like_core(160-264)
tr|A9VE18|A9VE18_MONBE	GT-A|Caprin-1_C|GT-A	Glyco_transf_25(123-215)|Caprin-1_C(338-438)|Glyco_transf_25(453-548)
tr|A0A1B0C9N5|A0A1B0C9N5_LUTLO	GT-A|Beta_elim_lyase|GT-A	Glyco_tranf_GTA_type(30-75)|Beta_elim_lyase(213-286)|Glyco_transf_25(328-509)
tr|A0A099T899|A0A099T899_9RHOB	GT-A|Acyltransferase	Glyco_transf_25(4-178)|LPLAT_LABLAT-like(344-523)
sp|P71398|LSG4_HAEIN	GT-A	COG3306(1-257)
sp|Q03974|LIC2A_HAEIN	GT-A	COG3306(2-288)
sp|Q51116|LGTB_NEIMB	GT-A	COG3306(1-257)
sp|Q51117|LGTE_NEIMB	GT-A	COG3306(1-265)
sp|Q5U309|GT253_RAT	GT-A	Glyco_transf_25(298-480)
tr|A0A010RSR5|A0A010RSR5_PSEFL	GT-A	Glyco_transf_25(10-125)
tr|A0A014M5V5|A0A014M5V5_9GAMM	GT-A	Glyco_transf_25(12-88)
tr|A0A014MAR3|A0A014MAR3_9GAMM	GT-A	Glyco_transf_25(2-116)
tr|A0A016S394|A0A016S394_9BILA	GT-A	Glyco_transf_25(256-434)
tr|A0A037ZIN7|A0A037ZIN7_9RHOB	GT-A	Glyco_transf_25(9-133)
tr|A0A059IKZ0|A0A059IKZ0_9RHOB	GT-A	Glyco_transf_25(6-178)
tr|A0A059IM97|A0A059IM97_9RHOB	GT-A	Glyco_transf_25(4-177)
tr|A0A059LKX5|A0A059LKX5_9CHLO	GT-A	Glyco_transf_25(46-143)
tr|A0A060QCL9|A0A060QCL9_9PROT	GT-A	Glyco_transf_25(4-93)
tr|A0A061JGH6|A0A061JGH6_9PROT	GT-A	Glyco_transf_25(4-189)
tr|A0A061JH68|A0A061JH68_9PROT	GT-A	Glyco_transf_25(17-192)
tr|A0A066RSK1|A0A066RSK1_9GAMM	GT-A	Glyco_transf_25(2-178)
tr|A0A068Y5F9|A0A068Y5F9_ECHMU	GT-A	Glyco_transf_25(353-534)
tr|A0A068Z107|A0A068Z107_9GAMM	GT-A	Glyco_transf_25(11-181)
tr|A0A071LAS5|A0A071LAS5_9PROT	GT-A	Glyco_transf_25(2-98)
tr|A0A071LBK5|A0A071LBK5_9PROT	GT-A	Glyco_transf_25(10-139)
tr|A0A073J683|A0A073J683_9RHOB	GT-A	Glyco_transf_25(4-174)
tr|A0A074T835|A0A074T835_9RHOB	GT-A	Glyco_transf_25(1-174)
tr|A0A074V3M9|A0A074V3M9_9NEIS	GT-A	Glyco_transf_25(4-164)
tr|A0A077DAN8|A0A077DAN8_9BURK	GT-A	Glyco_transf_25(8-193)
tr|A0A077DEA8|A0A077DEA8_9BURK	GT-A	Glyco_transf_25(7-186)
tr|A0A077DEW2|A0A077DEW2_9BURK	GT-A	Glyco_transf_25(3-183)
tr|A0A077DFM0|A0A077DFM0_9BURK	GT-A	Glyco_transf_25(7-192)
tr|A0A080JWI0|A0A080JWI0_9NEIS	GT-A	Glyco_transf_25(3-175)
tr|A0A080JYB5|A0A080JYB5_9NEIS	GT-A	Glyco_transf_25(4-165)
tr|A0A080K4L7|A0A080K4L7_9NEIS	GT-A	Glyco_transf_25(4-164)
tr|A0A081M950|A0A081M950_9RHIZ	GT-A	Glyco_transf_25(2-175)
tr|A0A081MQP5|A0A081MQP5_9RHIZ	GT-A	Glyco_transf_25(4-180)
tr|A0A081MZI5|A0A081MZI5_9GAMM	GT-A	Glyco_transf_25(12-188)
tr|A0A085BYD6|A0A085BYD6_9RHOB	GT-A	Glyco_transf_25(2-178)
tr|A0A085BZ35|A0A085BZ35_9RHOB	GT-A	Glyco_transf_25(1-77)
tr|A0A085BZ37|A0A085BZ37_9RHOB	GT-A	Glyco_transf_25(2-158)
tr|A0A085FZ94|A0A085FZ94_9ENTR	GT-A	Glyco_transf_25(9-108)
tr|A0A085HC54|A0A085HC54_9GAMM	GT-A	Glyco_transf_25(11-97)
tr|A0A085JKR0|A0A085JKR0_9GAMM	GT-A	Glyco_transf_25(2-172)
tr|A0A085TYK9|A0A085TYK9_9RHOB	GT-A	Glyco_transf_25(3-164)
tr|A0A086Y0U8|A0A086Y0U8_9RHOB	GT-A	Glyco_transf_25(10-183)
tr|A0A090RHF7|A0A090RHF7_9VIBR	GT-A	Glyco_transf_25(3-123)
tr|A0A090RJB4|A0A090RJB4_9VIBR	GT-A	Glyco_transf_25(2-177)
tr|A0A094ITE8|A0A094ITE8_9GAMM	GT-A	Glyco_transf_25(9-184)
tr|A0A095B7I2|A0A095B7I2_9SPHN	GT-A	Glyco_transf_25(13-186)
tr|A0A095D1U2|A0A095D1U2_9SPHN	GT-A	COG3306(53-253)
tr|A0A095UEM5|A0A095UEM5_9RHIZ	GT-A	Glyco_transf_25(22-206)
tr|A0A095UG69|A0A095UG69_9RHIZ	GT-A	Glyco_transf_25(1-159)
tr|A0A095ZT21|A0A095ZT21_9FIRM	GT-A	Glyco_transf_25(6-174)
tr|A0A096AKD7|A0A096AKD7_9FIRM	GT-A	Glyco_transf_25(14-171)
tr|A0A098T780|A0A098T780_9RHIZ	GT-A	Glyco_transf_25(8-186)
tr|A0A099B9K8|A0A099B9K8_9HELI	GT-A	Glyco_transf_25(7-183)
tr|A0A099DPG7|A0A099DPG7_9HELI	GT-A	Glyco_transf_25(3-176)
tr|A0A099T9A3|A0A099T9A3_9RHOB	GT-A	Glyco_transf_25(2-158)
tr|A0A099TT44|A0A099TT44_9HELI	GT-A	Glyco_transf_25(2-190)
tr|A0A0A0HJH3|A0A0A0HJH3_9RHOB	GT-A	Glyco_transf_25(4-181)
tr|A0A0A0Z5P4|A0A0A0Z5P4_9GAMM	GT-A	Glyco_transf_25(2-170)
tr|A0A0A1H6C5|A0A0A1H6C5_9BURK	GT-A	Glyco_transf_25(4-103)
tr|A0A0A1H842|A0A0A1H842_9BURK	GT-A	Glyco_transf_25(2-96)
tr|A0A0A3AUM5|A0A0A3AUM5_9PAST	GT-A	Glyco_transf_25(3-177)
tr|A0A0A6QDB8|A0A0A6QDB8_9BURK	GT-A	Glyco_transf_25(2-177)
tr|A0A0A7EBA0|A0A0A7EBA0_9GAMM	GT-A	Glyco_transf_25(6-182)
tr|A0A0A7LLP0|A0A0A7LLP0_9BACT	GT-A	Glyco_transf_25(2-183)
tr|A0A0A7PLH3|A0A0A7PLH3_9SPHN	GT-A	Glyco_transf_25(13-186)
tr|A0A0A8E5N7|A0A0A8E5N7_9GAMM	GT-A	Glyco_transf_25(5-183)
tr|A0A0B1Q5A5|A0A0B1Q5A5_9RHIZ	GT-A	Glyco_transf_25(10-184)
tr|A0A0B1Q8W2|A0A0B1Q8W2_9RHIZ	GT-A	Glyco_transf_25(7-191)
tr|A0A0B1ZQZ9|A0A0B1ZQZ9_9SPHN	GT-A	Glyco_transf_25(21-168)
tr|A0A0B4CV29|A0A0B4CV29_9RHOB	GT-A	Glyco_transf_25(6-188)
tr|A0A0B4FDW3|A0A0B4FDW3_9RHOB	GT-A	Glyco_transf_25(5-179)
tr|A0A0B5CR18|A0A0B5CR18_NEIEG	GT-A	COG3306(1-267)
tr|A0A0B5DRU9|A0A0B5DRU9_9RHOB	GT-A	Glyco_transf_25(7-115)
tr|A0A0B7IVK5|A0A0B7IVK5_9PROT	GT-A	Glyco_transf_25(17-104)
tr|A0A0C1K0R6|A0A0C1K0R6_9BACT	GT-A	Glyco_transf_25(8-98)
tr|A0A0C4WGN2|A0A0C4WGN2_9GAMM	GT-A	Glyco_transf_25(1-163)
tr|A0A0D5LR12|A0A0D5LR12_9RHIZ	GT-A	Glyco_transf_25(5-178)
tr|A0A0D5VMS2|A0A0D5VMS2_9BURK	GT-A	Glyco_transf_25(7-102)
tr|A0A0D6MRG6|A0A0D6MRG6_ACEAC	GT-A	Glyco_transf_25(4-89)
tr|A0A0D6MYM3|A0A0D6MYM3_ACEAC	GT-A	COG3306(1-211)
tr|A0A0D6NBQ9|A0A0D6NBQ9_9PROT	GT-A	Glyco_transf_25(4-94)
tr|A0A0D7F197|A0A0D7F197_RHOPL	GT-A	Glyco_transf_25(5-96)
tr|A0A0D8CYF8|A0A0D8CYF8_9GAMM	GT-A	Glyco_transf_25(37-121)
tr|A0A0D8Q2X5|A0A0D8Q2X5_9GAMM	GT-A	Glyco_transf_25(1-179)
tr|A0A0F2S6A4|A0A0F2S6A4_9RHOB	GT-A	Glyco_transf_25(20-174)
tr|A0A0F4NMT1|A0A0F4NMT1_9VIBR	GT-A	Glyco_transf_25(2-177)
tr|A0A0F4QNR7|A0A0F4QNR7_9GAMM	GT-A	Glyco_transf_25(5-179)
tr|A0A0F4QT56|A0A0F4QT56_9GAMM	GT-A	Glyco_transf_25(3-177)
tr|A0A0F4RI74|A0A0F4RI74_9RHOB	GT-A	Glyco_transf_25(12-183)
tr|A0A0F5IPR1|A0A0F5IPR1_9BACT	GT-A	Glyco_transf_25(27-203)
tr|A0A0F5IPT2|A0A0F5IPT2_9BACT	GT-A	Glyco_transf_25(7-103)
tr|A0A0F5ITD2|A0A0F5ITD2_9BACT	GT-A	Glyco_transf_25(4-181)
tr|A0A0F5IUI4|A0A0F5IUI4_9BACT	GT-A	Glyco_transf_25(5-183)
tr|A0A0F5IVB3|A0A0F5IVB3_9BACT	GT-A	Glyco_transf_25(12-179)
tr|A0A0F5L7J8|A0A0F5L7J8_9RHIZ	GT-A	Glyco_transf_25(2-95)
tr|A0A0F5L808|A0A0F5L808_9RHIZ	GT-A	Glyco_transf_25(4-175)
tr|A0A0F5LBR8|A0A0F5LBR8_9RHIZ	GT-A	Glyco_transf_25(3-173)
tr|A0A0F5MMX7|A0A0F5MMX7_9RICK	GT-A	Glyco_transf_25(328-458)
tr|A0A0F7KYL6|A0A0F7KYL6_9SPHN	GT-A	Glyco_transf_25(19-119)
tr|A0A0F7M349|A0A0F7M349_9GAMM	GT-A	Glyco_transf_25(16-187)
tr|A0A0F7PS19|A0A0F7PS19_9RHIZ	GT-A	Glyco_transf_25(6-103)
tr|A0A0G3BMG3|A0A0G3BMG3_9BURK	GT-A	Glyco_transf_25(1-150)
tr|A0A0G3EPW9|A0A0G3EPW9_9BURK	GT-A	Glyco_transf_25(7-97)
tr|A0A0G3I7W3|A0A0G3I7W3_LIBAF	GT-A	Glyco_transf_25(4-180)
tr|A0A0G3WGE7|A0A0G3WGE7_9BACT	GT-A	Glyco_transf_25(6-95)
tr|A0A0G3WL81|A0A0G3WL81_9BACT	GT-A	Glyco_transf_25(5-172)
tr|A0A0H1A539|A0A0H1A539_9RHIZ	GT-A	Glyco_transf_25(1-159)
tr|A0A0H1A972|A0A0H1A972_9RHIZ	GT-A	Glyco_transf_25(6-181)
tr|A0A0H1AC04|A0A0H1AC04_9RHIZ	GT-A	Glyco_transf_25(4-180)
tr|A0A0H2W337|A0A0H2W337_YERPE	GT-A	COG3306(1-224)
tr|A0A0H5DQC5|A0A0H5DQC5_9BACT	GT-A	Glyco_transf_25(53-144)
tr|A0A0H5E4T5|A0A0H5E4T5_9BACT	GT-A	Glyco_transf_25(43-168)
tr|A0A0H5E4U2|A0A0H5E4U2_9BACT	GT-A	Glyco_transf_25(50-140)
tr|A0A0J0YRF1|A0A0J0YRF1_9NEIS	GT-A	Glyco_transf_25(1-185)
tr|A0A0J1B4U0|A0A0J1B4U0_RHOIS	GT-A	Glyco_transf_25(5-181)
tr|A0A0J1ELR3|A0A0J1ELR3_RHOIS	GT-A	Glyco_transf_25(8-182)
tr|A0A0J1GIY3|A0A0J1GIY3_9GAMM	GT-A	Glyco_transf_25(1-179)
tr|A0A0J1H1K4|A0A0J1H1K4_9GAMM	GT-A	Glyco_transf_25(1-179)
tr|A0A0J1H344|A0A0J1H344_9GAMM	GT-A	Glyco_transf_25(10-195)
tr|A0A0J5P645|A0A0J5P645_9PAST	GT-A	COG3306(1-222)
tr|A0A0J5P7B4|A0A0J5P7B4_9PAST	GT-A	Glyco_transf_25(5-190)
tr|A0A0J5S1X0|A0A0J5S1X0_9PAST	GT-A	Glyco_transf_25(2-185)
tr|A0A0J8GSC7|A0A0J8GSC7_9ALTE	GT-A	Glyco_transf_25(1-178)
tr|A0A0J9E202|A0A0J9E202_9RHOB	GT-A	Glyco_transf_25(16-132)
tr|A0A0K2XA12|A0A0K2XA12_9HELI	GT-A	Glyco_transf_25(5-213)
tr|A0A0K2XD25|A0A0K2XD25_9HELI	GT-A	Glyco_transf_25(3-209)
tr|A0A0L0V2Z4|A0A0L0V2Z4_9BASI	GT-A	Glyco_transf_25(82-291)
tr|A0A0L0V3V4|A0A0L0V3V4_9BASI	GT-A	Glyco_transf_25(83-292)
tr|A0A0L6CWY4|A0A0L6CWY4_9RHOB	GT-A	Glyco_transf_25(4-181)
tr|A0A0M0IP88|A0A0M0IP88_9VIBR	GT-A	Glyco_transf_25(3-173)
tr|A0A0M2PZ02|A0A0M2PZ02_PROHO	GT-A	Glyco_transf_25(9-94)
tr|A0A0M2ZXH0|A0A0M2ZXH0_9GAMM	GT-A	Glyco_transf_25(2-178)
tr|A0A0M2ZYJ4|A0A0M2ZYJ4_9GAMM	GT-A	COG3306(2-211)
tr|A0A0M3A131|A0A0M3A131_9GAMM	GT-A	Glyco_transf_25(4-183)
tr|A0A0M3A136|A0A0M3A136_9GAMM	GT-A	Glyco_transf_25(2-175)
tr|A0A0M3A280|A0A0M3A280_9GAMM	GT-A	COG3306(1-213)
tr|A0A0M3BM13|A0A0M3BM13_9RHIZ	GT-A	Glyco_transf_25(4-178)
tr|A0A0M3V2Q7|A0A0M3V2Q7_9PROT	GT-A	Glyco_transf_25(3-98)
tr|A0A0M4SCK2|A0A0M4SCK2_9PROT	GT-A	Glyco_transf_25(4-191)
tr|A0A0M4T9I6|A0A0M4T9I6_CAMC5	GT-A	Glyco_transf_25(6-190)
tr|A0A0N0JPS3|A0A0N0JPS3_9BRAD	GT-A	Glyco_transf_25(31-207)
tr|A0A0N1AE86|A0A0N1AE86_9PROT	GT-A	Glyco_transf_25(5-99)
tr|A0A0N7LPF1|A0A0N7LPF1_9RHOB	GT-A	Glyco_transf_25(6-182)
tr|A0A0N7LUC7|A0A0N7LUC7_9RHOB	GT-A	COG3306(20-216)
tr|A0A0N7LV77|A0A0N7LV77_THAGE	GT-A	Glyco_transf_25(29-139)
tr|A0A0N7M1E1|A0A0N7M1E1_9RHOB	GT-A	COG3306(20-222)
tr|A0A0N9VD53|A0A0N9VD53_9GAMM	GT-A	Glyco_transf_25(2-174)
tr|A0A0N9VYI9|A0A0N9VYI9_9GAMM	GT-A	Glyco_transf_25(4-101)
tr|A0A0N9W0W7|A0A0N9W0W7_9GAMM	GT-A	COG3306(2-208)
tr|A0A0N9W119|A0A0N9W119_9GAMM	GT-A	Glyco_transf_25(5-175)
tr|A0A0P0M7Z7|A0A0P0M7Z7_9BURK	GT-A	Glyco_transf_25(15-187)
tr|A0A0P0URE7|A0A0P0URE7_9GAMM	GT-A	Glyco_transf_25(3-172)
tr|A0A0P0US72|A0A0P0US72_9GAMM	GT-A	Glyco_transf_25(7-190)
tr|A0A0P1E0N5|A0A0P1E0N5_9RHOB	GT-A	Glyco_transf_25(12-183)
tr|A0A0P1ELS2|A0A0P1ELS2_9RHOB	GT-A	Glyco_transf_25(4-181)
tr|A0A0P1FNN0|A0A0P1FNN0_9RHOB	GT-A	Glyco_transf_25(15-125)
tr|A0A0P1GRN0|A0A0P1GRN0_9RHOB	GT-A	Glyco_transf_25(5-179)
tr|A0A0P1H638|A0A0P1H638_9RHOB	GT-A	COG3306(58-241)
tr|A0A0P1H6H2|A0A0P1H6H2_9RHOB	GT-A	Glyco_transf_25(2-178)
tr|A0A0P1HZY4|A0A0P1HZY4_9RHOB	GT-A	Glyco_transf_25(4-178)
tr|A0A0P1I6K9|A0A0P1I6K9_9RHOB	GT-A	Glyco_transf_25(12-102)
tr|A0A0P1IDT7|A0A0P1IDT7_9RHOB	GT-A	Glyco_transf_25(6-182)
tr|A0A0P4UY02|A0A0P4UY02_9CYAN	GT-A	Glyco_transf_25(9-94)
tr|A0A0P6VYW5|A0A0P6VYW5_9RHIZ	GT-A	Glyco_transf_25(1-173)
tr|A0A0P7XGQ4|A0A0P7XGQ4_9RHOB	GT-A	Glyco_transf_25(3-180)
tr|A0A0P7YII1|A0A0P7YII1_9RHOB	GT-A	Glyco_transf_25(10-181)
tr|A0A0P8ABP5|A0A0P8ABP5_9RHOB	GT-A	Glyco_transf_25(6-184)
tr|A0A0Q0FNM5|A0A0Q0FNM5_9GAMM	GT-A	Glyco_transf_25(4-181)
tr|A0A0Q0IIB9|A0A0Q0IIB9_9GAMM	GT-A	Glyco_transf_25(4-178)
tr|A0A0Q0J8V0|A0A0Q0J8V0_9GAMM	GT-A	Glyco_transf_25(4-181)
tr|A0A0Q1A169|A0A0Q1A169_9RHOB	GT-A	Glyco_transf_25(10-107)
tr|A0A0Q1EUZ7|A0A0Q1EUZ7_9RHOB	GT-A	COG3306(2-221)
tr|A0A0Q4GCJ0|A0A0Q4GCJ0_9SPHN	GT-A	Glyco_transf_25(2-192)
tr|A0A0Q4MDD0|A0A0Q4MDD0_9GAMM	GT-A	Glyco_transf_25(2-173)
tr|A0A0Q5ESX4|A0A0Q5ESX4_9RHIZ	GT-A	COG3306(6-230)
tr|A0A0Q5GLM7|A0A0Q5GLM7_9RHIZ	GT-A	Glyco_transf_25(2-174)
tr|A0A0Q5HAQ5|A0A0Q5HAQ5_9RHIZ	GT-A	Glyco_transf_25(6-179)
tr|A0A0Q6BUS3|A0A0Q6BUS3_9RHIZ	GT-A	Glyco_transf_25(2-172)
tr|A0A0Q6BY37|A0A0Q6BY37_9RHIZ	GT-A	Glyco_transf_25(204-364)
tr|A0A0Q6CAZ9|A0A0Q6CAZ9_9RHIZ	GT-A	Glyco_transf_25(6-178)
tr|A0A0Q6D3H7|A0A0Q6D3H7_9RHIZ	GT-A	Glyco_transf_25(6-178)
tr|A0A0Q6EUA1|A0A0Q6EUA1_9RHIZ	GT-A	Glyco_transf_25(2-172)
tr|A0A0Q6EWA6|A0A0Q6EWA6_9RHIZ	GT-A	Glyco_transf_25(22-185)
tr|A0A0Q6M2R2|A0A0Q6M2R2_9RHIZ	GT-A	Glyco_transf_25(2-167)
tr|A0A0Q6QJS4|A0A0Q6QJS4_9RHIZ	GT-A	COG3306(20-242)
tr|A0A0Q6RFB4|A0A0Q6RFB4_9RHIZ	GT-A	COG3306(8-226)
tr|A0A0Q6RVF9|A0A0Q6RVF9_9RHIZ	GT-A	Glyco_transf_25(2-175)
tr|A0A0Q6W9H4|A0A0Q6W9H4_9RHIZ	GT-A	Glyco_transf_25(10-185)
tr|A0A0Q7DI61|A0A0Q7DI61_9RHIZ	GT-A	Glyco_transf_25(4-94)
tr|A0A0Q7DVM7|A0A0Q7DVM7_9RHIZ	GT-A	Glyco_transf_25(10-183)
tr|A0A0Q7DYQ7|A0A0Q7DYQ7_9RHIZ	GT-A	Glyco_transf_25(3-91)
tr|A0A0Q7E1F6|A0A0Q7E1F6_9RHIZ	GT-A	Glyco_transf_25(7-166)
tr|A0A0Q7E5W9|A0A0Q7E5W9_9RHIZ	GT-A	Glyco_transf_25(2-176)
tr|A0A0Q7L5C0|A0A0Q7L5C0_9BURK	GT-A	Glyco_transf_25(6-83)
tr|A0A0Q7XRA5|A0A0Q7XRA5_9RHIZ	GT-A	COG3306(23-215)
tr|A0A0Q7XZY8|A0A0Q7XZY8_9RHIZ	GT-A	COG3306(1-250)
tr|A0A0Q8AXH6|A0A0Q8AXH6_9RHIZ	GT-A	Glyco_transf_25(4-180)
tr|A0A0Q8B0F5|A0A0Q8B0F5_9RHIZ	GT-A	Glyco_transf_25(16-197)
tr|A0A0Q8B5H5|A0A0Q8B5H5_9RHIZ	GT-A	Glyco_transf_25(6-184)
tr|A0A0Q8Q6Z5|A0A0Q8Q6Z5_9SPHN	GT-A	Glyco_transf_25(9-87)
tr|A0A0Q9I2Y3|A0A0Q9I2Y3_9BRAD	GT-A	Glyco_transf_25(31-207)
tr|A0A0R2WVW9|A0A0R2WVW9_9FLAO	GT-A	Glyco_transf_25(9-178)
tr|A0A0R3E2F9|A0A0R3E2F9_9BRAD	GT-A	Glyco_transf_25(6-178)
tr|A0A0S2END9|A0A0S2END9_9RHIZ	GT-A	Glyco_transf_25(2-172)
tr|A0A0S2EP20|A0A0S2EP20_9RHIZ	GT-A	Glyco_transf_25(6-179)
tr|A0A0S4KXL7|A0A0S4KXL7_9BACT	GT-A	Glyco_transf_25(18-107)
tr|A0A0S9ND24|A0A0S9ND24_9BURK	GT-A	Glyco_transf_25(6-178)
tr|A0A0T1WXK3|A0A0T1WXK3_9RHIZ	GT-A	Glyco_transf_25(6-187)
tr|A0A0T2QI54|A0A0T2QI54_9SPHN	GT-A	Glyco_transf_25(4-175)
tr|A0A0T5NYB5|A0A0T5NYB5_9RHOB	GT-A	Glyco_transf_25(4-185)
tr|A0A0T5PF57|A0A0T5PF57_9RHOB	GT-A	Glyco_transf_25(4-181)
tr|A0A0U5EZL7|A0A0U5EZL7_9PROT	GT-A	COG3306(1-229)
tr|A0A0U5GGQ4|A0A0U5GGQ4_9GAMM	GT-A	Glyco_transf_25(11-90)
tr|A0A0V7Z3K1|A0A0V7Z3K1_9RHIZ	GT-A	Glyco_transf_25(6-170)
tr|A0A0W1LCH3|A0A0W1LCH3_9GAMM	GT-A	Glyco_transf_25(3-181)
tr|A0A0W1SV08|A0A0W1SV08_9GAMM	GT-A	Glyco_transf_25(5-184)
tr|A0A0W7TXH4|A0A0W7TXH4_9GAMM	GT-A	Glyco_transf_25(1-184)
tr|A0A0W8JK54|A0A0W8JK54_9VIBR	GT-A	Glyco_transf_25(2-178)
tr|A0A0X3TDU2|A0A0X3TDU2_9RHOB	GT-A	Glyco_transf_25(2-100)
tr|A0A0X3TSY6|A0A0X3TSY6_9RHOB	GT-A	Glyco_transf_25(2-178)
tr|A0A0X3TWU3|A0A0X3TWU3_9RHOB	GT-A	Glyco_transf_25(12-184)
tr|A0A0X3UAN9|A0A0X3UAN9_9RHOB	GT-A	Glyco_transf_25(2-166)
tr|A0A0X3Y952|A0A0X3Y952_9GAMM	GT-A	Glyco_transf_25(8-182)
tr|A0A101CZ83|A0A101CZ83_9RHOB	GT-A	Glyco_transf_25(28-200)
tr|A0A109J0S8|A0A109J0S8_9RHIZ	GT-A	Glyco_transf_25(2-174)
tr|A0A109JXC9|A0A109JXC9_9RHIZ	GT-A	Glyco_transf_25(19-191)
tr|A0A109K0F8|A0A109K0F8_9BRAD	GT-A	Glyco_transf_25(8-185)
tr|A0A119UUP4|A0A119UUP4_9BURK	GT-A	Glyco_transf_25(13-102)
tr|A0A120FM74|A0A120FM74_9RHIZ	GT-A	Glyco_transf_25(2-174)
tr|A0A126NSI6|A0A126NSI6_9BRAD	GT-A	Glyco_transf_25(31-207)
tr|A0A126T1Z1|A0A126T1Z1_9GAMM	GT-A	Glyco_transf_25(10-184)
