tr|H5UNQ6|H5UNQ6_9MICO	YjiC|GT-A|GT-A	YjiC(1-119)|Glyco_tranf_GTA_type(347-478)|Glyco_tranf_GTA_type(509-553)
tr|A0A2S1LNR3|A0A2S1LNR3_9FLAO	GT-A|GT-A	Glycos_transf_2(207-313)|BcsA(183-398)
tr|A0A2S1LP37|A0A2S1LP37_9FLAO	GT-A|GT-A	Glycos_transf_2(4-159)|GT2(1-329)
tr|A0A2S5AEZ6|A0A2S5AEZ6_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(4-115)|WcaA(1-270)
tr|A0A2T1CCG3|A0A2T1CCG3_9CYAN	GT-A|GT-A	Glycos_transf_2(4-167)|Glyco_tranf_GTA_type(89-261)
tr|A0A2T1CS13|A0A2T1CS13_9CYAN	GT-A|GT-A	Glycos_transf_2(4-166)|Glyco_tranf_GTA_type(152-187)
tr|A0A2T1LZW9|A0A2T1LZW9_9CHRO	GT-A|GT-A	Glycos_transf_2(4-166)|Glyco_tranf_GTA_type(138-205)
tr|A0A2T6AJT3|A0A2T6AJT3_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-159)|Glyco_transf_7C(144-201)
tr|A0A2T7UEZ3|A0A2T7UEZ3_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(6-125)|WcaA(1-291)
tr|A0A2Z5EHF8|A0A2Z5EHF8_9SPHN	GT-A|GT-A	Glyco_tranf_GTA_type(9-125)|GT2(84-262)
tr|A0LYV5|A0LYV5_GRAFK	GT-A|GT-A	Glycos_transf_2(3-103)|Glyco_tranf_GTA_type(139-201)
tr|A1BIV2|A1BIV2_CHLPD	GT-A|GT-A	GT2_Chondriotin_Pol_N(156-390)|Glyco_tranf_GTA_type(438-552)
tr|A3U8I1|A3U8I1_CROAH	GT-A|GT-A	Glyco_tranf_GTA_type(4-114)|Glyco_transf_7C(133-201)
tr|A6ET49|A6ET49_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(4-118)|WcaA(1-234)
tr|A6G1Y5|A6G1Y5_9DELT	GT-A|GT-A	Glyco_tranf_GTA_type(6-125)|GT2(1-248)
tr|A6VLP9|A6VLP9_ACTSZ	GT-A|GT-A	Beta4Glucosyltransferase(7-233)|GT2_Chondriotin_Pol_N(258-487)
tr|A9S6A0|A9S6A0_PHYPA	GT-A|GT-A	Glycos_transf_2(106-313)|Glyco_tranf_GTA_type(237-447)
tr|B0UVM5|B0UVM5_HISS2	GT-A|GT-A	Beta4Glucosyltransferase(5-231)|GT2_Chondriotin_Pol_N(256-485)
tr|B1ZH65|B1ZH65_METPB	GT-A|GT-A	GT2(87-218)|Glyco_tranf_GTA_type(156-220)
tr|B2J6U5|B2J6U5_NOSP7	GT-A|GT-A	Glycos_transf_2(4-167)|Glyco_tranf_GTA_type(89-261)
tr|B7IGJ7|B7IGJ7_THEAB	GT-A|GT-A	Glyco_tranf_GTA_type(8-135)|GT2(4-270)
tr|B7K3U5|B7K3U5_CYAP8	GT-A|GT-A	Glycos_transf_2(4-166)|Glyco_tranf_GTA_type(152-187)
tr|B8DYV4|B8DYV4_DICTD	GT-A|GT-A	Glycos_transf_2(4-162)|Glyco_tranf_GTA_type(144-185)
tr|C3KRY0|C3KRY0_SINFN	GT-A|GT-A	Glyco_tranf_GTA_type(5-112)|GT2(1-235)
tr|C4RJ52|C4RJ52_9ACTN	GT-A|GT-A	Glycos_transf_2(41-161)|WcaA(40-294)
tr|C5ZVL7|C5ZVL7_9HELI	GT-A|GT-A	Beta4Glucosyltransferase(5-239)|GT2_Chondriotin_Pol_N(266-499)
tr|C6M4B9|C6M4B9_NEISI	GT-A|GT-A	Beta4Glucosyltransferase(8-233)|GT2_Chondriotin_Pol_N(258-481)
tr|C7NE02|C7NE02_LEPBD	GT-A|GT-A	Beta4Glucosyltransferase(2-228)|GT2_Chondriotin_Pol_N(256-476)
tr|C9MZE0|C9MZE0_9FUSO	GT-A|GT-A	GT2_Chondriotin_Pol_N(46-266)|Glyco_tranf_GTA_type(304-432)
tr|D1CIW4|D1CIW4_THET1	GT-A|GT-A	Glyco_tranf_GTA_type(5-122)|GT2(1-268)
tr|D1W0G0|D1W0G0_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(8-124)|GT2(2-272)
tr|D2ZVJ4|D2ZVJ4_NEIMU	GT-A|GT-A	Beta4Glucosyltransferase(8-233)|GT2_Chondriotin_Pol_N(258-481)
tr|D3PPR6|D3PPR6_MEIRD	GT-A|GT-A	Glyco_tranf_GTA_type(7-115)|GT2(1-266)
tr|D4ZWD1|D4ZWD1_ARTPN	GT-A|GT-A	Glyco_tranf_GTA_type(14-126)|GT2(10-306)
tr|D7BI06|D7BI06_MEISD	GT-A|GT-A	Glyco_tranf_GTA_type(5-122)|WcaA(1-304)
tr|D7N082|D7N082_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(8-233)|GT2_Chondriotin_Pol_N(258-481)
tr|D9QNG2|D9QNG2_BRESC	GT-A|GT-A	GT2(1-202)|Glyco_tranf_GTA_type(121-214)
tr|D9RTB2|D9RTB2_PREMB	GT-A|GT-A	Glyco_tranf_GTA_type(83-197)|WcaA(1-323)
tr|E0I8C9|E0I8C9_9BACL	GT-A|GT-A	Glyco_tranf_GTA_type(6-171)|Glyco_tranf_GTA_type(161-221)
tr|E0NPC5|E0NPC5_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(59-171)|WcaA(53-351)
tr|E1SP11|E1SP11_FERBD	GT-A|GT-A	Glyco_tranf_GTA_type(195-429)|Glyco_tranf_GTA_type(477-591)
tr|E3I6F4|E3I6F4_RHOVT	GT-A|GT-A	Glyco_tranf_GTA_type(33-177)|WcaA(30-326)
tr|E4XR58|E4XR58_OIKDI	GT-A|GT-A	Galactosyl_T(51-230)|Glyco_tranf_GTA_type(198-654)
tr|E5UJQ5|E5UJQ5_NEIMU	GT-A|GT-A	Beta4Glucosyltransferase(8-233)|GT2_Chondriotin_Pol_N(258-481)
tr|E6LAK1|E6LAK1_CAMUP	GT-A|GT-A	Beta4Glucosyltransferase(6-233)|GT2_Chondriotin_Pol_N(259-478)
tr|F4HBF5|F4HBF5_GALAU	GT-A|GT-A	Beta4Glucosyltransferase(13-238)|GT2_Chondriotin_Pol_N(263-491)
tr|F4KK86|F4KK86_PORAD	GT-A|GT-A	Glyco_tranf_GTA_type(7-146)|WcaA(4-294)
tr|F4L0A9|F4L0A9_HALH1	GT-A|GT-A	Glycos_transf_2(3-139)|WcaA(1-290)
tr|F4Y0C4|F4Y0C4_9CYAN	GT-A|GT-A	Glycos_transf_2(4-167)|Glyco_tranf_GTA_type(91-267)
tr|F6GHW3|F6GHW3_LACS5	GT-A|GT-A	Glyco_tranf_GTA_type(206-306)|GT2(199-405)
tr|F8DZ09|F8DZ09_CORRG	GT-A|GT-A	Glyco_tranf_GTA_type(5-195)|Glycos_transf_2(253-406)
tr|G2EAS9|G2EAS9_9FLAO	GT-A|GT-A	Glycos_transf_2(3-111)|Glyco_tranf_GTA_type(148-201)
tr|G2EAT7|G2EAT7_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(242-337)|GT2(236-435)
tr|G2Z6Z8|G2Z6Z8_FLABF	GT-A|GT-A	Glyco_tranf_GTA_type(3-147)|WcaA(1-297)
tr|G4CHY2|G4CHY2_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(6-232)|GT2_Chondriotin_Pol_N(257-486)
tr|G4CRL0|G4CRL0_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(11-237)|GT2_Chondriotin_Pol_N(262-486)
tr|H6LGA8|H6LGA8_ACEWD	GT-A|GT-A	GT2_RfbC_Mx_like(191-392)|GT_2_like_c(451-669)
tr|H8XT64|H8XT64_FLAIG	GT-A|GT-A	Glyco_tranf_GTA_type(4-166)|Glyco_transf_7C(133-201)
tr|I3YXM0|I3YXM0_AEQSU	GT-A|GT-A	GT2_Chondriotin_Pol_N(8-237)|GT2_Chondriotin_Pol_N(282-511)
tr|I7GTV0|I7GTV0_9HELI	GT-A|GT-A	Beta4Glucosyltransferase(5-231)|GT2_Chondriotin_Pol_N(257-484)
tr|I9SF98|I9SF98_9BACE	GT-A|GT-A	GT2_Chondriotin_Pol_N(3-207)|Glyco_tranf_GTA_type(127-241)
tr|J0VAC8|J0VAC8_9BACT	GT-A|GT-A	Beta4Glucosyltransferase(4-229)|GT2_Chondriotin_Pol_N(254-475)
tr|J2SMM1|J2SMM1_FLASC	GT-A|GT-A	Glyco_tranf_GTA_type(15-114)|Glyco_transf_7C(131-201)
tr|J3HPU0|J3HPU0_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(12-121)|GT2(7-280)
tr|J9YWJ7|J9YWJ7_9PROT	GT-A|GT-A	Glyco_tranf_GTA_type(4-99)|WcaA(1-264)
tr|K9SH41|K9SH41_9CYAN	GT-A|GT-A	Glycos_transf_2(7-163)|Glyco_tranf_GTA_type(145-198)
tr|K9TYR9|K9TYR9_9CYAN	GT-A|GT-A	Glycos_transf_2(11-173)|Glyco_tranf_GTA_type(95-267)
tr|K9WLF1|K9WLF1_9CYAN	GT-A|GT-A	Glycos_transf_2(14-177)|Glyco_tranf_GTA_type(99-275)
tr|K9XFZ3|K9XFZ3_9CHRO	GT-A|GT-A	Glycos_transf_2(4-167)|Glyco_tranf_GTA_type(153-206)
tr|L2F9Z5|L2F9Z5_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(155-388)|Glyco_tranf_GTA_type(432-628)
tr|M5AQ48|M5AQ48_9ACTN	GT-A|GT-A	Glyco_tranf_GTA_type(51-274)|Glyco_tranf_GTA_type(331-533)
tr|N0BAQ3|N0BAQ3_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(5-119)|GT2(1-298)
tr|N1MM30|N1MM30_9SPHN	GT-A|GT-A	Glyco_tranf_GTA_type(12-211)|GT2(160-279)
tr|Q09C09|Q09C09_STIAD	GT-A|GT-A	Glyco_tranf_GTA_type(10-182)|Glyco_tranf_GTA_type(166-217)
tr|Q0P9B9|Q0P9B9_CAMJE	GT-A|GT-A	Beta4Glucosyltransferase(6-233)|GT2_Chondriotin_Pol_N(260-487)
tr|Q26F57|Q26F57_FLABB	GT-A|GT-A	Glyco_tranf_GTA_type(5-157)|Glyco_transf_7C(141-203)
tr|Q46Q60|Q46Q60_CUPNJ	GT-A|GT-A	Glyco_tranf_GTA_type(12-112)|WcaA(6-264)
tr|Q4BX91|Q4BX91_CROWT	GT-A|GT-A	Glycos_transf_2(4-166)|Glyco_tranf_GTA_type(152-205)
tr|Q7VI35|Q7VI35_HELHP	GT-A|GT-A	Beta4Glucosyltransferase(5-229)|GT2_Chondriotin_Pol_N(257-487)
tr|Q7VU85|Q7VU85_BORPE	GT-A|GT-A	Glyco_tranf_GTA_type(10-129)|WcaA(8-267)
tr|Q92VP6|Q92VP6_RHIME	GT-A|GT-A	Glyco_tranf_GTA_type(12-128)|WcaA(7-289)
tr|R5IAM6|R5IAM6_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(4-113)|BcsA(1-273)
tr|R5JEX2|R5JEX2_9BACE	GT-A|GT-A	Glycos_transf_2(3-165)|Glyco_tranf_GTA_type(145-204)
tr|R5PPQ5|R5PPQ5_9BACT	GT-A|GT-A	Glycos_transf_2(6-94)|WcaA(1-294)
tr|R6AW05|R6AW05_9CLOT	GT-A|GT-A	Glyco_tranf_GTA_type(63-248)|Glyco_tranf_GTA_type(313-528)
tr|R6PSG1|R6PSG1_9BACT	GT-A|GT-A	Glycos_transf_2(6-99)|WcaA(5-293)
tr|R6WV07|R6WV07_9BACT	GT-A|GT-A	Glycos_transf_2(5-104)|BcsA(1-230)
tr|S0FXC8|S0FXC8_9FIRM	GT-A|GT-A	Glyco_tranf_GTA_type(7-169)|Glyco_tranf_GTA_type(177-215)
tr|S0G5K4|S0G5K4_9DELT	GT-A|GT-A	Glyco_tranf_GTA_type(12-124)|GT2(8-313)
tr|S3KEP7|S3KEP7_TREMA	GT-A|GT-A	Glyco_tranf_GTA_type(140-193)|GT2(140-261)
tr|T1DWH0|T1DWH0_9HELI	GT-A|GT-A	Beta4Glucosyltransferase(11-267)|GT2_Chondriotin_Pol_N(294-521)
tr|U2SRN8|U2SRN8_9FUSO	GT-A|GT-A	Beta4Glucosyltransferase(2-229)|GT2_Chondriotin_Pol_N(257-481)
tr|W4DCF6|W4DCF6_9BACL	GT-A|GT-A	Glycos_transf_2(4-122)|GT2(1-260)
tr|W6FL04|W6FL04_NODSP	GT-A|GT-A	Glyco_tranf_GTA_type(128-244)|GT2(125-366)
tr|W6S7C9|W6S7C9_9CLOT	GT-A|GT-A	Glyco_tranf_GTA_type(4-150)|Glyco_tranf_GTA_type(173-232)
tr|W7Z4E5|W7Z4E5_9BACL	GT-A|GT-A	Glyco_tranf_GTA_type(6-217)|Glyco_tranf_GTA_type(173-294)
tr|W8F635|W8F635_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-85)|GT2(1-195)
tr|W8X5Q2|W8X5Q2_CASDE	GT-A|GT-A	Glyco_tranf_GTA_type(10-130)|WcaA(7-305)
tr|A0A0P1IQH9|A0A0P1IQH9_9RHOB	GT-A|GT	Glyco_tranf_GTA_type(2-170)|O-FucT_like(316-581)
tr|A0A1B9F764|A0A1B9F764_9DELT	GT-A|GT	Glyco_tranf_GTA_type(21-120)|Glyco_tranf_2_3(19-224)
tr|A0A1H3N481|A0A1H3N481_9RHOB	GT-A|GT	Glyco_tranf_GTA_type(116-278)|O-FucT_like(440-705)
tr|A0A1U7DE48|A0A1U7DE48_9RHOB	GT-A|GT	WcaA(92-323)|O-FucT_like(528-790)
tr|A0A2D8PAX4|A0A2D8PAX4_9RHOB	GT-A|GT	Glyco_tranf_GTA_type(61-221)|O-FucT_like(384-654)
tr|A3VHH6|A3VHH6_9RHOB	GT-A|GT	Glyco_tranf_GTA_type(64-206)|O-FucT_like(391-652)
tr|A0A0D9A1N9|A0A0D9A1N9_9CYAN	GT-A|Glyco_tranf_2_2	Glyco_tranf_GTA_type(6-94)|Glyco_tranf_2_2(31-193)
tr|A0A1H1W947|A0A1H1W947_9ACTN	GT-A|Glyco_tranf_2_2	Glyco_tranf_GTA_type(8-118)|Glyco_tranf_2_2(7-240)
tr|D5UDK7|D5UDK7_CELFN	GT-A|Glyco_tranf_2_2	GT2(5-230)|Glyco_tranf_2_2(170-292)
tr|A0A031FVP8|A0A031FVP8_9MICO	GT-A|DisA	Glyco_tranf_GTA_type(28-239)|DisA(319-362)
tr|A0A081EFN7|A0A081EFN7_STRFR	GT-A|Deacetylase	Glyco_tranf_GTA_type(11-239)|LmbE(303-543)
tr|A0A170UD17|A0A170UD17_9ACTN	GT-A|Deacetylase	Glyco_tranf_GTA_type(8-238)|LmbE(344-577)
tr|A0A2B8AMM0|A0A2B8AMM0_9ACTN	GT-A|Deacetylase	Glyco_tranf_GTA_type(9-237)|LmbE(309-543)
tr|A0A1H0EAZ0|A0A1H0EAZ0_9BACT	GT-A|CotH	Glyco_tranf_GTA_type(6-167)|CotH(385-738)
tr|A0A0N0XKC5|A0A0N0XKC5_9NEIS	GT-A|COG4092	Glyco_tranf_GTA_type(18-169)|COG4092(143-206)
tr|A0A1P8K9V9|A0A1P8K9V9_9BURK	GT-A|BACK	GT2_Chondriotin_Pol_N(9-238)|BACK(123-167)
tr|A0A011AIA6|A0A011AIA6_9ACTN	GT-A	Glyco_tranf_GTA_type(5-185)
tr|A0A013VIP8|A0A013VIP8_9SPHN	GT-A	mycofact_glyco(9-200)
tr|A0A022LIZ6|A0A022LIZ6_9ACTN	GT-A	mycofact_glyco(21-253)
tr|A0A023NVH8|A0A023NVH8_9GAMM	GT-A	GT2_Chondriotin_Pol_N(11-241)
tr|A0A023NWA3|A0A023NWA3_9GAMM	GT-A	GT2_Chondriotin_Pol_N(5-231)
tr|A0A023X166|A0A023X166_9ACTN	GT-A	Glyco_tranf_GTA_type(40-229)
tr|A0A024FC98|A0A024FC98_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-237)
tr|A0A024FDG4|A0A024FDG4_9FLAO	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A037ZGB9|A0A037ZGB9_9RHOB	GT-A	GT2_Chondriotin_Pol_N(5-237)
tr|A0A059VU62|A0A059VU62_STRA9	GT-A	Glyco_tranf_GTA_type(19-241)
tr|A0A059W9L3|A0A059W9L3_STRA9	GT-A	Glyco_tranf_GTA_type(5-208)
tr|A0A060QLW4|A0A060QLW4_9PROT	GT-A	Glyco_tranf_GTA_type(23-213)
tr|A0A062XUB9|A0A062XUB9_9BACT	GT-A	GT2(11-283)
tr|A0A066RHT5|A0A066RHT5_9GAMM	GT-A	Glyco_tranf_GTA_type(10-220)
tr|A0A066RNM9|A0A066RNM9_9GAMM	GT-A	GT2_Chondriotin_Pol_N(5-228)
tr|A0A066RSN0|A0A066RSN0_9GAMM	GT-A	GT2_Chondriotin_Pol_N(5-225)
tr|A0A068YHT6|A0A068YHT6_9BURK	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A069CX88|A0A069CX88_9BACE	GT-A	GT2_Chondriotin_Pol_N(5-228)
tr|A0A073CBG9|A0A073CBG9_PLAAG	GT-A	Glyco_tranf_GTA_type(5-184)
tr|A0A074JTC7|A0A074JTC7_9RHOB	GT-A	Glyco_tranf_GTA_type(11-239)
tr|A0A074L2C6|A0A074L2C6_9BACT	GT-A	GT2(1-204)
tr|A0A081P3U3|A0A081P3U3_9BACL	GT-A	Glyco_tranf_GTA_type(4-259)
tr|A0A081PEZ4|A0A081PEZ4_9SPHI	GT-A	GT2_Chondriotin_Pol_N(10-231)
tr|A0A084IRP2|A0A084IRP2_9GAMM	GT-A	GT2(74-233)
tr|A0A084TIM1|A0A084TIM1_9FLAO	GT-A	GT2_Chondriotin_Pol_N(7-228)
tr|A0A084TIM4|A0A084TIM4_9FLAO	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A084TIM5|A0A084TIM5_9FLAO	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A085BPL8|A0A085BPL8_9FLAO	GT-A	Glycos_transf_2(4-169)
tr|A0A085BZU7|A0A085BZU7_9RHOB	GT-A	Glyco_tranf_GTA_type(20-215)
tr|A0A085EFD7|A0A085EFD7_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-229)
tr|A0A085HIC7|A0A085HIC7_9GAMM	GT-A	GT2(18-197)
tr|A0A085Z4L3|A0A085Z4L3_9FLAO	GT-A	Glyco_tranf_GTA_type(4-169)
tr|A0A086WFM6|A0A086WFM6_9BURK	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A086Y4T7|A0A086Y4T7_9RHOB	GT-A	GT2(4-240)
tr|A0A089YTN2|A0A089YTN2_9PSED	GT-A	Glyco_tranf_GTA_type(62-209)
tr|A0A090AIC2|A0A090AIC2_9GAMM	GT-A	GT2_Chondriotin_Pol_N(6-253)
tr|A0A090PZM9|A0A090PZM9_9FLAO	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A090RGV3|A0A090RGV3_9VIBR	GT-A	GT2_Chondriotin_Pol_N(6-226)
tr|A0A090SCE4|A0A090SCE4_9VIBR	GT-A	Glyco_tranf_GTA_type(6-238)
tr|A0A090TAX7|A0A090TAX7_9VIBR	GT-A	Glyco_tranf_GTA_type(6-234)
tr|A0A090VSA9|A0A090VSA9_9FLAO	GT-A	Glyco_tranf_GTA_type(243-419)
tr|A0A090VT79|A0A090VT79_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-237)
tr|A0A091AJR8|A0A091AJR8_9HELI	GT-A	Glyco_tranf_GTA_type(8-240)
tr|A0A091BZX2|A0A091BZX2_9GAMM	GT-A	GT2_Chondriotin_Pol_N(8-238)
tr|A0A095CNM1|A0A095CNM1_9RHOB	GT-A	Glyco_tranf_GTA_type(5-237)
tr|A0A095SV22|A0A095SV22_9FLAO	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A095SV89|A0A095SV89_9FLAO	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A097ELK6|A0A097ELK6_9SPHN	GT-A	Glyco_tranf_GTA_type(13-212)
tr|A0A098S3P2|A0A098S3P2_9BACT	GT-A	Glycos_transf_2(7-160)
tr|A0A098S923|A0A098S923_9BACT	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A098UB38|A0A098UB38_9BURK	GT-A	GT2_Chondriotin_Pol_N(9-239)
tr|A0A099BW24|A0A099BW24_9BACT	GT-A	Glycos_transf_2(2-167)
tr|A0A099CUT1|A0A099CUT1_9GAMM	GT-A	GT2_Chondriotin_Pol_N(5-226)
tr|A0A0A0BCI0|A0A0A0BCI0_9CELL	GT-A	Glyco_tranf_GTA_type(11-236)
tr|A0A0A0EQT2|A0A0A0EQT2_9GAMM	GT-A	GT2_Chondriotin_Pol_N(13-236)
tr|A0A0A0MAC0|A0A0A0MAC0_9GAMM	GT-A	GT2_Chondriotin_Pol_N(9-238)
tr|A0A0A2DMT9|A0A0A2DMT9_9PORP	GT-A	GT2_Chondriotin_Pol_N(8-231)
tr|A0A0A2DRU9|A0A0A2DRU9_9PORP	GT-A	GT2_Chondriotin_Pol_N(8-231)
tr|A0A0A2E4D1|A0A0A2E4D1_9PORP	GT-A	GT2_Chondriotin_Pol_N(5-228)
tr|A0A0A2EUC0|A0A0A2EUC0_PORCN	GT-A	GT2_Chondriotin_Pol_N(12-237)
tr|A0A0A2EXT8|A0A0A2EXT8_PORCN	GT-A	GT2_Chondriotin_Pol_N(15-240)
tr|A0A0A2LPY3|A0A0A2LPY3_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-229)
tr|A0A0A2LRW3|A0A0A2LRW3_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-237)
tr|A0A0A2M0I4|A0A0A2M0I4_9FLAO	GT-A	GT2_Chondriotin_Pol_N(5-232)
tr|A0A0A2MPD0|A0A0A2MPD0_9FLAO	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A0A2N045|A0A0A2N045_9FLAO	GT-A	Glyco_tranf_GTA_type(242-418)
tr|A0A0A2N109|A0A0A2N109_9FLAO	GT-A	GT2_Chondriotin_Pol_N(7-228)
tr|A0A0A8ECM4|A0A0A8ECM4_9ACTN	GT-A	Glyco_tranf_GTA_type(5-229)
tr|A0A0B0D7D4|A0A0B0D7D4_9MICC	GT-A	Glyco_tranf_GTA_type(8-217)
tr|A0A0B0DF72|A0A0B0DF72_9MICC	GT-A	Glyco_tranf_GTA_type(68-220)
tr|A0A0B0EMS4|A0A0B0EMS4_9BACT	GT-A	Glyco_tranf_GTA_type(10-213)
tr|A0A0B0H5S6|A0A0B0H5S6_SOVGS	GT-A	Glyco_tranf_GTA_type(8-160)
tr|A0A0B1Q6E9|A0A0B1Q6E9_9RHIZ	GT-A	GT2(75-238)
tr|A0A0B2C0Z4|A0A0B2C0Z4_9SPHN	GT-A	Glyco_tranf_GTA_type(19-224)
tr|A0A0B4E9W8|A0A0B4E9W8_9FLAO	GT-A	GT2(1-296)
tr|A0A0B5E165|A0A0B5E165_9RHOB	GT-A	Glyco_tranf_GTA_type(5-234)
tr|A0A0B8Q4L5|A0A0B8Q4L5_9VIBR	GT-A	GT2_Chondriotin_Pol_N(5-225)
tr|A0A0B8T100|A0A0B8T100_9SPHI	GT-A	Glyco_tranf_GTA_type(14-207)
tr|A0A0B8XQM4|A0A0B8XQM4_9SPHI	GT-A	GT2_Chondriotin_Pol_N(19-238)
tr|A0A0B8YFD8|A0A0B8YFD8_9SPHI	GT-A	GT2_Chondriotin_Pol_N(9-234)
tr|A0A0C1EWF4|A0A0C1EWF4_9FLAO	GT-A	GT2(1-299)
tr|A0A0C1FB09|A0A0C1FB09_9FLAO	GT-A	Glyco_tranf_GTA_type(242-418)
tr|A0A0C1G8B9|A0A0C1G8B9_9FLAO	GT-A	Glyco_tranf_GTA_type(4-188)
tr|A0A0C1NA16|A0A0C1NA16_9CYAN	GT-A	Glycos_transf_2(13-175)
tr|A0A0C1UE04|A0A0C1UE04_9CYAN	GT-A	Glyco_tranf_GTA_type(13-219)
tr|A0A0C1UJ78|A0A0C1UJ78_9CYAN	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A0C1YGF5|A0A0C1YGF5_9CYAN	GT-A	mycofact_glyco(5-239)
tr|A0A0C2DAH8|A0A0C2DAH8_9DELT	GT-A	Glyco_tranf_GTA_type(6-217)
tr|A0A0C2DG37|A0A0C2DG37_9DELT	GT-A	Glyco_tranf_GTA_type(5-199)
tr|A0A0C2Q0B9|A0A0C2Q0B9_9CYAN	GT-A	Glyco_tranf_GTA_type(14-220)
tr|A0A0C2QXC7|A0A0C2QXC7_9CYAN	GT-A	Glyco_tranf_GTA_type(13-226)
tr|A0A0C2VF98|A0A0C2VF98_9PROT	GT-A	Glyco_tranf_GTA_type(5-234)
tr|A0A0C2ZE90|A0A0C2ZE90_9PROT	GT-A	Glyco_tranf_GTA_type(5-235)
tr|A0A0C5VH93|A0A0C5VH93_9GAMM	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A0C5WCD4|A0A0C5WCD4_9FLAO	GT-A	Glyco_tranf_GTA_type(4-199)
tr|A0A0C9N6I4|A0A0C9N6I4_SPHPI	GT-A	Glyco_tranf_GTA_type(11-210)
tr|A0A0D0LHZ7|A0A0D0LHZ7_9NOCA	GT-A	Glyco_tranf_GTA_type(34-230)
tr|A0A0D3LEV4|A0A0D3LEV4_9BACT	GT-A	Glyco_tranf_GTA_type(8-241)
tr|A0A0D5YP68|A0A0D5YP68_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-237)
tr|A0A0D6AF69|A0A0D6AF69_9CHRO	GT-A	Glyco_tranf_GTA_type(5-187)
tr|A0A0D6AQN8|A0A0D6AQN8_9CHRO	GT-A	Glycos_transf_2(4-135)
tr|A0A0D6B6W5|A0A0D6B6W5_RHOSU	GT-A	Glyco_tranf_GTA_type(5-237)
tr|A0A0D6KU77|A0A0D6KU77_9CYAN	GT-A	Glyco_tranf_GTA_type(14-215)
tr|A0A0D6MHE3|A0A0D6MHE3_9PROT	GT-A	Glyco_tranf_GTA_type(10-185)
tr|A0A0D6MSY5|A0A0D6MSY5_ACEAC	GT-A	GT2(123-300)
tr|A0A0D6TCH2|A0A0D6TCH2_9RHOB	GT-A	Glyco_tranf_GTA_type(78-213)
tr|A0A0D6TQG3|A0A0D6TQG3_9FLAO	GT-A	GT2_Chondriotin_Pol_N(5-234)
tr|A0A0D6YHN2|A0A0D6YHN2_MASLA	GT-A	Glyco_tranf_GTA_type(14-215)
tr|A0A0D7W0N9|A0A0D7W0N9_9FLAO	GT-A	Glyco_tranf_GTA_type(4-187)
tr|A0A0D7W6A6|A0A0D7W6A6_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-237)
tr|A0A0D7W6I2|A0A0D7W6I2_9FLAO	GT-A	GT2_Chondriotin_Pol_N(8-237)
tr|A0A0D8HZN4|A0A0D8HZN4_9NOCA	GT-A	Glyco_tranf_GTA_type(6-194)
tr|A0A0D8ZY96|A0A0D8ZY96_9CYAN	GT-A	Glyco_tranf_GTA_type(5-185)
tr|A0A0E3ZLD0|A0A0E3ZLD0_9BURK	GT-A	GT2_Chondriotin_Pol_N(4-234)
tr|A0A0E9LSY7|A0A0E9LSY7_9BACT	GT-A	Glyco_tranf_GTA_type(20-254)
tr|A0A0E9LVX8|A0A0E9LVX8_9BACT	GT-A	Glycos_transf_2(3-165)
tr|A0A0E9MVT5|A0A0E9MVT5_9BACT	GT-A	GT2_Chondriotin_Pol_N(5-229)
